Pathway,Category,Comparison,NES,FDR,NOM_pVal
cell-substrate adhesion,Cell adhesion,CAF_vs_NF,1.598385316,0.201643143,0
cell-substrate adhesion,Cell adhesion,CAF-Inh_vs_CAF,-1.459566403,0.253044122,0.0041841
cell-matrix adhesion,Cell adhesion,CAF_vs_NF,1.557831683,0.209440633,0.008571429
cell-matrix adhesion,Cell adhesion,CAF-Inh_vs_CAF,-1.341474192,0.304568675,0.049295775
cell adhesion molecule binding,Cell adhesion,CAF_vs_NF,1.287749232,0.313292434,0.029962547
cell adhesion molecule binding,Cell adhesion,CAF-Inh_vs_CAF,-1.307267483,0.325079765,0.02690583
integrin binding,Cell adhesion,CAF_vs_NF,1.835814909,0.127824795,0.00286533
integrin binding,Cell adhesion,CAF-Inh_vs_CAF,-1.709574881,0.181948366,0.006493506
positive regulation of locomotion,Cell migration,CAF_vs_NF,1.627413119,0.187421927,0
positive regulation of locomotion,Cell migration,CAF-Inh_vs_CAF,-1.530089317,0.228909476,0
positive regulation of cell motility,Cell migration,CAF_vs_NF,1.643884718,0.185901976,0
positive regulation of cell motility,Cell migration,CAF-Inh_vs_CAF,-1.539008903,0.226205358,0
positive regulation of cell migration,Cell migration,CAF_vs_NF,1.644927287,0.185386646,0
positive regulation of cell migration,Cell migration,CAF-Inh_vs_CAF,-1.549809532,0.225881763,0
positive regulation of epithelial to mesenchymal transition,EMT,CAF_vs_NF,1.652085392,0.183404364,0.025139665
positive regulation of epithelial to mesenchymal transition,EMT,CAF-Inh_vs_CAF,-1.880825005,0.138322995,0.005747126
collagen biosynthetic process,Collagen,CAF_vs_NF,1.436389418,0.249484953,0.07253886
collagen biosynthetic process,Collagen,CAF-Inh_vs_CAF,-1.63625017,0.204364625,0.034985423
collagen metabolic process,Collagen,CAF_vs_NF,1.568559277,0.209493705,0.019886364
collagen metabolic process,Collagen,CAF-Inh_vs_CAF,-1.509414545,0.236235383,0.037463977
collagen fibril organization,Collagen,CAF_vs_NF,1.812909575,0.131292969,0.005464481
collagen fibril organization,Collagen,CAF-Inh_vs_CAF,-1.916667539,0.130503434,0.005952381
collagen trimer,Collagen,CAF_vs_NF,2.022963805,0.047097084,0
collagen trimer,Collagen,CAF-Inh_vs_CAF,-2.170938685,0.135643292,0.003267974
complex of collagen trimers,Collagen,CAF_vs_NF,2.023146786,0.04759676,0
complex of collagen trimers,Collagen,CAF-Inh_vs_CAF,-2.387224497,0.197583027,0
extracellular matrix,Extracellular matrix,CAF_vs_NF,2.369505376,0.000274996,0
extracellular matrix,Extracellular matrix,CAF-Inh_vs_CAF,-2.166760829,0.130442819,0
extracellular matrix assembly,Extracellular matrix,CAF_vs_NF,1.95404848,0.076611496,0.005128205
extracellular matrix assembly,Extracellular matrix,CAF-Inh_vs_CAF,-1.860445301,0.143877147,0.013297872
extracellular matrix structural constituent,Extracellular matrix,CAF_vs_NF,2.285375491,0.002673576,0
extracellular matrix structural constituent,Extracellular matrix,CAF-Inh_vs_CAF,-2.252803303,0.126640753,0
collagen-containing extracellular matrix,Extracellular matrix,CAF_vs_NF,2.355300943,0.000374995,0
collagen-containing extracellular matrix,Extracellular matrix,CAF-Inh_vs_CAF,-2.20674672,0.146116103,0
basement membrane,Basement membrane,CAF_vs_NF,1.919407158,0.089782027,0
basement membrane,Basement membrane,CAF-Inh_vs_CAF,-1.867228619,0.142227952,0.006134969
basement membrane organization,Basement membrane,CAF_vs_NF,2.004250996,0.054747938,0
basement membrane organization,Basement membrane,CAF-Inh_vs_CAF,-2.134193025,0.123932607,0.004962779
