GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation
SAMD12,4242,1.49,1.23,1.66,1.59,1.11,0.88,0.586245418,0.04959631,0.04959631,*
ARHGEF17-AS1,1419,1.16,1.4,1.21,0.68,0.76,0.47,1.057723383,0.049267006,0.049267006,Up
NKAIN2,3311,0.02,0.05,0.12,0,0,0,4.459772877,0.048508129,0.048508129,Up
VPS28,1001,1.74,0.75,0.46,0.07,0.16,0.58,2.038799914,0.048413917,0.048413917,Up
CHRDL2,1720,0.14,0.28,0.17,0.05,0.04,0,2.919228079,0.04830275,0.04830275,Up
NALCN,6848,0.6,0.62,0.46,0.35,0.46,0.3,0.652287737,0.048229048,0.048229048,*
ARHGEF37,4840,0.53,0.6,0.69,0.5,0.37,0.29,0.750992152,0.047751313,0.047751313,*
DMKN,992,1.31,0.5,0.52,0.18,0.07,0.14,1.905883669,0.047666157,0.047666157,Up
DDAH2,1193,5.85,3.99,2.66,2.19,3.73,1.33,0.849716167,0.047526608,0.047526608,*
CACNA2D3,3789,0.25,0.11,0.17,0.08,0.01,0.05,1.891238884,0.047435235,0.047435235,Up
DAXX-2,2477,0.41,0.11,0.12,0,0.1,0,2.755858135,0.047207937,0.047207937,Up
RGS2,1348,3.13,2.25,2.63,1.84,1.58,1.66,0.72352884,0.046932051,0.046932051,*
SMKR1,967,0.33,0.37,0.07,0,0,0,4.465254158,0.046612047,0.046612047,Up
ZC3H3-2,1675,3.7,1.52,1,1.97,0.23,0.43,1.321279864,0.046094452,0.046094452,Up
EFNB3,3216,0.3,0.54,0.34,0.15,0.19,0.19,1.230243701,0.04564523,0.04564523,Up
AQP3,1825,3.62,4.15,3.04,1.83,1.81,3.3,0.61913801,0.044677197,0.044677197,*
IFIT1,4308,1.23,1.19,1.49,0.67,1.25,0.78,0.609912414,0.044371147,0.044371147,*
MTMR9,7080,2.15,0.91,0.96,0.62,0.7,0,3.535806711,0.044078037,0.044078037,Up
GOLGA8Q-3,5108,0.33,0,0.03,0,0.04,0.02,3.039762845,0.043941434,0.043941434,Up
IPCEF1,6837,0.03,0.03,0.01,0,0,0,4.454377299,0.043760347,0.043760347,Up
GABBR1-6,3740,0.55,0.02,0.32,0.12,0.12,0,2.107797006,0.043386091,0.043386091,Up
CCDC153,734,0.4,1.01,0.62,0.19,0,0,3.435196623,0.041606541,0.041606541,Up
TMEM217,2533,1.57,1.17,1.02,0.74,1.01,0.44,0.834786198,0.041474316,0.041474316,*
HDHD3,1469,3.47,2.58,4.67,2.15,2.66,2.33,0.640764242,0.041108909,0.041108909,*
TNFAIP3,4455,1.35,1.24,0.91,1.02,0.72,0.77,0.598147941,0.04032142,0.04032142,*
CA11,1715,0.4,0.24,0.38,0.09,0.06,0.1,2.119513957,0.039645929,0.039645929,Up
ADRA1B,2703,1.96,1.42,1.79,1.24,1.38,0.98,0.625398367,0.039417627,0.039417627,*
C16orf89,1248,0.33,0.17,0.1,0,0,0.05,3.925118626,0.039135544,0.039135544,Up
ZNF780B-2,8731,0.37,0.32,0.33,0.18,0.27,0.19,0.76326293,0.038648124,0.038648124,*
BTBD8,4580,0.81,1.11,0.96,0.45,0.4,0.91,0.710222861,0.038085534,0.038085534,*
MROH8,3472,0.43,0,0,0,0,0,5.091569914,0.037734351,0.037734351,Up
C7orf31,3461,0.99,1.64,0.9,0.48,0.85,0.86,0.768111705,0.037557471,0.037557471,*
TYMP,1689,1.79,2.87,1.99,1.06,1.64,1.32,0.798720641,0.037136491,0.037136491,*
IRF1-AS1,640,5.72,7.81,7.31,3.48,3.68,5.06,0.846090392,0.037128318,0.037128318,*
IFIH1,3852,0.64,0.7,0.54,0.31,0.42,0.34,0.88187214,0.036147378,0.036147378,*
PTGES,1751,2.54,2.89,3.24,2,1.23,2.4,0.690819923,0.036049944,0.036049944,*
FAM43B,2448,0.08,0.11,0.13,0,0,0.02,3.944670193,0.035848303,0.035848303,Up
LGALSL,3856,0.43,0.21,0.2,0.14,0.1,0.08,1.473430236,0.035801419,0.035801419,Up
MILIP,1895,1.02,1.82,1.29,0.61,0.56,1.04,0.973822438,0.035711188,0.035711188,*
TLR3,6015,0.18,0.19,0.33,0.01,0.11,0.14,1.480805786,0.035408216,0.035408216,Up
ETV7,1329,0.7,0.74,0.41,0.08,0.12,0.46,1.843443147,0.035192652,0.035192652,Up
GGT5,2428,0.89,0.81,0.37,0.38,0.34,0.27,1.190501473,0.035109846,0.035109846,Up
RGS17,7932,0.24,0.34,0.34,0.19,0.11,0.21,0.925977328,0.034984374,0.034984374,*
ELAPOR1,6103,0.62,0.69,0.52,0.46,0.28,0.33,0.715062746,0.034939391,0.034939391,*
SNCA,2731,0.5,0.55,0.93,0.38,0.24,0.37,1.119346258,0.034902682,0.034902682,Up
ATP6V1E2,2502,1.39,1.46,1.27,0.74,0.96,1.11,0.717236274,0.034654605,0.034654605,*
HAS3,4453,0.56,0.5,0.68,0.35,0.39,0.24,0.890191848,0.034261417,0.034261417,*
SLC14A1,3741,0.22,0.14,0.55,0.07,0.21,0.08,1.704635972,0.034112615,0.034112615,Up
GAREM1,6289,0.4,0.55,0.61,0.3,0.41,0.28,0.749210146,0.033216811,0.033216811,*
ESPNL,3573,0.7,1.1,0.63,0.4,0.49,0.5,0.856248523,0.032560821,0.032560821,*
XAF1,2645,0.18,0.09,0.06,0.01,0.01,0,3.462439194,0.032502765,0.032502765,Up
ERBB3,2004,0.52,0.66,1.39,0.76,0.31,0.44,1.256727586,0.0323761,0.0323761,Up
ST6GALNAC3,3774,1.01,0.6,0.58,0.81,0.21,0.52,0.846252924,0.032108949,0.032108949,*
CMKLR1,5488,0.21,0.35,0.3,0.18,0.15,0.09,1.174939194,0.032018733,0.032018733,Up
TNFRSF14,1734,2.31,1.96,1.81,1.11,1.32,1.2,0.790138346,0.030741309,0.030741309,*
FRRS1L,8155,0,0.01,0.09,0,0,0,4.978494806,0.03064181,0.03064181,Up
CPLANE2,3392,1.25,1.5,1.59,1.05,1.25,1.11,0.595013281,0.030216901,0.030216901,*
CPLANE2-2,3392,1.25,1.5,1.59,1.05,1.25,1.11,0.595013281,0.030216901,0.030216901,*
C6,3691,0.09,0.13,0.05,0.01,0,0.01,3.465758819,0.030175009,0.030175009,Up
