GeneID,logFC,PValue,FDR,Regulation,PathwayID,PathwayName,PathwaySource
COL8A2,0.851770588,0.007572793,0.007572793,Up,GOBP_BASEMENT_MEMBRANE_ASSEMBLY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ASSEMBLY,GOBP_BASEMENT_MEMBRANE_ASSEMBLY.v2026.1.Hs.gmt
NTN4,1.40213367,4.53e-51,4.53e-51,Up,GOBP_BASEMENT_MEMBRANE_ASSEMBLY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ASSEMBLY,GOBP_BASEMENT_MEMBRANE_ASSEMBLY.v2026.1.Hs.gmt
COL6A1,0.653701238,6.74e-46,6.74e-46,Up,GOBP_BASEMENT_MEMBRANE_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION,GOBP_BASEMENT_MEMBRANE_ORGANIZATION.v2026.1.Hs.gmt
COL8A2,0.851770588,0.007572793,0.007572793,Up,GOBP_BASEMENT_MEMBRANE_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION,GOBP_BASEMENT_MEMBRANE_ORGANIZATION.v2026.1.Hs.gmt
LAMA1,0.658614338,1.24e-10,1.24e-10,Up,GOBP_BASEMENT_MEMBRANE_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION,GOBP_BASEMENT_MEMBRANE_ORGANIZATION.v2026.1.Hs.gmt
NTN4,1.40213367,4.53e-51,4.53e-51,Up,GOBP_BASEMENT_MEMBRANE_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION,GOBP_BASEMENT_MEMBRANE_ORGANIZATION.v2026.1.Hs.gmt
SPINT2,1.089425479,0.020135167,0.020135167,Up,GOBP_BASEMENT_MEMBRANE_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION,GOBP_BASEMENT_MEMBRANE_ORGANIZATION.v2026.1.Hs.gmt
CCN3,0.866255986,0.002319099,0.002319099,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
DPP4,1.162753773,4.12e-21,4.12e-21,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
ICAM1,1.702085978,4.11e-27,4.11e-27,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
ITGA11,1.173486987,3.55e-60,3.55e-60,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
ITGBL1,0.860595941,3.54e-14,3.54e-14,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
LIF,1.650354688,3.18e-42,3.18e-42,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
MUC1,1.219435444,9.25e-07,9.25e-07,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
PLPP3,0.702883824,2.77e-21,2.77e-21,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
TGFB2,0.794331218,5.06e-06,5.06e-06,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
VCAM1,5.929665834,5.72e-10,5.72e-10,Up,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt
CELSR3,0.909722646,0.000258046,0.000258046,Up,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN.v2026.1.Hs.gmt
RGCC,1.867902196,2.17e-77,2.17e-77,Up,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN.v2026.1.Hs.gmt
VEGFA,0.799914277,1.92e-12,1.92e-12,Up,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN.v2026.1.Hs.gmt
ADAMTS9,2.037593541,1.68e-06,1.68e-06,Up,GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt
