PathwayID,PathwayName,PathwaySource,GeneCount,UpGenes,DownGenes,AvgLogFC,MinFDR,GeneList
GOBP_CELL_MOTILITY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY,GOBP_CELL_MOTILITY.v2026.1.Hs.gmt,126,126,0,1.35010371896032,0,ABCC1; ACKR3; ACKR4; ADAMTS9; ADGRG1; ARID5B; BBS1; BMP4; BST1; CAMK1D; CARMIL1; CASS4; CATSPER2; CCL2; CCN3; CCN4; CEMIP; CMKLR1; CSF1; CTSH; CXCL16; DAAM2; DAB2; DCHS1; DCN; DDIT4; DDR1; DNAAF4; DNAH5; DNALI1; DPP4; EDNRB; EPHB3; F10; F3; FAM107A; FBLN1; FBN2; FGFR4; FLRT3; FMNL1; GAS6; GDF6; GFRA1; GGT5; GLIPR2; GPNMB; HGF; ICAM1; IGFBP5; IL12A; IL16; IL34; IL6R; ITGA11; ITGA7; ITGBL1; JAM2; KIAA0319L; KIT; LAMA1; LAMA3; LAMA4; LAMA5; LGMN; LIMD1; LRRC23; MATN2; MCC; MEST; MGAT3; MSX2; MTUS1; MYCBPAP; MYLK; NAV1; NF1; NTN4; P2RX4; PARP9; PDGFD; PIK3C2B; PIK3CD; PLPP3; PLXNC1; PODN; PPARG; PTK2B; PYCARD; RARRES2; RELN; RGCC; RHOF; RIPOR2; ROBO3; ROPN1L; ROR2; SDC3; SEMA3B; SEMA4B; SEMA4G; SFRP1; SHROOM2; SMAD3; SORL1; SPINT2; STAT3; STAT5A; SYNPO2; TAC3; TCAF2; TCP11L2; TEK; TGFB2; TGFBR3; THY1; TNC; TNFRSF14; TTC12; TTLL1; TTLL3; VCAM1; VEGFA; VSIR; VSTM4; ZFAND5
GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt,115,115,0,1.32140736806087,0,ABCC1; ACKR3; ACKR4; ADAMTS9; ADGRG1; ARID5B; BBS1; BMP4; BST1; CAMK1D; CARMIL1; CASS4; CCL2; CCN3; CCN4; CEMIP; CMKLR1; CSF1; CTSH; CXCL16; DAAM2; DAB2; DCHS1; DCN; DDIT4; DDR1; DNAAF4; DPP4; EDNRB; EPHB3; F10; F3; FAM107A; FBLN1; FBN2; FGFR4; FLRT3; FMNL1; GAS6; GDF6; GFRA1; GGT5; GLIPR2; GPNMB; HGF; ICAM1; IGFBP5; IL12A; IL16; IL34; IL6R; ITGA11; ITGA7; ITGBL1; JAM2; KIAA0319L; KIT; LAMA1; LAMA3; LAMA4; LAMA5; LGMN; LIMD1; MATN2; MCC; MEST; MGAT3; MSX2; MTUS1; MYLK; NAV1; NF1; NTN4; P2RX4; PARP9; PDGFD; PIK3C2B; PIK3CD; PLPP3; PLXNC1; PODN; PPARG; PTK2B; PYCARD; RARRES2; RELN; RGCC; RHOF; RIPOR2; ROBO3; ROR2; SDC3; SEMA3B; SEMA4B; SEMA4G; SFRP1; SHROOM2; SMAD3; SORL1; STAT3; STAT5A; SYNPO2; TCAF2; TCP11L2; TEK; TGFB2; TGFBR3; THY1; TNC; TNFRSF14; VCAM1; VEGFA; VSIR; VSTM4; ZFAND5
GOBP_EPITHELIAL_CELL_PROLIFERATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION,GOBP_EPITHELIAL_CELL_PROLIFERATION.v2026.1.Hs.gmt,36,36,0,1.10421609625,0,BMP4; CCL2; CCN3; CDKN2B; COL8A2; DAB2; EDNRB; ERBB3; F3; GATA6; GDF5; HGF; IGFBP4; IGFBP5; IL12A; KIT; MCC; MTSS1; NF1; NUPR1; PIK3CD; PPARG; PTCH1; RGCC; SERPINF1; SFRP1; SMAD3; STAT3; STAT5A; TEK; TGFB2; TGFBR3; TNFAIP3; VEGFA; VSTM4; WNT2
GOBP_CELL_SUBSTRATE_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION,GOBP_CELL_SUBSTRATE_ADHESION.v2026.1.Hs.gmt,33,33,0,1.30092404824242,6.75e-280,ADAMTS9; BCAM; BST1; CARMIL1; CASS4; CCDC80; CDKN2A; COL5A3; CSF1; DAB2; DDR1; EPHB3; FAM107A; FBLN1; FBLN2; GAS6; ITGA11; ITGA7; ITGA8; ITGBL1; LAMA5; NF1; NTN4; PLPP3; PTK2B; SFRP1; SMAD3; SVEP1; TEK; THY1; TMEM8B; VCAM1; VEGFA
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.v2026.1.Hs.gmt,30,30,0,1.15194841856667,1.25e-269,ABI3BP; CADM1; COL1A2; COL5A3; COL8A2; DAB2; DCN; FBLN1; FBLN2; FBN2; GAS1; IGFBP4; LAMA1; LAMA3; MATN2; MEST; MYLK; NNMT; OXTR; PMP22; PTX3; QSOX1; SFRP1; TGFBR3; THY1; TNC; TNFAIP3; TNFRSF11B; VCAM1; VEGFA
GOBP_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION,GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt,23,23,0,1.43739582082609,6.75e-280,ADAMTS9; BCAM; BST1; CDKN2A; COL5A3; CSF1; DDR1; FAM107A; ITGA11; ITGA7; ITGA8; ITGBL1; NF1; PLPP3; PTK2B; SFRP1; SMAD3; SVEP1; TEK; THY1; TMEM8B; VCAM1; VEGFA
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION.v2026.1.Hs.gmt,20,20,0,1.3948009828,1.48e-42,CARD11; CCL2; DPP4; EFNB3; HLA-A; HLA-E; HLX; IL12A; IL6R; ITPKB; PIK3CD; PLPP3; PYCARD; RASGRP1; SOCS1; STAT5A; THY1; TNFRSF14; VCAM1; VSIR
KEGG_FOCAL_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FOCAL_ADHESION,KEGG_FOCAL_ADHESION.v2026.1.Hs.gmt,18,18,0,1.02464600811111,1.7e-176,COL1A2; COL5A3; COL6A1; HGF; ITGA11; ITGA7; ITGA8; LAMA1; LAMA3; LAMA4; LAMA5; MYL5; MYLK; PDGFD; PIK3CD; RELN; TNC; VEGFA
GOBP_HOMOPHILIC_CELL_CELL_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HOMOPHILIC_CELL_CELL_ADHESION,GOBP_HOMOPHILIC_CELL_CELL_ADHESION.v2026.1.Hs.gmt,15,15,0,0.8577624368,8.14e-23,CADM1; CEACAM19; CELSR3; CLSTN3; DCHS1; PCDHGA2; PCDHGA4; PCDHGA7; PCDHGA9; PCDHGB1; PCDHGB2; PCDHGB3; ROBO3; SDK1; TRO
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION.v2026.1.Hs.gmt,14,14,0,1.13724913507143,2.17e-77,BMP4; DAB2; GLIPR2; HGF; LOXL3; MSX2; RGCC; SFRP1; SMAD3; SPRY1; TGFB2; TGFBR3; VEGFA; WNT2
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY,GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY.v2026.1.Hs.gmt,14,14,0,0.904206623857143,4.37e-118,COL1A2; COL6A1; COL8A2; GAS6; HAS3; LTBP4; MFAP4; NTN4; PPARG; QSOX1; RGCC; SMAD3; TGFBR3; THSD4
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION.v2026.1.Hs.gmt,14,14,0,0.890579780785714,9.1e-69,CARMIL1; CASS4; CCDC80; CSF1; DAB2; FBLN1; FBLN2; PLPP3; PTK2B; SFRP1; SMAD3; TEK; THY1; VEGFA
GOCC_BASEMENT_MEMBRANE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_BASEMENT_MEMBRANE,GOCC_BASEMENT_MEMBRANE.v2026.1.Hs.gmt,13,13,0,1.16049488015385,1.7e-176,CCDC80; COL15A1; COL18A1; COL6A1; COL8A2; FBLN1; LAMA1; LAMA3; LAMA4; LAMA5; MATN2; NTN4; TNC
KEGG_CELL_ADHESION_MOLECULES_CAMS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_CELL_ADHESION_MOLECULES_CAMS.v2026.1.Hs.gmt,13,13,0,1.38247735538462,3.53e-80,CADM1; CLDN11; CLDN23; CNTNAP1; HLA-A; HLA-B; HLA-E; ICAM1; ITGA8; JAM2; NFASC; SDC3; VCAM1
KEGG_ECM_RECEPTOR_INTERACTION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ECM_RECEPTOR_INTERACTION,KEGG_ECM_RECEPTOR_INTERACTION.v2026.1.Hs.gmt,13,13,0,1.06940726076923,1.7e-176,COL1A2; COL5A3; COL6A1; ITGA11; ITGA7; ITGA8; LAMA1; LAMA3; LAMA4; LAMA5; RELN; SDC3; TNC
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_FIBRIL_ORGANIZATION,GOBP_COLLAGEN_FIBRIL_ORGANIZATION.v2026.1.Hs.gmt,12,12,0,1.03084694516667,4.25e-57,ADAMTS14; ADAMTS19; ADAMTS7; AEBP1; COL14A1; COL1A2; COL5A3; COL6A1; LOXL3; LOXL4; NF1; TGFB2
GOBP_COLLAGEN_METABOLIC_PROCESS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_METABOLIC_PROCESS,GOBP_COLLAGEN_METABOLIC_PROCESS.v2026.1.Hs.gmt,11,11,0,1.18359489363636,2.17e-77,ADAMTS14; BMP4; COL1A2; COL6A1; CTSK; IL6R; MFAP4; P2RX7; RGCC; TNS2; VSIR
GOMF_COLLAGEN_BINDING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_BINDING,GOMF_COLLAGEN_BINDING.v2026.1.Hs.gmt,11,11,0,1.02667507527273,3.55e-60,ADGRG1; AEBP1; C1QTNF1; COL14A1; COL5A3; COL6A1; CTSK; DDR1; ITGA11; PODN; SMAD3
GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt,10,10,0,1.6061849673,3.55e-60,CCN3; DPP4; ICAM1; ITGA11; ITGBL1; LIF; MUC1; PLPP3; TGFB2; VCAM1
GOCC_COLLAGEN_TRIMER,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COLLAGEN_TRIMER,GOCC_COLLAGEN_TRIMER.v2026.1.Hs.gmt,9,9,0,1.04631522844444,4.25e-57,C1QTNF1; COL14A1; COL15A1; COL18A1; COL1A2; COL5A3; COL6A1; COL8A2; COLEC12
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION,GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt,8,8,0,0.889703906125,1.79e-50,CSF1; PLPP3; PTK2B; SFRP1; SMAD3; TEK; THY1; VEGFA
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY.v2026.1.Hs.gmt,7,7,0,1.03136188914286,2.82e-37,ADAMTS15; CTSK; DDR1; DPP4; FGFR4; STAT3; TGFB2
GOBP_FOCAL_ADHESION_ASSEMBLY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FOCAL_ADHESION_ASSEMBLY,GOBP_FOCAL_ADHESION_ASSEMBLY.v2026.1.Hs.gmt,6,6,0,1.429958651,1.79e-50,FAM107A; SFRP1; SMAD3; TEK; THY1; VEGFA
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION,GOBP_BASEMENT_MEMBRANE_ORGANIZATION.v2026.1.Hs.gmt,5,5,0,0.9311290626,4.53e-51,COL6A1; COL8A2; LAMA1; NTN4; SPINT2
GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS.v2026.1.Hs.gmt,5,5,0,1.481347324,2.17e-77,BMP4; IL6R; MFAP4; RGCC; VSIR
GOCC_COMPLEX_OF_COLLAGEN_TRIMERS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COMPLEX_OF_COLLAGEN_TRIMERS,GOCC_COMPLEX_OF_COLLAGEN_TRIMERS.v2026.1.Hs.gmt,5,5,0,0.8727397646,4.25e-57,COL14A1; COL1A2; COL5A3; COL6A1; COL8A2
GOBP_HOMOTYPIC_CELL_CELL_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HOMOTYPIC_CELL_CELL_ADHESION,GOBP_HOMOTYPIC_CELL_CELL_ADHESION.v2026.1.Hs.gmt,4,4,0,0.9138189765,2.77e-21,ADGRG1; C1QTNF1; IL6R; PLPP3
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION.v2026.1.Hs.gmt,4,4,0,1.011703498,2.17e-77,RGCC; SMAD3; STAT3; TGFB2
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN.v2026.1.Hs.gmt,3,3,0,1.19251303966667,2.17e-77,CELSR3; RGCC; VEGFA
GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS.v2026.1.Hs.gmt,3,3,0,1.68929281633333,2.17e-77,BMP4; IL6R; RGCC
GOBP_COLLAGEN_CATABOLIC_PROCESS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_CATABOLIC_PROCESS,GOBP_COLLAGEN_CATABOLIC_PROCESS.v2026.1.Hs.gmt,3,3,0,1.044481757,4.31e-21,ADAMTS14; CTSK; VSIR
GOBP_FIBROBLAST_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FIBROBLAST_MIGRATION,GOBP_FIBROBLAST_MIGRATION.v2026.1.Hs.gmt,3,3,0,0.766191560333333,1.22e-44,ARID5B; CCN3; ZFAND5
