PathwaySource,PathwayCount,GeneCount,MappingCount
GOBP_BASEMENT_MEMBRANE_ASSEMBLY.v2026.1.Hs.gmt,1,2,2
GOBP_BASEMENT_MEMBRANE_ORGANIZATION.v2026.1.Hs.gmt,1,5,5
GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN.v2026.1.Hs.gmt,1,10,10
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN.v2026.1.Hs.gmt,1,3,3
GOBP_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt,1,23,23
GOBP_CELL_MIGRATION.v2026.1.Hs.gmt,1,115,115
GOBP_CELL_MOTILITY.v2026.1.Hs.gmt,1,126,126
GOBP_CELL_SUBSTRATE_ADHESION.v2026.1.Hs.gmt,1,33,33
GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY.v2026.1.Hs.gmt,1,2,2
GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY.v2026.1.Hs.gmt,1,1,1
GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS.v2026.1.Hs.gmt,1,3,3
GOBP_COLLAGEN_CATABOLIC_PROCESS.v2026.1.Hs.gmt,1,3,3
GOBP_COLLAGEN_FIBRIL_ORGANIZATION.v2026.1.Hs.gmt,1,12,12
GOBP_COLLAGEN_METABOLIC_PROCESS.v2026.1.Hs.gmt,1,11,11
GOBP_EPITHELIAL_CELL_CELL_ADHESION.v2026.1.Hs.gmt,1,2,2
GOBP_EPITHELIAL_CELL_PROLIFERATION.v2026.1.Hs.gmt,1,36,36
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION.v2026.1.Hs.gmt,1,14,14
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY.v2026.1.Hs.gmt,1,14,14
GOBP_EXTRACELLULAR_MATRIX_CELL_SIGNALING.v2026.1.Hs.gmt,1,1,1
GOBP_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION.v2026.1.Hs.gmt,1,2,2
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY.v2026.1.Hs.gmt,1,7,7
GOBP_FIBROBLAST_MIGRATION.v2026.1.Hs.gmt,1,3,3
GOBP_FOCAL_ADHESION_ASSEMBLY.v2026.1.Hs.gmt,1,6,6
GOBP_HETEROTYPIC_CELL_CELL_ADHESION.v2026.1.Hs.gmt,1,3,3
GOBP_HOMOPHILIC_CELL_CELL_ADHESION.v2026.1.Hs.gmt,1,15,15
GOBP_HOMOTYPIC_CELL_CELL_ADHESION.v2026.1.Hs.gmt,1,4,4
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION.v2026.1.Hs.gmt,1,20,20
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt,1,8,8
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION.v2026.1.Hs.gmt,1,14,14
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION.v2026.1.Hs.gmt,1,3,3
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY.v2026.1.Hs.gmt,1,2,2
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY.v2026.1.Hs.gmt,1,2,2
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION.v2026.1.Hs.gmt,1,4,4
GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION.v2026.1.Hs.gmt,1,2,2
GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING.v2026.1.Hs.gmt,1,3,3
GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION.v2026.1.Hs.gmt,1,2,2
GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS.v2026.1.Hs.gmt,1,5,5
GOCC_BASEMENT_MEMBRANE.v2026.1.Hs.gmt,1,13,13
GOCC_COLLAGEN_TRIMER.v2026.1.Hs.gmt,1,9,9
GOCC_COLLAGEN_TYPE_VI_TRIMER.v2026.1.Hs.gmt,1,1,1
GOCC_COMPLEX_OF_COLLAGEN_TRIMERS.v2026.1.Hs.gmt,1,5,5
GOMF_COLLAGEN_BINDING.v2026.1.Hs.gmt,1,11,11
GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt,1,1,1
GOMF_COLLAGEN_RECEPTOR_ACTIVITY.v2026.1.Hs.gmt,1,2,2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.v2026.1.Hs.gmt,1,30,30
KEGG_CELL_ADHESION_MOLECULES_CAMS.v2026.1.Hs.gmt,1,13,13
KEGG_ECM_RECEPTOR_INTERACTION.v2026.1.Hs.gmt,1,13,13
KEGG_FOCAL_ADHESION.v2026.1.Hs.gmt,1,18,18
