GeneID,logFC,PValue,FDR
SAMD12,0.586245418,0.04959631,0.04959631
ARHGEF17-AS1,1.057723383,0.049267006,0.049267006
NKAIN2,4.459772877,0.048508129,0.048508129
VPS28,2.038799914,0.048413917,0.048413917
CHRDL2,2.919228079,0.04830275,0.04830275
NALCN,0.652287737,0.048229048,0.048229048
ARHGEF37,0.750992152,0.047751313,0.047751313
DMKN,1.905883669,0.047666157,0.047666157
DDAH2,0.849716167,0.047526608,0.047526608
CACNA2D3,1.891238884,0.047435235,0.047435235
DAXX-2,2.755858135,0.047207937,0.047207937
RGS2,0.72352884,0.046932051,0.046932051
SMKR1,4.465254158,0.046612047,0.046612047
ZC3H3-2,1.321279864,0.046094452,0.046094452
AQP3,0.61913801,0.044677197,0.044677197
IFIT1,0.609912414,0.044371147,0.044371147
MTMR9,3.535806711,0.044078037,0.044078037
GOLGA8Q-3,3.039762845,0.043941434,0.043941434
IPCEF1,4.454377299,0.043760347,0.043760347
GABBR1-6,2.107797006,0.043386091,0.043386091
CCDC153,3.435196623,0.041606541,0.041606541
TMEM217,0.834786198,0.041474316,0.041474316
HDHD3,0.640764242,0.041108909,0.041108909
CA11,2.119513957,0.039645929,0.039645929
ADRA1B,0.625398367,0.039417627,0.039417627
C16ORF89,3.925118626,0.039135544,0.039135544
ZNF780B-2,0.76326293,0.038648124,0.038648124
BTBD8,0.710222861,0.038085534,0.038085534
MROH8,5.091569914,0.037734351,0.037734351
C7ORF31,0.768111705,0.037557471,0.037557471
TYMP,0.798720641,0.037136491,0.037136491
IRF1-AS1,0.846090392,0.037128318,0.037128318
IFIH1,0.88187214,0.036147378,0.036147378
PTGES,0.690819923,0.036049944,0.036049944
FAM43B,3.944670193,0.035848303,0.035848303
LGALSL,1.473430236,0.035801419,0.035801419
MILIP,0.973822438,0.035711188,0.035711188
TLR3,1.480805786,0.035408216,0.035408216
ETV7,1.843443147,0.035192652,0.035192652
RGS17,0.925977328,0.034984374,0.034984374
ELAPOR1,0.715062746,0.034939391,0.034939391
SNCA,1.119346258,0.034902682,0.034902682
ATP6V1E2,0.717236274,0.034654605,0.034654605
SLC14A1,1.704635972,0.034112615,0.034112615
GAREM1,0.749210146,0.033216811,0.033216811
ESPNL,0.856248523,0.032560821,0.032560821
XAF1,3.462439194,0.032502765,0.032502765
ST6GALNAC3,0.846252924,0.032108949,0.032108949
FRRS1L,4.978494806,0.03064181,0.03064181
