,4033,4034,4027,4028,4116,4117,4214,4215,4299,4300
A1BG,259,116,212,88,296,119,214,171,193,210
A1BG-AS1,334,144,387,199,357,146,278,200,311,225
A1CF,1,1,0,0,0,2,0,0,2,0
A2M,477,3895,876,548,345,273,956,283,635,417
A2M-AS1,19,33,11,16,30,11,24,14,7,15
A2ML1,0,0,0,0,2,0,0,0,0,0
A2ML1-AS1,0,0,0,2,1,0,0,1,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0
A3GALT2,1,0,0,0,0,1,0,0,1,0
A4GALT,2627,3700,898,1824,1525,1981,2223,2149,1157,1999
A4GNT,4,4,4,2,5,0,1,3,0,1
AAAS,1462,1688,1262,1667,1724,1749,1235,1410,1116,1127
AACS,1291,1135,1485,1275,1606,1184,1102,970,1236,1032
AACSP1,0,0,0,0,0,0,0,0,0,0
AADAC,136,337,35,16,59,29,186,43,24,48
AADACL2,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,1,0,5,0,6,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0
AADACP1,2,0,0,0,0,0,0,0,1,0
AADAT,445,370,421,417,507,405,298,339,374,297
AAGAB,1402,1268,1602,1428,1788,1428,1317,1134,1293,1033
AAK1,917,1083,1124,1375,1309,1258,904,1016,934,810
AAMDC,171,170,164,143,129,113,200,164,111,134
AAMP,1000,1127,1310,1203,1388,1186,921,776,1024,933
AANAT,0,0,0,1,1,0,1,4,1,0
AAR2,1243,1349,1540,1624,1711,1492,1301,1176,1348,1055
AARD,6,2,3,1,4,0,2,3,5,7
AARS1,4421,4129,4639,5347,5683,5533,4142,5053,4064,6151
AARS1P1,0,0,0,0,0,0,0,0,0,0
AARS2,816,785,812,876,1063,947,614,707,727,605
AARSD1,621,642,746,815,826,780,584,598,571,540
AARSD1P1,2,2,6,6,5,0,2,3,1,0
AASDH,323,379,266,390,343,372,316,345,292,337
AASDHPPT,1436,1394,1499,1956,1811,1635,1304,1328,1455,1292
AASS,925,1064,1202,1004,1202,959,879,809,994,954
AATBC,3,0,4,5,7,4,0,1,2,0
AATF,1968,1998,2125,2682,2814,2507,1644,1838,2014,1511
AATK,65,23,46,7,52,15,26,44,41,16
ABALON,114,100,155,97,99,108,110,83,116,104
ABAT,208,295,137,158,252,195,272,175,145,235
ABCA1,2251,2259,537,1193,1307,1105,717,1002,1104,1801
ABCA10,10,12,13,18,9,10,13,19,7,11
ABCA11P,9,9,8,4,2,11,4,8,5,4
ABCA12,1,1,0,0,0,0,1,0,0,0
ABCA13,34,19,63,18,63,26,12,4,97,8
ABCA15P,0,0,0,0,0,0,0,0,0,0
ABCA17P,0,3,2,2,1,0,1,1,0,0
ABCA2,1887,1209,1956,1149,2558,1381,2059,1633,2233,1823
ABCA3,44,15,16,9,67,16,21,33,22,15
ABCA3P1,0,0,0,0,0,0,0,0,0,0
ABCA4,0,1,5,0,0,2,0,0,0,0
ABCA5,287,292,390,227,298,159,272,225,273,211
ABCA6,128,410,43,121,56,80,172,106,23,140
ABCA7,170,187,151,39,147,94,98,93,49,73
ABCA8,283,701,104,330,97,161,585,494,20,285
ABCA9,102,346,75,133,166,124,205,98,28,215
ABCA9-AS1,0,3,1,0,0,1,0,0,0,0
ABCB1,10,4,7,9,8,5,1,0,6,0
ABCB10,1500,1695,1716,1717,2056,1777,1632,1447,1554,1149
ABCB10P1,0,1,0,0,4,0,0,0,1,0
ABCB10P3,1,0,0,0,7,4,1,0,0,1
ABCB10P4,3,12,1,5,0,0,0,8,3,2
ABCB11,0,0,4,0,4,2,2,1,0,1
ABCB4,71,149,0,0,8,10,11,7,20,7
ABCB5,0,0,0,0,0,0,0,0,1,1
ABCB6,994,1038,678,762,969,1015,885,699,676,852
ABCB7,587,616,532,649,631,556,452,466,496,426
ABCB8,1201,1232,1013,1341,1379,1309,1065,1052,916,938
ABCB9,408,337,386,269,397,271,400,342,252,270
ABCC1,5525,5033,3909,4427,5024,4432,4175,3795,3981,3632
ABCC10,1374,1087,1252,1015,1524,1055,984,909,1218,995
ABCC11,12,5,12,13,12,9,1,6,5,2
ABCC12,0,0,0,0,1,1,0,0,0,0
ABCC13,0,0,0,0,0,0,0,0,0,0
ABCC2,28,72,56,102,110,157,82,79,61,135
ABCC3,987,1456,614,2220,1307,547,1250,906,1301,883
ABCC4,1979,2202,1493,2129,2252,2244,1607,1823,1968,1956
ABCC5,1506,1669,1452,1522,1925,1477,1057,1229,1264,1261
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0,0,0,0,0,0,0
ABCC6P1,0,0,0,0,0,0,0,0,0,0
ABCC6P2,0,1,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0,0,0
ABCC9,86,61,135,91,81,64,137,191,100,178
ABCD1,1179,775,759,439,912,514,715,494,761,619
ABCD1P2,0,0,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0,0,0,0,0
ABCD1P5,1,0,0,0,0,0,0,0,0,0
ABCD2,6,3,1,0,1,1,0,1,0,2
ABCD3,2226,2287,2580,2864,3154,2845,2437,2369,2266,2068
ABCD4,702,718,612,545,734,623,524,495,548,561
ABCE1,4580,4813,6884,8669,7874,7998,4526,4855,5374,4246
ABCF1,4088,3761,3939,4587,4990,4661,3431,3159,3889,2909
ABCF2,2173,2287,2262,3147,2814,2708,1924,1893,2133,1792
ABCF2-H2BK1,1347,1251,1342,1720,1843,1727,1148,1255,1187,1017
ABCF2P1,0,0,1,2,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0
ABCF3,327,342,275,420,373,314,238,279,228,260
ABCG1,11,6,3,2,0,2,2,0,4,13
ABCG2,210,51,283,52,110,34,58,18,50,39
ABCG4,14,9,5,8,10,6,4,5,4,6
ABCG5,0,1,0,0,0,0,0,1,0,1
ABCG8,0,0,1,0,1,1,1,0,0,0
ABHD1,0,1,0,1,1,2,3,0,2,0
ABHD10,1267,1021,1440,1560,1849,1554,1212,1264,1124,1035
ABHD11,89,87,130,94,101,123,48,61,61,38
ABHD12,2724,2424,3504,2596,3703,2644,3114,2600,2833,2291
ABHD12B,8,5,2,1,2,2,3,3,7,4
ABHD13,915,895,1071,981,1239,900,875,779,1158,806
ABHD14A,264,293,194,238,212,232,289,254,146,221
ABHD14A-ACY1,31,43,31,37,49,42,40,35,40,13
ABHD14B,310,275,283,265,323,242,311,229,159,141
ABHD15,383,304,501,279,768,399,598,517,504,536
ABHD15-AS1,0,0,0,0,0,0,0,0,0,0
ABHD16A,786,560,740,556,831,686,651,570,568,544
ABHD16B,114,74,122,117,127,84,123,73,131,123
ABHD17A,1017,965,1036,935,1172,888,688,688,962,752
ABHD17AP1,5,5,3,6,16,7,11,2,5,6
ABHD17AP3,2,0,3,2,1,0,4,3,1,1
ABHD17AP4,0,0,0,1,0,0,1,0,0,1
ABHD17AP5,0,3,1,0,0,0,1,0,1,2
ABHD17AP6,1,0,1,0,0,1,0,0,1,0
ABHD17AP7,0,0,0,0,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0,0,1,0,0
ABHD17AP9,0,0,0,0,0,0,0,0,0,0
ABHD17B,142,89,82,68,85,47,84,69,81,52
ABHD17C,1439,1427,610,724,773,653,865,606,594,478
ABHD18,87,23,37,30,53,18,45,39,37,25
ABHD2,14708,15410,9023,16701,13710,13823,10458,12275,7791,8323
ABHD3,299,271,400,316,429,273,292,228,298,233
ABHD4,11,18,16,10,3,5,7,6,2,21
ABHD5,1195,1465,2659,2514,2334,1935,1359,1272,2142,1154
ABHD6,711,486,394,387,422,306,404,346,379,321
ABHD8,433,352,305,224,363,200,305,292,300,302
ABI1,2765,2506,3270,2767,3435,2608,2482,2439,3008,2074
ABI1P1,0,0,0,0,0,0,0,0,0,0
ABI2,2971,1763,3482,2217,3747,2410,2267,1995,3012,2139
ABI3,29,51,39,55,42,98,57,89,28,32
ABI3BP,806,1149,3258,1415,1081,1615,1622,2216,707,1205
ABITRAM,432,471,638,689,684,661,468,495,495,465
ABITRAMP1,0,0,0,0,0,0,0,0,0,0
ABL1,8593,10132,7868,11034,9618,9350,9483,8208,7085,8301
ABL2,5066,4009,5853,4741,7327,4718,3769,3460,6800,3391
ABLIM1,303,59,115,58,243,62,129,125,189,103
ABLIM2,0,10,11,15,3,11,11,11,1,4
ABLIM3,1171,1293,2223,2309,904,1260,1155,1439,1474,1261
ABO,1,0,0,0,0,0,0,0,0,0
ABR,1104,1053,1358,995,1259,821,949,1029,1248,675
ABR-AS1,0,0,0,0,0,0,0,0,0,0
ABRA,1,0,1,0,0,0,0,0,1,0
ABRACL,661,565,636,552,684,488,589,562,547,377
ABRAXAS1,429,400,351,511,474,637,398,470,372,380
ABRAXAS1P1,0,1,0,0,0,0,0,1,0,0
ABRAXAS1P2,2,0,1,2,4,0,3,0,0,1
ABRAXAS2,1107,1223,1213,1228,1476,1303,989,1015,1119,944
ABT1,788,827,963,1045,1047,993,834,760,923,660
ABT1P1,0,0,0,0,0,0,0,1,0,0
ABTB1,1189,1421,830,841,836,836,1103,1114,834,999
ABTB2,821,575,416,582,505,392,552,556,688,787
ABTB3,767,172,311,553,881,396,127,237,276,88
ACAA1,1144,1108,920,968,1097,913,888,871,847,920
ACAA2,1830,1821,1860,1888,2390,2120,2054,2102,1818,1846
ACAA2P1,0,0,1,4,3,0,1,1,1,0
ACACA,1806,1973,2123,2568,2668,2432,1972,2366,1755,1592
ACACB,244,211,147,139,118,94,186,159,8,137
ACAD10,564,645,430,571,544,576,451,540,322,343
ACAD11,1226,892,1023,649,920,648,871,648,739,849
ACAD8,770,569,805,685,908,648,544,533,711,537
ACAD9,1546,1575,1596,2018,2075,1850,1424,1475,1285,1083
ACAD9-DT,5,17,3,10,5,7,3,8,3,3
