GeneID,logFC,PValue,FDR,Regulation,PathwayCount,PathwayList
SMAD3,0.653476999,3.09e-39,3.09e-39,Up,13,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FOCAL_ADHESION_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_BINDING
COL6A1,0.653701238,6.74e-46,6.74e-46,Up,12,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_FIBRIL_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_METABOLIC_PROCESS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_BASEMENT_MEMBRANE; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COLLAGEN_TRIMER; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COLLAGEN_TYPE_VI_TRIMER; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_BINDING; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ECM_RECEPTOR_INTERACTION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FOCAL_ADHESION
RGCC,1.867902196,2.17e-77,2.17e-77,Up,12,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_METABOLIC_PROCESS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS
VEGFA,0.799914277,1.92e-12,1.92e-12,Up,12,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FOCAL_ADHESION_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FOCAL_ADHESION
ITGA11,1.173486987,3.55e-60,3.55e-60,Up,11,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_BINDING; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_RECEPTOR_ACTIVITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ECM_RECEPTOR_INTERACTION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FOCAL_ADHESION
PLPP3,0.702883824,2.77e-21,2.77e-21,Up,10,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HOMOTYPIC_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION
SFRP1,0.679862909,1.79e-50,1.79e-50,Up,10,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FOCAL_ADHESION_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
TGFB2,0.794331218,5.06e-06,5.06e-06,Up,10,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_FIBRIL_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
THY1,0.602901533,7.73e-40,7.73e-40,Up,10,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FOCAL_ADHESION_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HETEROTYPIC_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
COL5A3,0.954958969,2.17e-10,2.17e-10,Up,9,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_FIBRIL_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COLLAGEN_TRIMER; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_BINDING; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ECM_RECEPTOR_INTERACTION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FOCAL_ADHESION
