Feature,Fold_Enrichment,Overlaps_A,Total_A,Cell
STAT3,20.628,2,201,T-47D
NFKB1,18.5652,1,201,MDA-MB-231
STAT3,16.8774,2,201,T-47D
STAT3,16.8774,2,201,T-47D
STAT3,15.471,1,201,MIA Paca-2
STAT3,13.2608,2,201,T-47D
STAT3,11.6032,1,201,T-47D
STAT3,9.77114,2,201,Th2 Cells
STAT3,9.28259,1,201,T-47D
STAT3,9.28259,1,201,T-47D
STAT3,9.28259,1,201,Th2 Cells
STAT3,8.43872,1,201,MIA Paca-2
NFKB1,7.73549,1,201,MDA-MB-231
STAT3,7.42607,2,201,MCF-7
NFKB1,7.32836,3,201,MDA-MB-231
NFKB1,6.63042,1,201,MDA-MB-231
STAT3,6.08694,4,201,MCF-7
STAT3,5.98877,2,201,T-47D
NFKB1,5.80162,2,201,CD4+ T cells
STAT3,5.46035,2,201,T-47D
STAT3,5.25429,3,201,JB6
NFKB1,4.95071,4,201,MDA-MB-231
NFKB1,4.88557,2,201,CD4+ T cells
STAT3,4.64129,4,201,Osteoblasts
NFKB1,4.42028,1,201,MDA-MB-231
STAT3,4.21936,2,201,MCF-7
NFKB1,4.21936,5,201,MDA-MB-231
STAT3,4.12559,6,201,MCF 10A
STAT3,4.08026,4,201,Th17 Cells
STAT3,3.93807,7,201,Th2 Cells
STAT3,3.8477,8,201,Th2 Cells
TCF4,3.83578,5,201,SH-SY5Y
TP53,3.78881,2,201,A498
SMAD3,3.77341,5,201,hESC derived mesendodermal cells
NFKB1,3.71303,1,201,CD4+ T cells
JUN,3.64573,13,201,A549
TCF4,3.64023,2,201,hESC derived ectodermal cells
SMAD3,3.601,9,201,hESC derived mesendodermal cells
NFKB1,3.57023,1,201,CD4+ T cells
STAT3,3.50286,6,201,AGS
STAT3,3.438,3,201,Th2 Cells
STAT3,3.37549,2,201,TMD8
TCF4,3.37549,4,201,SH-SY5Y
TP53,3.31521,1,201,hESC derived endodermal cells
SOX9,3.22312,5,201,PANC-1
TP53,3.20089,1,201,MCF 10A
TP53,3.0942,1,201,MCF-7
NFKB1,3.05348,5,201,MDA-MB-231
STAT3,2.99438,3,201,SU-DHL-1
SMAD3,2.93355,14,201,hESC derived mesendodermal cells
TP53,2.916,6,201,U2OS
TP53,2.90081,1,201,hESC derived mesodermal cells
TP53,2.81291,1,201,hESC H9
TP53,2.81291,1,201,A2780
NFKB1,2.67767,3,201,CD4+ T cells
JUN,2.65217,1,201,A549
JUN,2.62715,3,201,BT-549
STAT3,2.5785,4,201,Colorectal cancer
TP53,2.5785,1,201,U2OS
STAT3,2.50881,1,201,T-47D
TP53,2.50881,1,201,hESC derived mesodermal cells
NFKB1,2.48641,3,201,HeLa
STAT3,2.44279,4,201,MDA-MB-231
STAT3,2.44279,3,201,TMD8
NFKB1,2.44279,10,201,MCF 10A
TP53,2.44279,2,201,BJ
TP53,2.44279,1,201,UACC-257
TP53,2.40067,6,201,Osteoblasts
JUN,2.38015,1,201,A549
TP53,2.38015,1,201,MCF-7
STAT3,2.37508,12,201,Th2 Cells
STAT3,2.36284,7,201,Th2 Cells
TP53,2.34578,7,201,U2OS
STAT3,2.32065,1,201,TMD8
TP53,2.32065,1,201,UACC-257
TP53,2.26405,1,201,hESC derived endodermal cells
STAT3,2.23378,9,201,Th2 Cells
TCF4,2.23005,8,201,hESC derived endodermal cells
STAT3,2.15874,1,201,OCI-LY-10
NFKB1,2.15874,1,201,CD4+ T cells
STAT3,2.13393,2,201,MCF10DCIS.com
JUN,2.11569,8,201,A549
TP53,2.10968,1,201,HCT 116
TP53,2.0628,4,201,IMR-90
TP53,2.0628,1,201,T cells
TCF4,2.05037,11,201,hESC derived endodermal cells
NFKB1,2.04914,10,201,CD4+ T cells
E2F1,2.04879,13,201,Lymphoblastoid cell line
TP53,2.04013,8,201,IMR-90
TP53,1.97502,4,201,U2OS
SNAI2,1.95423,2,201,Keratinocytes
TP53,1.94196,5,201,Osteoblasts
JUN,1.93892,16,201,Fibroblasts
STAT3,1.93387,5,201,Th17 Cells
JUN,1.93387,1,201,LNCAP
TP53,1.87738,9,201,GM00011
E2F1,1.87527,6,201,Lymphoblastoid cell line
TCF4,1.86719,14,201,hESC derived endodermal cells
TCF4,1.86585,4,201,SK-N-SH
TP53,1.85652,1,201,Lymphoblastoid cells
TP53,1.84016,9,201,HCT 116
TP53,1.82728,5,201,U2OS
TP53,1.82012,1,201,A2780
TP53,1.82012,1,201,U-87 MG
STAT3,1.79746,28,201,MDA-MB-157
STAT3,1.79498,7,201,MCF10DCIS.com
JUN,1.79374,8,201,A549
TP53,1.79201,5,201,Osteoblasts
TP53,1.78511,2,201,MCF 10A
TP53,1.78511,1,201,LNCAP
JUN,1.77657,16,201,A549
TP53,1.77487,10,201,HCT 116
TP53,1.77487,10,201,GM06170
TCF4,1.76738,23,201,CAL-1
TP53,1.75557,8,201,IMR-90
TP53,1.75143,1,201,HCT 116
TCF4,1.74813,10,201,hESC derived mesendodermal cells
NFKB1,1.74247,33,201,MCF 10A
TP53,1.74049,3,201,U2OS
STAT3,1.7395,11,201,Th2 Cells
TP53,1.72539,5,201,IMR-90
TP53,1.719,3,201,293
TP53,1.719,1,201,hESC derived osteoblasts
JUN,1.70845,15,201,A549
TP53,1.70323,4,201,Osteoblasts
STAT3,1.66653,10,201,Breast cancer cells
TP53,1.66504,4,201,MCF 10A
SOX9,1.65972,14,201,VCaP
TP53,1.64294,2,201,UO-31
TP53,1.62852,4,201,MCF 10A
TP53,1.62852,1,201,22Rv1
TP53,1.61906,3,201,U2OS
TP53,1.61156,5,201,MCF 10A
TCF4,1.60837,14,201,hESC derived endodermal cells
TP53,1.6066,9,201,IMR-90
TP53,1.60506,6,201,Keratinocytes
TP53,1.60045,1,201,HCT 116
TP53,1.60045,1,201,MCF 10A
TP53,1.59586,6,201,Mammary glands
TP53,1.5913,6,201,iPSC derived astrocytes
STAT3,1.57834,32,201,HCC1143
STAT3,1.57332,5,201,MDA-MB-231
TP53,1.57332,1,201,hESC derived osteoblasts
TP53,1.57332,1,201,MCF-7
JUN,1.55574,3,201,SCCOHT-1
JUN,1.55487,10,201,Calu-3
TP53,1.5471,2,201,T cells
TP53,1.5471,1,201,HCT 116
TP53,1.5471,1,201,HCT 116
TP53,1.5471,1,201,HCT 116
TP53,1.5471,1,201,HCT 116
TP53,1.53431,8,201,hESC derived endodermal cells
TP53,1.53431,6,201,U2OS
JUN,1.53257,51,201,GM07492
