GeneID,logFC,PValue,FDR
SMAD3,0.653476999,3.09E-39,3.09E-39
COL6A1,0.653701238,6.74E-46,6.74E-46
RGCC,1.867902196,2.17E-77,2.17E-77
VEGFA,0.799914277,1.92E-12,1.92E-12
ITGA11,1.173486987,3.55E-60,3.55E-60
PLPP3,0.702883824,2.77E-21,2.77E-21
SFRP1,0.679862909,1.79E-50,1.79E-50
TGFB2,0.794331218,5.06E-06,5.06E-06
THY1,0.602901533,7.73E-40,7.73E-40
COL5A3,0.954958969,2.17E-10,2.17E-10
DDR1,0.772547226,0.00525808,0.00525808
VCAM1,5.929665834,5.72E-10,5.72E-10
COL1A2,0.700875916,4.25E-57,4.25E-57
COL8A2,0.851770588,0.007572793,0.007572793
DAB2,0.846289018,9.10E-69,9.10E-69
IL6R,1.005530624,5.74E-07,5.74E-07
NTN4,1.40213367,4.53E-51,4.53E-51
TEK,1.023774058,2.62E-32,2.62E-32
BMP4,2.194445629,2.09E-25,2.09E-25
ITGA7,1.069824442,4.13E-09,4.13E-09
LAMA1,0.658614338,1.24E-10,1.24E-10
CCN3,0.866255986,0.002319099,0.002319099
CSF1,1.122164592,3.34E-43,3.34E-43
FBLN1,0.811822489,3.27E-41,3.27E-41
LAMA3,1.319027498,0.022105166,0.022105166
LAMA5,1.630746396,1.30E-27,1.30E-27
NF1,2.371085143,0.003014985,0.003014985
PTK2B,1.532653057,0.000859247,0.000859247
STAT3,0.731103579,2.82E-37,2.82E-37
TGFBR3,0.597758748,0.00064456,0.00064456
TNC,1.425361729,1.70E-176,1.70E-176
VSIR,1.5713407,4.31E-21,4.31E-21
CARMIL1,1.452542858,1.54E-08,1.54E-08
CASS4,0.745064445,2.18E-13,2.18E-13
DPP4,1.162753773,4.12E-21,4.12E-21
FAM107A,4.81982213,0.02111992,0.02111992
HGF,1.00565941,1.42E-32,1.42E-32
ITGA8,0.947211601,2.96E-11,2.96E-11
ITGBL1,0.860595941,3.54E-14,3.54E-14
LAMA4,1.394028127,9.47E-71,9.47E-71
PIK3CD,0.737775235,5.32E-10,5.32E-10
ADAMTS9,2.037593541,1.68E-06,1.68E-06
ADGRG1,1.131584113,1.27E-06,1.27E-06
BST1,0.827978246,3.75E-08,3.75E-08
CCL2,1.653339896,1.48E-42,1.48E-42
COL14A1,1.202392112,0.024997564,0.024997564
CTSK,0.59485923,0.014252916,0.014252916
GAS6,0.633463238,2.57E-35,2.57E-35
GLIPR2,0.696386593,9.24E-14,9.24E-14
ICAM1,1.702085978,4.11E-27,4.11E-27
IL12A,0.813259942,0.007276157,0.007276157
KIT,0.703149315,0.000277812,0.000277812
MATN2,0.773178692,1.77E-09,1.77E-09
MYLK,0.953025242,5.87E-76,5.87E-76
PPARG,0.758266744,1.03E-11,1.03E-11
RELN,1.322443191,1.14E-58,1.14E-58
SDC3,0.652013958,8.02E-34,8.02E-34
STAT5A,0.820012746,0.00026639,0.00026639
ADAMTS14,0.967245341,0.00264454,0.00264454
AEBP1,0.652201863,9.74E-12,9.74E-12
ARID5B,0.669240804,1.43E-27,1.43E-27
C1QTNF1,0.815277345,1.17E-13,1.17E-13
CADM1,0.590769485,1.83E-09,1.83E-09
CCDC80,0.746679331,8.86E-52,8.86E-52
CTSH,1.765408217,0.010353268,0.010353268
DCHS1,0.92325899,8.14E-23,8.14E-23
DCN,1.4205414,2.95E-146,2.95E-146
EDNRB,1.083091612,0.001871923,0.001871923
EPHB3,0.853560727,0.000225131,0.000225131
F3,1.08180388,2.22E-83,2.22E-83
FBLN2,0.748087541,1.02E-11,1.02E-11
FBN2,1.662555232,1.25E-269,1.25E-269
FGFR4,1.665124774,1.34E-09,1.34E-09
IGFBP5,1.661761683,0,0
JAM2,1.234882437,0.002527452,0.002527452
MCC,0.995518095,6.99E-12,6.99E-12
MEST,1.455228783,3.92E-79,3.92E-79
MFAP4,0.767517471,8.57E-20,8.57E-20
MSX2,1.196601809,5.52E-10,5.52E-10
PDGFD,0.894421951,0.000244845,0.000244845
PODN,2.688939746,5.99E-15,5.99E-15
PYCARD,0.757799975,0.000153789,0.000153789
ROBO3,0.729586466,0.001066017,0.001066017
TNFRSF14,0.790138346,0.030741309,0.030741309
VSTM4,0.700998996,1.35E-10,1.35E-10
ZFAND5,0.763077891,1.22E-44,1.22E-44
ABCC1,0.714899839,4.63E-27,4.63E-27
ACKR3,2.728798054,4.35E-06,4.35E-06
ACKR4,2.089595387,0.025125813,0.025125813
BBS1,0.778836366,2.50E-06,2.50E-06
BCAM,0.710463031,6.59E-13,6.59E-13
CAMK1D,1.365090259,1.36E-08,1.36E-08
CCN4,2.017320305,2.74E-06,2.74E-06
CDKN2A,0.620464322,0.003718812,0.003718812
CELSR3,0.909722646,0.000258046,0.000258046
CEMIP,2.057095878,0,0
CMKLR1,1.174939194,0.032018733,0.032018733
COL15A1,2.31885114,4.19E-14,4.19E-14
COL18A1,1.100518206,0.000639713,0.000639713
CXCL16,2.128414754,0.00023465,0.00023465
DAAM2,0.811475663,2.04E-08,2.04E-08
DDIT4,1.299316807,8.97E-11,8.97E-11
DNAAF4,4.503379044,0.010550696,0.010550696
F10,0.784609321,3.17E-06,3.17E-06
FLRT3,0.760387886,0.021014214,0.021014214
FMNL1,0.734992721,0.008347826,0.008347826
GDF6,1.243966518,2.08E-11,2.08E-11
GFRA1,0.944841273,1.99E-40,1.99E-40
GGT5,1.190501473,0.035109846,0.035109846
GPNMB,0.869286997,0.0007992,0.0007992
HLA-A,0.627713577,3.21E-32,3.21E-32
HLA-E,0.715567643,9.74E-20,9.74E-20
IGFBP4,0.622602319,1.02E-30,1.02E-30
IL16,2.627329282,2.34E-13,2.34E-13
IL34,5.633629783,0.001547974,0.001547974
KIAA0319L,0.650495116,3.81E-15,3.81E-15
LGMN,0.670457619,8.01E-08,8.01E-08
LIMD1,0.60427669,1.20E-16,1.20E-16
LOXL3,0.886392326,3.35E-20,3.35E-20
MGAT3,1.410196981,0.004359812,0.004359812
MTUS1,2.217777708,0.001053826,0.001053826
NAV1,0.712369375,1.51E-49,1.51E-49
P2RX4,0.811526842,8.09E-09,8.09E-09
PARP9,0.741567078,2.71E-05,2.71E-05
PIK3C2B,1.239976684,0.00047745,0.00047745
PLXNC1,2.456304061,0.000155286,0.000155286
QSOX1,0.957967626,4.37E-118,4.37E-118
RARRES2,2.237965687,0.000510678,0.000510678
RHOF,0.775547447,0.029359758,0.029359758
RIPOR2,1.580531427,1.38E-10,1.38E-10
ROR2,2.820628008,0.00384416,0.00384416
SEMA3B,1.316441032,1.12E-20,1.12E-20
SEMA4B,0.696682531,0.000170396,0.000170396
SEMA4G,0.947935341,7.63E-06,7.63E-06
SHROOM2,1.405838141,1.19E-17,1.19E-17
SORL1,0.812839065,2.81E-06,2.81E-06
SPINT2,1.089425479,0.020135167,0.020135167
SVEP1,2.257524087,6.75E-280,6.75E-280
SYNPO2,1.014856658,0.000504596,0.000504596
TCAF2,0.639987279,0.003017852,0.003017852
TCP11L2,0.932469886,3.73E-05,3.73E-05
TMEM8B,0.58925113,0.001296766,0.001296766
TNFAIP3,0.598147941,0.04032142,0.04032142
WNT2,2.701834771,1.54E-05,1.54E-05
ABI3BP,1.147780091,0.011210055,0.011210055
ADAMTS15,1.498813424,0.001822703,0.001822703
ADAMTS19,1.462870591,0.001748056,0.001748056
ADAMTS7,1.07041289,7.24E-18,7.24E-18
CARD11,0.671657154,0.02037447,0.02037447
CATSPER2,3.251224507,8.26E-05,8.26E-05
CDKN2B,0.795604572,0.002041509,0.002041509
CEACAM19,1.442068385,4.31E-07,4.31E-07
CLDN11,1.407086513,3.53E-80,3.53E-80
CLDN23,0.910382049,0.00165181,0.00165181
CLSTN3,0.747843353,0.000179889,0.000179889
CNTNAP1,0.938712924,1.20E-23,1.20E-23
COLEC12,0.818491542,0.000364644,0.000364644
DNAH5,0.873660952,0.000568546,0.000568546
DNALI1,0.911355866,0.001433301,0.001433301
EFNB3,1.230243701,0.04564523,0.04564523
ERBB3,1.256727586,0.0323761,0.0323761
GAS1,1.04203709,3.48E-05,3.48E-05
GATA6,1.596751077,0.000506638,0.000506638
GDF5,2.539069232,5.60E-18,5.60E-18
HAS3,0.890191848,0.034261417,0.034261417
HLA-B,1.690421614,0.002524441,0.002524441
HLX,0.904665389,1.63E-08,1.63E-08
ITPKB,0.606281711,0.013258836,0.013258836
LIF,1.650354688,3.18E-42,3.18E-42
LOXL4,0.653695735,1.16E-07,1.16E-07
LRRC23,0.900941981,0.012196812,0.012196812
LTBP4,1.137943727,2.63E-34,2.63E-34
MTSS1,0.996058079,3.10E-06,3.10E-06
MUC1,1.219435444,9.25E-07,9.25E-07
MYCBPAP,3.298881923,0.015847659,0.015847659
MYL5,0.802551599,0.018005981,0.018005981
NFASC,0.625692007,0.004943903,0.004943903
NNMT,1.773359664,2.36E-112,2.36E-112
NUPR1,0.853939772,6.00E-19,6.00E-19
OXTR,0.674392728,1.55E-16,1.55E-16
P2RX7,2.109966826,6.21E-05,6.21E-05
PCDHGA2,0.75501977,0.000283634,0.000283634
PCDHGA4,0.599656136,0.000427932,0.000427932
PCDHGA7,0.62342438,0.004497629,0.004497629
PCDHGA9,0.587332813,0.000241391,0.000241391
PCDHGB1,1.001627304,3.18E-05,3.18E-05
PCDHGB2,0.788774461,0.001072438,0.001072438
PCDHGB3,0.973673329,0.004762607,0.004762607
PMP22,0.917478799,2.59E-22,2.59E-22
PTCH1,0.758217091,6.32E-07,6.32E-07
PTX3,1.966028792,4.15E-76,4.15E-76
RASGRP1,5.228607266,0.00078411,0.00078411
ROPN1L,2.589483351,0.029607313,0.029607313
SDK1,1.575380974,7.03E-05,7.03E-05
SERPINF1,0.740219123,1.33E-06,1.33E-06
SOCS1,1.363880787,7.26E-06,7.26E-06
SPRY1,1.000631988,0.001886186,0.001886186
TAC3,3.021321745,0.007352892,0.007352892
THSD4,0.785922725,3.52E-33,3.52E-33
TNFRSF11B,1.076447286,1.17E-43,1.17E-43
TNFRSF1B,0.594557185,6.59E-05,6.59E-05
TNS2,0.586158659,6.20E-12,6.20E-12
TRO,0.61829806,2.93E-05,2.93E-05
TTC12,0.588456236,0.01372371,0.01372371
TTLL1,0.681060727,0.002956473,0.002956473
TTLL3,0.945408495,0.020754749,0.020754749
