KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GO:0000070,mitotic sister chromatid segregation,0.639893476,2.474230505,0,0,0,76/167,13.25%,PDS5B;RRS1;KIFC1;NCAPH;CDCA8;CDCA5;BUB1;UBE2C;CENPF;NCAPD2;INCENP;KIF2C;NEK2;SPDL1;CDC23;NUSAP1;PLK1;CDT1;KIF23;ZWINT;KIF4A;TACC3;CUL3;NIPBL;KIFC1-2;DLGAP5;MAD2L1;KIF4B;SMC2;NCAPH2;KIF22;GEN1;BUB3;KIF18B;PRC1;SGO1;CDC27;NCAPD3;CCNB1;BUB1B;ZW10;CSNK2A2;SMC4;CENPE;GALNT18;XRCC3;APC;SMC1A;PTTG1;CDC20;NUF2;DSCC1;MACROH2A1;TPR;AURKB;SPAG5;NCAPG;RAD21;PDS5A;TTK;VPS4B;BIRC5;CDK1;FBXO5;ANAPC1;NUDC;RACGAP1;RAB11A;NDC80;NUP62;KATNB1;HNRNPU;TRIP13;TTN;EML4;AKAP8
GO:0000819,sister chromatid segregation,0.623725268,2.434148629,0,0,0,85/190,13.46%,PDS5B;RRS1;KIFC1;TOP2A;NCAPH;CDCA8;CDCA5;BUB1;UBE2C;CENPF;NCAPD2;INCENP;KIF2C;NEK2;SPDL1;CDC23;NUSAP1;PLK1;CDT1;KIF23;ZWINT;KIF4A;TACC3;CUL3;NIPBL;KIFC1-2;DLGAP5;MAD2L1;KIF4B;SMC2;NCAPH2;KIF22;GEN1;BUB3;KIF18B;FEN1;PRC1;SGO1;CDC27;NCAPD3;CCNB1;BUB1B;SMC3;ZW10;CSNK2A2;SMC4;CENPE;GALNT18;XRCC3;APC;SMC1A;PTTG1;CDC20;NUF2;STAG2;PHB2;DSCC1;MACROH2A1;TPR;AURKB;SPAG5;NCAPG;RAD21;PDS5A;TTK;VPS4B;BIRC5;CDK1;FBXO5;ANAPC1;MRE11;NUDC;RACGAP1;RAB11A;NDC80;MCMBP;NUP62;KATNB1;TOP2B;HNRNPU;TRIP13;TTN;EML4;AKAP8;DDX11
GO:0006956,complement activation,-0.736279824,-2.433718143,0,0.180580333,0.089,17/50,8.16%,MASP1-2;MASP1;C1R-2;C1R;C1S;RGCC;C1RL-2;C1RL;MFAP4;C6;SERPING1;COLEC10;CFB-2;CFB-3;CFB-7;CFB-5;CD55
GO:0007059,chromosome segregation,0.59293522,2.422534549,0,0,0,123/318,13.91%,UBE2B;CENPW;PDS5B;RRS1;KIFC1;TOP2A;NCAPH;CDCA8;CDCA5;SKA3;KNL1;BUB1;MKI67;ECT2;UBE2C;CENPF;HJURP;RCC2-2;RCC2;NCAPD2;INCENP;KIF2C;NEK2;SPDL1;CDC23;NUSAP1;PLK1;CDT1;KIF23;ZWINT;BRIP1;OIP5;KIF4A;TACC3;CUL3;NIPBL;KIFC1-2;SPC25-2;DLGAP5;MAD2L1;KIF4B;SMC2;NCAPH2;PPP1R7;KIF22;GEN1;GEM;CDCA2;BUB3;KIF18B;FEN1;PRC1;SGO1;CDC27;MLH1;SKA1;NCAPD3;NDC1;CCNB1;BUB1B;CENPX;SMC3;ZW10;CSNK2A2;RAD18;SMC4;CENPE;GALNT18;XRCC3;APC;SMC1A;PTTG1;CDC20;NUF2;STAG2;PHB2;CENPS-CORT;DSCC1;MACROH2A1;TPR;EHMT2-6;NR3C1;AURKB;FAM83D;SPAG5;NCAPG;RAD21;PDS5A;TTK;VPS4B;TTL;BIRC5;MIS18A;CDK1;ACTR2;FANCM;FBXO5;ANAPC1;MRE11;NUDC;BEX4;TEX15;EME1;CENPT;RACGAP1;RAB11A;NDC80;ARL8B;MCMBP;NUP62;KATNB1;NTMT1;TOP2B;HNRNPU;TRIP13;TTN;EML4;AKAP8;DDX11;CENPN;CEP85;SMARCAD1;MEIOB
GO:0098813,nuclear chromosome segregation,0.599771328,2.397950896,0,0,0,103/260,13.46%,UBE2B;PDS5B;RRS1;KIFC1;TOP2A;NCAPH;CDCA8;CDCA5;KNL1;BUB1;ECT2;UBE2C;CENPF;RCC2-2;RCC2;NCAPD2;INCENP;KIF2C;NEK2;SPDL1;CDC23;NUSAP1;PLK1;CDT1;KIF23;ZWINT;BRIP1;KIF4A;TACC3;CUL3;NIPBL;KIFC1-2;DLGAP5;MAD2L1;KIF4B;SMC2;NCAPH2;KIF22;GEN1;GEM;BUB3;KIF18B;FEN1;PRC1;SGO1;CDC27;MLH1;NCAPD3;NDC1;CCNB1;BUB1B;CENPX;SMC3;ZW10;CSNK2A2;SMC4;CENPE;GALNT18;XRCC3;APC;SMC1A;PTTG1;CDC20;NUF2;STAG2;PHB2;CENPS-CORT;DSCC1;MACROH2A1;TPR;EHMT2-6;AURKB;FAM83D;SPAG5;NCAPG;RAD21;PDS5A;TTK;VPS4B;TTL;BIRC5;CDK1;ACTR2;FANCM;FBXO5;ANAPC1;MRE11;NUDC;TEX15;EME1;RACGAP1;RAB11A;NDC80;MCMBP;NUP62;KATNB1;TOP2B;HNRNPU;TRIP13;TTN;EML4;AKAP8;DDX11
GO:0098644,complex of collagen trimers,-0.820926397,-2.387224497,0,0.197583027,0.164,14/20,10.78%,COL3A1-2;COL4A5;COL11A1;COL5A2;COL4A1;LUM;COL1A2;COL5A1;COL8A1;COL4A2;COL11A2;COL27A1;COL16A1;COL4A6
GO:0030276,clathrin binding,-0.702260527,-2.356853954,0,0.223966517,0.232,12/60,7.13%,CEMIP;DAB2;LDLR;EPN2;LRP1;AP1M2;SYT11;TRPC6;LDLRAP1;LRRK2;CALY;BIN1
GO:1902850,microtubule cytoskeleton organization involved in mitosis,0.600580919,2.35595835,0,0,0,95/204,17.17%,KIFC1;CDCA8;SPRY2;KNL1;ERCC6L;BUB1;TPX2;CENPF;AURKA;INCENP;ZWILCH;KIF2C;NEK2;SPDL1;CKAP5;NUSAP1;WDR62;PLK1;KIF23;ZWINT;NUP160;KIF4A;TACC3;KIFC1-2;SPC25-2;CEP192;DLGAP5;MAD2L1;KIF4B;ITGB3BP;KIF11;MYBL2;GPSM2;CLTC;CENPI;BUB3;NUP107;PRC1;SGO1;CENPU;CENPO;AHCTF1;STIL;CCNB1;BUB1B;SMC3;ZW10;CENPA;SEC13;PCNT;CENPE;PAFAH1B1;SMC1A;CENPM;DCTN6;CDC20;NUF2;STAG2;CENPS-CORT;TPR;AURKB;TTK;VPS4B;BIRC5;RANBP2;NUDC;CENPT;STMN1;RACGAP1;AAAS-2;RAB11A;NDC80;NSFL1C;CEP97;NUP62;CLASP2;INTS13;HNRNPU;HTT;EML4;CENPN;KIF3B;MAPRE1;PPP1CC;TAOK1;TBCE-2;SETD2;CENPH;SAPCD2;KNTC1;BORA;TACC1;DYNC1LI2;RPS27;SBDS
GO:0042788,polysomal ribosome,0.82149726,2.346065243,0,0,0,20/30,9.47%,RPL24;RPL10A;DHX9;RPL30;RPL6;RPS21;RPL7A-2;RPL7A;ABCF1;ABCF1-2;ABCF1-4;ABCF1-7;ABCF1-3;ABCF1-6;ABCF1-5;BTF3;RPS26;PNPT1;RPL18A;RPL18
GO:0007052,mitotic spindle organization,0.60214402,2.337134795,0,0,0,104/189,22.27%,KIFC1;CDCA8;KNL1;ERCC6L;BUB1;TPX2;CENPF;AURKA;INCENP;ZWILCH;KIF2C;NEK2;SPDL1;CKAP5;WDR62;PLK1;KIF23;ZWINT;NUP160;KIF4A;TACC3;KIFC1-2;SPC25-2;CEP192;DLGAP5;MAD2L1;KIF4B;ITGB3BP;KIF11;MYBL2;GPSM2;CLTC;CENPI;BUB3;NUP107;PRC1;SGO1;CENPU;CENPO;AHCTF1;STIL;CCNB1;BUB1B;SMC3;ZW10;CENPA;SEC13;PCNT;CENPE;PAFAH1B1;SMC1A;CENPM;DCTN6;CDC20;NUF2;STAG2;CENPS-CORT;TPR;AURKB;TTK;VPS4B;BIRC5;RANBP2;NUDC;CENPT;STMN1;RACGAP1;AAAS-2;RAB11A;NDC80;CEP97;NUP62;CLASP2;INTS13;HNRNPU;EML4;CENPN;KIF3B;MAPRE1;PPP1CC;TAOK1;TBCE-2;CENPH;KNTC1;BORA;TACC1;DYNC1LI2;RPS27;SBDS;SGO2;KIF2A;LSM14A-2;TBCE;DYNC1I1;NUP133;CHMP4C;CLIP1;ABRAXAS2;KPNB1;CENPC;KIF18A;PSRC1;MIS12;SEH1L
