KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ko03010,Ribosome,0.626446701,2.349982199,0,0,0,79/152,20.80%,RPS6;RPL24;RPS9-8;RPL10A;RPL34;RPL15;MRPL1;RPL12;RPL26;MRPL3;RPL17;RPL30;RPLP0;RPS8;RPS15;RPL6;MRPS9;RPS21;RPL7A-2;RPL7A;RPL36AL;RPL29;RPS18-2;RPS18-4;RPS18;RPS18-5;RPS18-3;RPS13;MRPS11;RPS2;RPS2-2;RPS26;RPS24;MRPS18C;RPS5;RPS14;RPL26L1;RPL10;MRPL20;RSL24D1;RPL18A;RPL35;RPS12;MRPS2;RPSA;MRPL24;RPL18;MRPL10;RPS27A;RPL14;RPL32;MRPL21;RPS9;RPL28;RPLP2;RPL36A;RPL4;RPS15A;RPL5;RPL23;MRPL27;RPS16;MRPS18A;RPL22L1;RPS7;RPS27;MRPS10;FAU;RPS4X;RPS10;RPS11;RPS25;RPL7;MRPL28;RPS25-2;RPL8;RPS3A;RPS3A-2;MRPL19
ko03008,Ribosome biogenesis in eukaryotes,0.598082543,2.096678113,0,0.000381531,0.001,41/85,20.89%,NHP2;UTP15;RAN;CSNK2B;CSNK2B-4;CSNK2B-2;CSNK2B-3;REXO5;EFL1;GTPBP4;EIF6;NOP58;CSNK2A2;LOC102724159;NXT2;XPO1;NOP10-2;NOP10;BMS1;RPP30;NOB1;MPHOSPH10;WDR3;GNL2;FBL;FBL-2;NOP56;CSNK2A1;NXT1;RPP25;GNL3;SBDS;NVL;RRP7A;UTP6;UTP14A;XRN2;GAR1;RIOK2;WDR43;EMG1
ko03030,DNA replication,0.689910348,2.077052931,0,0.000508708,0.002,24/37,18.46%,POLE3;PRIM1;MCM7;MCM4;FEN1;POLE;MCM2;RFC4;RFC1;RFC2;POLD1;RFC3;RFC5;MCM5;POLD3;PRIM2;POLA2;PCNA;RNASEH2B;MCM6;LIG1;POLA1;POLD2;SSBP1-2
ko04974,Protein digestion and absorption,-0.565011103,-2.000058498,0.002898551,0.525829999,0.201,22/65,10.78%,COL3A1-2;COL4A5;COL11A1;SLC36A1;COL8A2;COL18A1;COL5A2;COL4A1;COL1A2;COL5A1;COL24A1;COL8A1;COL6A3;ATP1B3;COL4A2;COL9A3;COL6A6;COL11A2;COL27A1;KCNE3;COL16A1;COL4A6
ko03430,Mismatch repair,0.685021429,1.894299552,0,0.005722967,0.03,21/25,26.45%,MSH6;POM121C;EXO1;MSH3;MLH1;RFC4;RFC1;RFC2;POLD1;RFC3;MSH2;RFC5;POLD3;PCNA;LIG1;POLD2;SSBP1-2;RPA3;RPA2;RPA1;SSBP1
ko00240,Pyrimidine metabolism,0.590701332,1.888217611,0,0.004883599,0.032,24/50,22.52%,PNP;PNP-2;ENPP1;NME1;RRM2;NT5E;TK2;RRM2B;NUDT2;RRM1;NT5C3A;CMPK1;DCK;DCTPP1;ENTPD1;NME7;DHODH;DTYMK;NT5C;CTPS2;CDA;TYMS;TK1;ENTPD6
ko00980,Metabolism of xenobiotics by cytochrome P450,-0.583060744,-1.885356312,0,0.44565537,0.303,10/36,9.82%,AKR1C1;EPHX1;GSTM2;GSTM3;ALDH3B1;HSD11B1L;ADH5;GSTM5;MGST1;LOC124904790
ko03410,Base excision repair,0.614413176,1.862649533,0,0.005214259,0.04,17/37,20.52%,POLE3;HMGB1;NEIL3;FEN1;POLE;POLD1;XRCC1;APEX2;POLD3;PARP1;PCNA;LIG1;MUTYH;PARP4;POLD2;POLL;NEIL2
ko04061,Viral protein interaction with cytokine and cytokine receptor,-0.559573124,-1.857114236,0.008426966,0.343811922,0.34,11/47,9.43%,CCL2;CSF1;TNFRSF1A;IL6R;ACKR3;CCL5-2;IL6;LTBR;IFNAR2-IL10RB;CXCR5;IL10RB
ko04110,Cell cycle,0.493793307,1.824850174,0,0.008720712,0.074,58/129,18.66%,BUB1;CDK6;CDC25A;CDC23;PLK1;CDKN2C;CCNB2;CDKN2D;CDC45;MAD2L1;MCM7;ORC6;MCM4;CCND1;BUB3;CDC27;MCM2;RBL1;CCNB1;BUB1B;CDK4;SMC3;CCNA2;DBF4;SMC1A;PTTG1;CDC20;STAG2;YWHAQ;ORC1;RAD21;MCM5;TTK;LOC124901482;CDK1;CDK2;ANAPC1;PKMYT1;PRKDC;TFDP2;YWHAB;YWHAH;YWHAZ;PCNA;ATR;TGFB1;MDM2;MCM6;TFDP1;CUL1;E2F1;ZNF718;FZR1;CDC6;CDC25C;SFN;ANAPC10;HDAC2
ko03060,Protein export,0.672867872,1.823423016,0.001703578,0.008012154,0.077,10月22日,17.20%,SEC61B;SRP14;HSPA5;SEC61A1;SEC61G;OXA1L;SEC63;SRP72;SRPRA;SRP54
ko04913,Ovarian steroidogenesis,-0.570202443,-1.791865497,0.011267606,0.343089628,0.409,9/34,9.77%,LDLR;IGF1R;ADCY9;AKR1C3;HSD17B2;HSD17B7;STAR;ADCY3;SCARB1
ko04630,JAK-STAT signaling pathway,-0.464807424,-1.776442058,0.006872852,0.294118098,0.434,48/115,17.12%,PIM1;STAT3;SOCS3;STAT2;PDGFRB;IRF9;STAT6;FHL1;CREBBP;STAT1;OSMR;IL6R;IRF9-2;PIK3CD;IL6;MYC;IL12RB2;PIAS4;MTOR;IL7R;IL15RA;STAT5B;IFNAR2-IL10RB;IFNAR2;STAT5A;LIF;IL17D;CCND3;IL12A;SOCS7;SOCS1;IL10RB;TSLP;PDGFA;STAT4;GRB2;JAK3;AKT3-2;IL15;EP300;RAF1;CCND2;IL9R;LIFR;IL27RA;IL27RA-2;IL19;IL9R-2
ko04216,Ferroptosis,-0.557520216,-1.739637975,0.018817204,0.295658992,0.498,8/35,8.76%,HMOX1;GCLM;FTH1;FTL;LPCAT3;SLC40A1;PCBP2;TP53
ko04060,Cytokine-cytokine receptor interaction,-0.423655926,-1.728088193,0.006622517,0.265804175,0.513,37/162,10.14%,CCL2;CSF1;BMP4;TNFRSF1A;GDF5;TNFRSF21;TGFB2;GDF6;OSMR;IL6R;ACKR3;IL16;TNFRSF11B;CCL5-2;IL6;LTBR;IL12RB2;CXCR6;ACVRL1;BMPR1B;BMP2;IL7R;IL15RA;CXCL16;IFNAR2-IL10RB;EBI3;CD4;IFNAR2;ACVR1;IL1R1;LIF;IL17D;IL12A;CXCR5;IL10RB;TSLP;ACVR1B
ko03013,Nucleocytoplasmic transport,0.470793967,1.710164202,0.001457726,0.031455125,0.293,55/115,24.50%,CSE1L;NUP153;RNPS1;RAN;XPOT;IPO4-2;NUP160;PNN;KPNA4;KPNA2;NUP107;NDC1;AHCTF1;NUP155;SEC13;IPO11;RAE1;NXT2;IPO5;XPO1;NUP188;TPR;NUP93;KPNA1;POM121;IPO4;RANBP2;SRRM1;AAAS-2;NUP62;NXT1;NUP50;NUP205;IPO7;NUP58;NUP54;NUP88;PYM1;UPF3B;RBM8A;PHAX;NUP133;UBE2I;KPNB1;IPO8;THOC1;SEH1L;SMURF1-2;KPNA5;ALYREF;UPF2;DDX19B;NUP210;SUMO3;EIF4A3
ko03018,RNA degradation,0.477772259,1.700267884,0.001488095,0.032124924,0.318,35/95,19.40%,BTG1;HSPA9;PABPC4;C1D;DIS3;EXOSC6;ENO2;PARN-2;EXOSC8;TOB1;ENO4;CNOT7;HSPD1;LSM5;CNOT2;PNPT1;CNOT3-4;DHX36;EXOSC5;LSM8;LSM2-6;LSM2-4;LSM2-2;LSM2;LSM2-5;LSM2-3;ZCCHC7;EDC3;CNOT1;SKIC3;EXOSC2;LSM7;XRN2;EXOSC9;DCP2
ko04977,Vitamin digestion and absorption,-0.618728818,-1.690060192,0.025641026,0.275916291,0.566,5月19日,11.26%,ABCC1;ABCC1-2;SLC19A1;SCARB1;BTD
ko00140,Steroid hormone biosynthesis,-0.548339604,-1.676938563,0.010899183,0.258420726,0.588,5/33,3.87%,AKR1C1;AKR1C3;HSD11B1L;HSD17B2;HSD17B7
ko04610,Complement and coagulation cascades,-0.483986238,-1.676627723,0.012269939,0.232578653,0.588,18/62,8.21%,MASP1-2;MASP1;C1R-2;C1R;C1S;F3;F10;CLU;C6;SERPING1;BDKRB2;F2RL2;CFB-2;CFB-3;CFB-7;CFB-5;CD55;PLGLB2
ko00100,Steroid biosynthesis,-0.605992449,-1.671163967,0.027700831,0.216688186,0.602,7月22日,9.85%,FDFT1-2;DHCR24;DHCR7;CYP2R1;HSD17B7;TM7SF2;LIPA
ko03460,Fanconi anemia pathway,0.503218283,1.649338828,0.006329114,0.054108056,0.493,34/60,25.94%,FANCI;BRIP1;FANCG;RAD51;POM121C;BRCA1;MLH1;TELO2;CENPX;FAAP100;SLX1B;CENPS-CORT;BOLA2;UBE2T;FANCB;ATRIP;FANCM;EME1;HES1;ATR;FANCL;USP1;BLM;ERCC4;ERCC1;RMI1;FANCD2;RPA3;RPA2;FANCC;POLN;RPA1;CENPS;FANCE
ko03040,Spliceosome,0.428994086,1.626276724,0,0.062571111,0.577,66/168,24.86%,SF3B2;WBP11;SLU7;HNRNPM;SF3B5;DDX42;BCAS2;XAB2;RBMX;SART1;RBM25;LSM5;CCDC12;SYF2;PPIL1;PPIH;EFTUD2;SRSF2;HNRNPA1;SNRNP27;SF3A3;PHF5A;DDX46;SNRPF;SNRPC;SNRPD2;HNRNPU;LSM8;LSM2-6;LSM2-4;LSM2-2;LSM2;LSM2-5;LSM2-3;U2SURP;SF3B4;ISY1;BUD31;TXNL4A;SNRPA;SNW1;HSPA1B-5;LSM7;HNRNPK;RBM8A;SRSF5;RBM22;CRNKL1;AQR;PRPF31;PRPF31-7;PRPF31-4;PRPF31-6;PRPF31-10;SRSF10;SF3B1;THOC1;LSM4;CWC15;PRPF38B;ALYREF;SRSF6;SF3A1;HSPA1L-2;EIF4A3;SRSF3
ko04380,Osteoclast differentiation,-0.428470311,-1.620451165,0.015576324,0.253164031,0.713,22/100,7.66%,CSF1;TNFRSF1A;SOCS3;STAT2;TGFB2;IRF9;MAP3K14;FOSL2;ITGB3;STAT1;IRF9-2;TNFRSF11B;MITF;PIK3CD;SQSTM1;FHL2;SQSTM1-2;TAB1;PPARG;MAPK14;IFNAR2;IL1R1
ko00604,Glycosphingolipid biosynthesis - ganglio series,-0.62255938,-1.618719876,0.039900249,0.235356707,0.718,13/18,29.09%,ST3GAL1;ST6GALNAC6;HEXA;ST6GALNAC4;ST6GALNAC5;GLB1;B4GALNT1;B3GALT4-4;B3GALT4;B3GALT4-2;B3GALT4-3;ST3GAL5;B3GALT4-5
