GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
A1BG,-0.299067669,0.212652809,0.212652809,*,A1BG
A1BG-AS1,-0.154829192,0.399793507,0.399793507,*,A1BG-AS1
A2M,-0.206074918,0.033271819,0.033271819,*,A2M
A2M-AS1,-1.16763603,0.520993478,0.520993478,*,A2M-AS1
A4GALT,-0.144194522,0.302660233,0.302660233,*,A4GALT
AAAS,-0.114830235,0.41898889,0.41898889,*,AAAS
AAAS-2,0.088012523,0.457007987,0.457007987,*,AAAS
AACS,-0.138401062,0.190794663,0.190794663,*,AACS
AADAC,-0.584147545,0.730148896,0.730148896,*,AADAC
AADAT,0.200070499,0.436477036,0.436477036,*,AADAT
AAGAB,0.009919651,0.935461454,0.935461454,*,AAGAB
AAK1,-0.077020079,0.304234182,0.304234182,*,AAK1
AAMDC,-0.334265831,0.031054144,0.031054144,*,AAMDC
AAMP,-0.094633843,0.281561371,0.281561371,*,AAMP
AANAT,1.7826395,0.659091782,0.659091782,*,AANAT
AAR2,-0.18200471,0.044155436,0.044155436,*,AAR2
AARD,-0.752080186,0.653645966,0.653645966,*,AARD
AARS1,0.142240795,0.01580015,0.01580015,*,AARS1
AARS2,-0.204355549,0.137318503,0.137318503,*,AARS2
AARSD1,0.148750681,0.196655067,0.196655067,*,AARSD1
AASDH,0.100690648,0.781555446,0.781555446,*,AASDH
AASDHPPT,0.056642801,0.604936665,0.604936665,*,AASDHPPT
AASS,-0.071765616,0.72237004,0.72237004,*,AASS
AATBC,-0.289758088,0.872350183,0.872350183,*,AATBC
AATF,-0.003174874,0.975893654,0.975893654,*,AATF
AATF-2,0.012442967,0.905006859,0.905006859,*,AATF
AATK,1.0807744,0.275844847,0.275844847,*,AATK
ABALON,-0.113361823,0.588655512,0.588655512,*,ABALON
ABAT,-0.473458609,0.065062927,0.065062927,*,ABAT
ABCA1,0.546175754,4.20E-05,4.20E-05,*,ABCA1
ABCA10,-1.996874091,0.620212066,0.620212066,*,ABCA10
ABCA12,0.066252891,0.973574801,0.973574801,*,ABCA12
