TF,Con,I6,R2,I6_FC,Max_Activity_FC
EPAS1,30.95794118,70.68303922,52.32676471,2.282458456,2.282458456
HMGA2,77.13055556,125.497963,110.102037,1.626873984,1.626873984
FOSL1,59.34261905,112.9008333,94.48107143,1.902204741,1.902204741
CREB3L1,125.0752381,193.8747619,174.6004762,1.549941183,1.549941183
CEBPD,10.93142857,23.43095238,17.45857143,2.141489315,2.141489315
FOXD1,54.12597222,91.83319444,81.93486111,1.696343312,1.696343312
PRRX2,29.65480392,70.84196078,51.29009804,2.388081208,2.388081208
GTF2I,38.5931746,89.43507937,66.41047619,2.316780428,2.316780428
FOXF1,18.06777778,36.96722222,27.94188889,2.044898586,2.044898586
STAT3,10.58745098,23.62617647,17.16186275,2.229420689,2.229420689
TBX2,32.20481481,72.72148148,53.40962963,2.257392504,2.257392504
PA2G4,45.36588235,106.4860784,78.56411765,2.346754992,2.346754992
SMAD3,34.47397849,80.26172043,61.12182796,2.327507554,2.327507554
STAT1,27.10984127,53.23111111,40.92063492,1.96281057,1.96281057
ELK3,46.21282051,78.93769231,65.75504274,1.707764507,1.707764507
NFIL3,94.23471264,152.9665517,134.6056322,1.62307834,1.62307834
ARID5B,30.01838384,70.27222222,51.79060606,2.340193285,2.340193285
PRRX1,47.79409524,80.41266667,67.99990476,1.682129246,1.682129246
CREB3L2,94.23471264,152.9665517,134.6056322,1.62307834,1.62307834
STAT6,100.2420513,161.1982051,142.5153846,1.607929245,1.607929245
TP53,84.09925926,132.2044444,116.7051852,1.571817962,1.571817962
ATF3,30.42024691,71.07234568,51.3154321,2.335582287,2.335582287
SNAI2,5.219722222,9.071388889,7.47,1.734583311,1.734583311
MYBL2,36.33783333,86.19583333,62.27866667,2.371415995,2.371415995
PPARG,22.89803922,48.81862745,37.69107843,2.131069665,2.131069665
EGR1,25.5397561,59.12528455,43.19894309,2.314123247,2.314123247
IRF1,69.47723577,113.3301626,99.08203252,1.630949358,1.630949358
GTF3A,2.764666667,4.979333333,4.640666667,1.794569918,1.794569918
TBX3,88.3984375,147.2488542,127.170625,1.665552048,1.665552048
ETS1,70.7915942,117.9147826,100.3884058,1.665425531,1.665425531
STAT2,20.2296,39.7068,32.6752,1.96183719,1.96183719
HOXB2,5.221904762,8.999047619,7.911904762,1.720032766,1.720032766
ETV4,29.65480392,70.84196078,51.29009804,2.388081208,2.388081208
TEAD1,50.71388889,75.40722222,72.82555556,1.486621469,1.486621469
JUNB,2.796,7.524,5.782,2.681397006,2.681397006
MEIS3,102.4166667,152.6833333,152.3873333,1.490659984,1.490659984
MXD3,8.482,18.75333333,13.282,2.20835296,2.20835296
ZFP91,218.804,322.706,284.888,1.474795945,1.474795945
HIC1,24.61296296,50.0391358,38.15358025,2.032214233,2.032214233
ZNF469,20.16068966,43.4783908,32.04482759,2.155523264,2.155523264
ZNF146,20.16068966,43.4783908,32.04482759,2.155523264,2.155523264
HLX,47.16017544,80.80333333,66.9777193,1.713017443,1.713017443
UBP1,153.2170588,241.0890196,216.4127451,1.573410215,1.573410215
DNMT1,26.89318841,56.17202899,42.36333333,2.087932038,2.087932038
SOX9,48.545,132.3466667,95.31125,2.725706244,2.725706244
E2F7,21.70827957,44.7388172,34.85451613,2.059961382,2.059961382
MYBL1,22.2308046,56.08,40.60850575,2.521491511,2.521491511
ARNT2,66.86684211,103.1577193,89.07421053,1.542502846,1.542502846
MSX2,17.40814815,36.41222222,26.41981481,2.090476089,2.090476089
ZBTB38,80.235625,120.5404167,106.1975,1.502143159,1.502143159
NR1D2,46.73722222,87.19055556,79.07,1.865149444,1.865149444
FOXP1,139.7076667,228.572,208.72,1.635956321,1.635956321
NR3C1,76.76851852,125.5405556,109.8515741,1.635099999,1.635099999
GTF2B,4.047916667,6.850833333,5.833333333,1.688263682,1.688263682
ZNF219,1.758333333,3.515,2.961111111,1.987747408,1.987747408
CTCF,0.811333333,1.448,1.23,1.762987013,1.762987013
ZBTB2,107,160.3102381,143.6511905,1.498086516,1.498086516
ZNF281,101.1636111,152.2336111,133.6166667,1.504677054,1.504677054
ZNF512B,94.23471264,152.9665517,134.6056322,1.62307834,1.62307834
ETV1,76.76851852,125.5405556,109.8515741,1.635099999,1.635099999
NFKB1,27.81692308,55.10948718,46.48102564,1.980437687,1.980437687
GATAD2A,4.218666667,7.539333333,6.100666667,1.782910295,1.782910295
REST,47.16017544,80.80333333,66.9777193,1.713017443,1.713017443
SMAD5,50.71388889,75.40722222,72.82555556,1.486621469,1.486621469
PURB,11.39074074,35.54814815,21.06037037,3.118056007,3.118056007
IRF9,9.092592593,23.33074074,15.54518519,2.563087439,2.563087439
SP3,11.14729167,28.64041667,18.42770833,2.566968537,2.566968537
