"ligand","receptor","tf","connection_type"
"HMGB1","TLR4","NR3C1","indirect"
"HMGB1","TLR4","KMT2A","indirect"
"HMGB1","TLR4","STAT1","indirect"
"HMGB1","TLR4","FOXM1","indirect"
"HMGB1","TLR4","GTF2I","indirect"
"HMGB1","TLR4","ATF2","indirect"
"HMGB1","TLR4","ELK3","indirect"
"HMGB1","TLR4","NCOA3","indirect"
"HMGB1","TLR4","ETS1","indirect"
"HMGB1","TLR4","NR2F6","indirect"
"PLAT","LRP1","ATF2","indirect"
"PLAT","LRP1","NCOA3","indirect"
"PLAT","LRP1","PIN1","indirect"
"PLAT","LRP1","HIF1A","indirect"
"PLAT","LRP1","TEAD1","indirect"
"PLAT","LRP1","STAT1","indirect"
"PLAT","LRP1","FOXM1","indirect"
"PLAT","LRP1","GTF2I","indirect"
"PLAT","LRP1","NR3C1","indirect"
"PLAT","LRP1","NFKB2","indirect"
"PLAT","ITGB2","NR3C1","indirect"
"PLAT","ITGB2","KMT2A","indirect"
"PLAT","ITGB2","ATF2","indirect"
"PLAT","ITGB2","NFKB2","indirect"
"PLAT","ITGB2","STAT1","indirect"
"PLAT","ITGB2","FOXM1","indirect"
"PLAT","ITGB2","GTF2I","indirect"
"PLAT","ITGB2","NR2F6","indirect"
"PLAT","ITGB2","NFAT5","indirect"
"PLAT","ITGB2","SP1","indirect"
"PLAT","ITGB2","HIF1A","indirect"
"LAMA4","ITGA6","FOXM1","indirect"
"LAMA4","ITGA6","ZNF24","indirect"
"LAMA4","ITGB1","FOXM1","direct"
"LAMA4","ITGB1","SP1","indirect"
"LAMA4","ITGB1","STAT1","indirect"
"LAMA4","ITGB1","GTF2I","indirect"
"LAMA4","ITGB1","ATF2","indirect"
"LAMA4","ITGB1","NR3C1","indirect"
"LAMA4","ITGB1","NCOA3","indirect"
"LAMA4","ITGB1","PIN1","indirect"
"LAMA4","ITGB1","HIF1A","indirect"
"LAMA4","ITGB1","TEAD1","indirect"
"LAMA4","ITGB1","ETS1","indirect"
"COL6A3","ITGB1","FOXM1","direct"
"COL6A3","ITGB1","SP1","indirect"
"COL6A3","ITGB1","STAT1","indirect"
"COL6A3","ITGB1","GTF2I","indirect"
"COL6A3","ITGB1","ATF2","indirect"
"COL6A3","ITGB1","NR3C1","indirect"
"COL6A3","ITGB1","NCOA3","indirect"
"COL6A3","ITGB1","PIN1","indirect"
"COL6A3","ITGB1","HIF1A","indirect"
"COL6A3","ITGB1","TEAD1","indirect"
"COL6A3","ITGB1","ETS1","indirect"
"COL6A3","ITGA2","SP1","indirect"
"COL6A3","ITGA2","FOXM1","indirect"
"MMP1","CD44","ETS1","indirect"
"MMP1","CD44","NCOA3","indirect"
"MMP1","CD44","PIN1","indirect"
"MMP1","CD44","HIF1A","indirect"
"MMP1","CD44","ATF2","indirect"
"MMP1","CD44","TEAD1","indirect"
"MMP1","CD44","SP1","indirect"
"MMP1","CD44","SP3","indirect"
"MMP1","CD44","FOXM1","indirect"
"MMP1","CD44","NR3C1","indirect"
"MMP1","CD44","STAT1","indirect"
"COL18A1","ITGB1","FOXM1","direct"
"COL18A1","ITGB1","SP1","indirect"
"COL18A1","ITGB1","STAT1","indirect"
"COL18A1","ITGB1","GTF2I","indirect"
"COL18A1","ITGB1","ATF2","indirect"
"COL18A1","ITGB1","NR3C1","indirect"
"COL18A1","ITGB1","NCOA3","indirect"
"COL18A1","ITGB1","PIN1","indirect"
"COL18A1","ITGB1","HIF1A","indirect"
"COL18A1","ITGB1","TEAD1","indirect"
"COL18A1","ITGB1","ETS1","indirect"
"COL18A1","ITGB3","STAT1","indirect"
"COL18A1","ITGB3","FOXM1","indirect"
"COL18A1","ITGB3","GTF2I","indirect"
"COL18A1","ITGB3","NR3C1","indirect"
"COL18A1","ITGB3","SP1","indirect"
"COL18A1","ITGB3","ATF2","indirect"
"COL18A1","ITGB3","ZNF24","indirect"
"COL18A1","GPC4","SP1","indirect"
"COL18A1","GPC4","STAT1","indirect"
"LAMA4","ITGA3","PIN1","indirect"
"LAMA4","ITGA3","FOXM1","indirect"
"COL18A1","ITGA3","PIN1","indirect"
"COL18A1","ITGA3","FOXM1","indirect"
"HLA-G","CD4","KMT2A","indirect"
"HLA-G","CD4","NR3C1","indirect"
"HLA-G","CD4","STAT1","indirect"
"HLA-G","CD4","NFKB2","indirect"
"HLA-G","CD4","ATF2","indirect"
"COL18A1","GPC1","FOXM1","indirect"
"COL18A1","GPC1","SP1","indirect"
"COL6A3","ITGA1","SP1","indirect"
"COL6A3","ITGA1","FOXM1","indirect"
"COL18A1","ITGA5","STAT1","indirect"
"COL18A1","ITGA5","SP1","indirect"
"COL18A1","ITGB5","STAT1","indirect"
"COL18A1","ITGB5","FOXM1","indirect"
"COL18A1","ITGB5","GTF2I","indirect"
"MMP1","ITGA2","SP1","indirect"
"MMP1","ITGA2","FOXM1","indirect"
"LAMA4","DAG1","STAT1","indirect"
"LAMA4","DAG1","FOXM1","indirect"
"LAMA4","DAG1","GTF2I","indirect"
"LAMA4","DAG1","ATF2","indirect"
"HMGB1","SDC1","SP1","indirect"
"HMGB1","SDC1","STAT1","indirect"
"HMGB1","SDC1","FOXM1","indirect"
"HMGB1","SDC1","GTF2I","indirect"
"IGFBP5","IGF2","ETS1","indirect"
"IGFBP5","IGF2","GTF2I","indirect"
"IGFBP5","IGF2","ZNF24","indirect"
"LAMA4","CD44","ETS1","indirect"
"LAMA4","CD44","NCOA3","indirect"
"LAMA4","CD44","PIN1","indirect"
"LAMA4","CD44","HIF1A","indirect"
"LAMA4","CD44","ATF2","indirect"
"LAMA4","CD44","TEAD1","indirect"
"LAMA4","CD44","SP1","indirect"
"LAMA4","CD44","SP3","indirect"
"LAMA4","CD44","FOXM1","indirect"
"LAMA4","CD44","NR3C1","indirect"
"LAMA4","CD44","STAT1","indirect"
"COL6A3","CD44","ETS1","indirect"
"COL6A3","CD44","NCOA3","indirect"
"COL6A3","CD44","PIN1","indirect"
"COL6A3","CD44","HIF1A","indirect"
"COL6A3","CD44","ATF2","indirect"
"COL6A3","CD44","TEAD1","indirect"
"COL6A3","CD44","SP1","indirect"
"COL6A3","CD44","SP3","indirect"
"COL6A3","CD44","FOXM1","indirect"
"COL6A3","CD44","NR3C1","indirect"
"COL6A3","CD44","STAT1","indirect"
"COL6A3","SDC1","SP1","indirect"
"COL6A3","SDC1","STAT1","indirect"
"COL6A3","SDC1","FOXM1","indirect"
"COL6A3","SDC1","GTF2I","indirect"
"COL6A3","SDC4","STAT1","indirect"
"COL6A3","SDC4","NR2F6","indirect"
"COL6A3","SDC4","ATF2","indirect"
"COL6A3","SDC4","GTF2I","indirect"
"COL6A3","SDC4","SP1","indirect"
"COL6A3","SDC4","FOXM1","indirect"
"NBL1","GDF7","SMAD5","indirect"
"NBL1","GDF5","SMAD5","indirect"
"NBL1","BMP8A","SMAD5","indirect"
"NBL1","BMP5","SMAD5","indirect"
"NBL1","BMP4","HIF1A","indirect"
"NBL1","BMP4","PIN1","indirect"
"NBL1","BMP4","SMAD5","indirect"
"NBL1","BMP2","SMAD5","indirect"
"NBL1","BMP6","SMAD5","indirect"
"NBL1","BMP8B","SMAD5","indirect"
