"tf","n_targets","targets","avg_confidence"
"SP1",4,"CD44; COL18A1; HLA-G; PLAT","A"
"JUN",3,"CD44; MMP1; PLAT","A"
"E2F4",2,"HMGB1; PPIA","A"
"FOS",2,"CLU; MMP1","A"
"FOSL1",2,"CLU; MMP1","A"
"NFIC",2,"COL18A1; HMGB1","A"
"ZNF263",2,"COL18A1; LTBP4","B"
"AR",1,"QSOX1","A"
"ATF2",1,"PLAT","A"
"CEBPA",1,"HMGB1","A"
"CREB1",1,"PLAT","A"
"CREB3L1",1,"HMGB1","C"
"E2F7",1,"CD44","C"
"EGR1",1,"CD44","A"
"ETS1",1,"MMP1","A"
"FOSL2",1,"CLU","A"
"FOXM1",1,"LAMA4","A"
"GATA2",1,"HMGB1","A"
"GFI1B",1,"LTBP4","C"
"HIF1A",1,"PPIA","A"
"IRF1",1,"HLA-G","A"
"JUNB",1,"CLU","C"
"JUND",1,"CLU","A"
"KLF1",1,"LTBP4","C"
"KLF13",1,"LTBP4","C"
"KLF5",1,"LTBP4","C"
"KLF6",1,"LTBP4","C"
"MAZ",1,"MMP1","C"
"MEF2A",1,"HMGB1","C"
"MXI1",1,"HMGB1","C"
"NFKB2",1,"CD44","B"
"PPARG",1,"MMP1","A"
"PRDM14",1,"GPC1","B"
"RARA",1,"PLAT","A"
"RELB",1,"CD44","B"
"SMAD3",1,"COL6A3","A"
"SMAD5",1,"HMGB1","C"
"SP3",1,"PLAT","A"
"SP4",1,"LTBP4","C"
"TCF4",1,"CD44","C"
"TCF7L2",1,"CD44","A"
"TFAP2A",1,"IGFBP5","A"
"THAP1",1,"COL18A1","C"
"TP53",1,"COL18A1","A"
"YY1",1,"MANF","A"
"ZEB2",1,"LTBP4","C"
"ZNF639",1,"HMGB1","C"
