GeneSymbol,Con_1,Con_2,Con_3,I6_1,I6_2,I6_3,R2_1,R2_2,R2_3
A1BG,2.03,1.84,1.58,1.68,2.37,2.09,1.7,1.75,1.67
A1BG-AS1,7.85,7.97,8.29,7,7.51,8.22,7.09,6.18,7.01
A2M,12.93,13.99,12.64,13.58,12.3,11.33,11.74,11.14,10.15
A2M-AS1,0.07,0,0,0.02,0.05,0.14,0,0.02,0.08
A4GALT,9.14,12.19,12.47,9.09,10.6,11.91,9.96,9.57,8.64
AAAS,14.04,14.62,15.18,13.44,15.21,15.47,14.68,11.55,15.35
AAAS-2,20.22,24.34,23.18,17.89,19.16,18.77,19.39,20.67,23.47
AACS,10.57,10.95,11.68,13.62,14.7,11.41,11.92,11.74,11.84
AADAC,0,0,0.12,0.04,0.45,0,0.18,0.15,0
AADAT,3.87,3,3.6,3.49,2.01,2.83,3.11,3.51,3.23
AAGAB,12.39,13.66,16.79,15.94,12.82,15.11,14.46,16.05,12.55
AAK1,9.78,11.22,11.15,9.92,8.69,8.79,9.27,9.52,8.45
AAMDC,50.35,53.3,48.62,60.72,63.71,62.23,55.46,47.11,58.94
AAMP,61.45,71.59,61.79,61.72,69.87,69.98,64.45,58.28,71.62
AAR2,20.96,21.56,22.41,23.64,26,23.38,21.64,21.44,23.21
AARD,0.08,0.06,0.12,0.04,0.02,0.16,0.09,0,0.05
AARS1,44.13,49.42,44.02,57.38,56.79,60.51,62.63,62.46,68.48
AARS2,5.36,4.95,4.99,7.08,7.51,4.29,5.12,5.12,5.44
AARSD1,25.64,21.62,21.32,22.27,22.91,22.44,27.22,25.3,24.87
AASDH,1.36,1.18,0.84,0.73,0.64,0.79,0.7,0.78,0.79
AASDHPPT,16.39,15.57,16.14,12.21,11.81,13.92,13.95,13.8,12.73
AASS,1.63,1.52,1.79,1.47,1.5,2.24,2.38,1.77,1.31
AATBC,0,0.09,0.07,0.04,0.01,0.01,0.02,0.02,0.01
AATF,19.3,20.28,19.47,18.32,18.37,19.64,17.93,18.58,20.29
AATF-2,19.3,20.1,19.09,17.96,17.61,19.06,18.28,18.58,19.87
AATK,0.03,0.03,0.03,0.02,0.08,0.04,0.05,0.12,0.13
ABALON,5.26,6.55,4.32,4.05,4.57,4.61,4.26,4.13,4.2
ABAT,0.27,0.42,0.42,1.31,1.29,1.07,0.93,0.81,0.94
ABCA1,1.23,1.15,1.16,1.4,1.48,1.6,2.19,2.07,2.25
ABCA10,0,0,0.01,0,0.02,0,0,0,0
ABCA12,0.01,0.02,0,0.04,0,0,0,0.01,0.03
ABCA13,0,0.01,0.01,0,0.02,0.01,0.02,0,0.01
ABCA2,5.93,6.37,5.94,6.04,6.98,6.5,6.82,6.38,7.01
ABCA3,0.24,0.35,0.28,0.28,0.25,0.34,0.37,0.23,0.26
ABCA4,0.04,0.03,0.01,0.08,0.02,0.03,0,0.03,0.03
ABCA5,0.11,0.1,0.08,0.09,0.04,0.04,0.06,0.09,0.08
ABCA6,0,0,0.04,0,0,0,0,0.01,0
ABCA7,0.28,0.3,0.29,0.53,0.62,0.36,0.58,0.45,0.53
ABCA8,0.03,0.15,0.01,0.15,0.16,0.06,0.08,0.11,0.08
ABCB1,1.74,1.65,1.33,1.14,0.94,1.21,1.91,1.47,1.34
ABCB10,8.37,5.43,6.64,7.77,5.5,5.21,6.67,7.04,6.66
ABCB11-2,0,0,0,0,0,0.01,0,0,0
ABCB4,0.02,0.03,0.02,0.02,0.01,0.04,0.02,0.09,0.03
ABCB6,5.81,5.34,5.19,6.25,6.03,5.92,5.24,4.34,4.96
ABCB7,2.98,3.18,3.08,2.75,1.92,2.26,2.39,2.86,2.69
ABCB8,9.57,11.58,10.44,10.4,10.93,10.53,11.6,10.23,11.85
ABCB9,2.46,3.24,2.21,3.28,2.75,2.96,2.63,2.83,3.22
ABCC1,16.54,18.09,16.26,26.2,25.8,27.32,19.18,19.27,20.48
ABCC1-2,15.18,17.35,15.68,29.76,29.21,24.99,22.05,20.65,22.68
ABCC10,5.69,6.68,5.79,7.01,8.02,6.67,6.87,5.98,7.41
ABCC11,0.05,0.05,0,0.13,0.06,0.14,0.07,0.08,0.04
