GeneSymbol,logFC,AveExpr,t,PValue,FDR,B,Regulation,Mean_Group1,Mean_Group2,Treatment_I6_I6_1,Treatment_I6_I6_2,Treatment_I6_I6_3,Control_Con_1,Control_Con_2,Control_Con_3
HMGB1,11.27740831,5.638704154,501.2886748,9.87E-12,2.59E-10,18.37076819,UP,11.86446239,11.45365914,11.77140693,11.97399506,11.84798517,11.6603436,11.23664209,11.46399174
MANF,11.10737436,5.553687179,38.35457431,8.96E-07,4.08E-06,5.220365487,UP,12.25525639,13.88738247,12.25707546,12.16558853,12.34310519,13.88738247,13.88743007,13.88733487
MAN2B2,10.33503291,5.167516457,3219.077451,2.54E-15,2.64E-13,21.80414812,UP,10.24011669,10.63615183,10.06540267,10.24688308,10.40806432,10.64169955,10.78848181,10.47827415
MMP1,9.781301832,4.890650916,89.85938253,2.05E-08,1.26E-07,9.822772607,UP,12.54501754,15.04092626,12.54501754,12.54489684,12.54513824,14.75443868,15.27769423,15.09064589
PLAT,9.425148496,4.712574248,2902.527774,4.03E-15,2.64E-13,21.76505893,UP,11.67879345,13.29110397,11.6886459,11.46701449,11.88071996,13.55918587,13.28802974,13.02609631
NENF,3.784737004,9.692664195,23.52445889,7.79E-06,2.62E-05,2.576349675,UP,12.62627029,12.68618268,12.62627029,12.62615619,12.62638438,12.68665919,12.73136146,12.64052739
LAMA4,1.918059723,11.21014526,8.490629252,0.00065491,0.001304142,-2.828481533,UP,15.03005928,15.92619597,15.03003772,15.03005928,15.03008084,15.92769117,16.00591397,15.84498276
NBL1,1.68041053,10.99633381,7.324841598,0.001216392,0.002309383,-3.578652036,UP,15.19622711,15.16935178,14.95544558,15.15448192,15.47875382,14.88793931,15.39313568,15.22698034
PLOD3,1.484587806,10.28168907,13.59621719,8.65E-05,0.000217877,-0.363936252,UP,13.7166459,12.91475714,13.68593139,13.71686232,13.747144,12.88950396,12.93986383,12.91490362
PPIA,1.395341723,15.86597082,436.59385,1.82E-11,3.97E-10,17.79885637,UP,10.65106733,10.93894731,10.68220457,11.00458566,10.26641177,10.93857985,10.93894735,10.93931474
HDGF,1.365277412,11.21853877,4.715951457,0.007093077,0.011195097,-5.696344556,UP,9.11503025,12.4980426,9.116330964,9.113729145,9.115030641,12.74957198,12.54731149,12.19724434
LTBP4,1.348771635,13.42780316,421.9470246,2.12E-11,3.97E-10,17.652005,UP,11.02398298,9.539395171,11.023983,11.02363655,11.02432938,9.73393049,9.548525249,9.335729772
C1RL,1.118082915,12.66161134,5.059164689,0.00541204,0.008752805,-5.3739959,UP,11.83653908,10.15612855,11.83723173,11.78143349,11.89095202,9.722804117,10.19516179,10.55041974
NPC2,1.090175704,13.22586505,15.08765716,5.49E-05,0.00014387,0.19049258,UP,18.12870084,18.95383146,18.17861136,18.07820815,18.12928302,18.96608012,18.74455138,19.15086288
S100A13,0.927539283,11.93420481,5.323225084,0.004435962,0.007703936,-5.13627246,UP,14.84988609,15.01272825,14.83141117,15.15425247,14.56399463,14.96125976,15.00613319,15.07079181
PPIB,0.923019066,14.9439451,6.155956261,0.002483051,0.004517773,-4.439795989,UP,13.86461393,14.11640319,13.93451097,13.54398637,14.11534445,14.11659982,14.0871313,14.14547845
HLA-G,0.918862004,12.67704912,27.69939945,3.79E-06,1.42E-05,3.458834438,UP,8.751576885,10.24441709,8.749902939,8.751577532,8.753250183,10.24725703,10.13207553,10.3539187
NPTX1,0.906805921,11.14328064,14.69907164,6.15E-05,0.000158086,0.05128248,UP,13.69397535,13.69454289,13.68119448,13.81312983,13.58760174,13.69454289,13.6945973,13.69448848
COL6A3,0.893460726,15.30317048,279.5570422,1.32E-10,1.84E-09,15.74156029,UP,15.39500971,15.99322768,15.34553692,15.38861604,15.45087616,16.01719772,15.26591167,16.69657366
GPC1,0.862441476,12.81678389,269.7606074,1.55E-10,1.84E-09,15.56638237,UP,15.0359214,15.25949054,15.08907801,15.33740936,14.68127685,15.21031367,15.30811501,15.26004294
C1S,0.801888764,13.31570152,36.54328094,1.11E-06,4.85E-06,4.958371079,UP,15.47439046,15.89612095,15.09012896,15.54893928,15.78410314,15.9206064,15.8714962,15.89626026
IGFBP5,0.771774669,17.88232619,4.10015689,0.011963232,0.018437452,-6.315477557,UP,11.10737436,0,10.54386316,11.18583558,11.59242433,0,0,0
OLFML3,0.765791509,12.78819345,8.177898163,0.00076722,0.001500087,-3.020468723,UP,15.32420822,15.71844014,15.27340224,15.37442482,15.3247976,15.94185229,15.76883821,15.44462993
CD44,0.71567354,17.82185545,12.17941647,0.000139516,0.000338455,-0.947178456,UP,15.23846185,14.60284723,15.20836393,15.2386697,15.26835193,14.60309022,14.63515694,14.57029452
