"GeneID","Con_1","Con_2","Con_3","DMEM_1","DMEM_2","DMEM_3","I6_1","I6_2","I6_3","R2_1","R2_2","R2_3","logFC","Pvalue","FDR"
"WBP1L",13.35,13.1,13.35,13.15,13.21,13.21,13.28,13.39,13.07,14.34,14.14,14.34,0.115768428,0.245854909,0.245854909
"CDC40",3.36,3.4,3.4,5.24,5.24,5.28,4.61,4.63,4.63,5.42,3.77,4.66,-0.481746344,0.00030722,0.00030722
"GAB1",0.82,1.28,1,1.48,1.42,1.61,1.37,1.37,1.37,1.36,1.07,1.19,-0.093231706,0.793753343,0.793753343
"ZNF654",1.35,2.31,0.87,2.08,2.04,2.08,2.1,2.09,2.1,2.04,1.28,1.77,-0.424968744,0.178113743,0.178113743
"ORAI1",9.23,8.96,9.23,9.13,10.09,7.9,8.33,7.91,7.57,8.37,7.44,7.85,0.126590908,0.443359942,0.443359942
"TPTEP2-CSNK1E",2.66,2.02,2.02,3.08,3.73,3.08,0.84,0.84,0.84,3.95,3.49,3.49,-0.252634085,0.754895851,0.754895851
"SPA17",6.14,6,6.14,5.69,6.53,4.75,5.19,5.19,5.24,5,5.55,5.37,0.25046382,0.152753452,0.152753452
"GPX8",11.46,12.35,9.92,14.99,15.04,14.99,14.83,15.18,15.63,13.93,11,12.49,-0.330229943,0.001062035,0.001062035
"SLC25A45",1.73,1.63,1.63,1.21,0.95,1.66,1.35,1.35,1.35,1.35,1.46,1.35,0.231041883,0.569514512,0.569514512
"ZNF747",1.45,1.19,1.71,1.04,1.09,1.12,1.25,1.17,1.31,1.6,1.05,1.37,0.491456421,0.093358878,0.093358878
"HYAL3",4.88,5.03,5.03,4.12,4.12,4.2,4.11,4.14,4.14,3.62,3.62,3.62,0.563790676,0.005042548,0.005042548
"DNAJC25",4.91,5.26,5.26,6.77,7.15,7.34,5.85,5.97,5.97,6.78,4.54,6.03,-0.294775887,0.053092686,0.053092686
"HSPB1",346.43,335.84,335.84,239.98,239.98,227.94,282.21,280.95,280.95,242.92,274.09,257.78,0.514916753,6.99e-06,6.99e-06
"NT5C1B",0,0,0,0,0,0,0,0,0,0,0,0,1.13719805,0.780480655,0.780480655
"MTERF1",1.12,1.12,1,1.14,1.23,1.05,1.35,1.39,1.39,1.4,1.34,1.34,0.125305494,0.636277909,0.636277909
"RAD21",45.72,58.98,50.49,76.71,71.97,80.86,75.82,74.91,74.01,64.88,52.2,59.1,-0.490292008,8.37e-09,8.37e-09
"KLF14",0.11,0.11,0.11,0.12,0.12,0.12,0.07,0.07,0.07,0.11,0.11,0.11,0.330444434,0.668978027,0.668978027
"PRR4",0,0,0,0,0,0,0.33,0.21,0.21,0,0,0,2.04605018,0.612272264,0.612272264
"PDLIM2",16.89,14.55,18.73,12.91,12.36,13.3,12.5,12.1,13.12,13.66,14.31,15.33,0.445164159,0.00678286,0.00678286
"EPB41L4A-DT",0.08,0.08,0.08,0.25,0.22,0.2,0.04,0.04,0.04,0.04,0.04,0.04,-1.864953208,0.191036719,0.191036719
"SERPINA1-2",0.51,0.37,0.37,0.58,0.58,0.58,0,0,0,0.28,0.55,0.28,-0.21468344,0.916958383,0.916958383
"SLX9",140.04,100.52,123.68,89.96,91.81,87.82,88.33,87.27,87.27,95.39,93.91,93.91,0.545364064,0.000341125,0.000341125
"CNTN1",0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,-0.796261608,0.843418889,0.843418889
"PPP1R11",0,0,0,0,0,0,0,0,0,0,0,0,6.049467239,0.045490339,0.045490339
"CCDC110",0,0,0,0.02,0.02,0.02,0,0,0,0.02,0.02,0.02,-1.705019585,0.519722739,0.519722739
"UBXN2B",0.87,2.64,1.96,3.55,2.94,3.29,2.07,2.31,2.65,3.34,3.25,3.25,-0.625183008,0.050919725,0.050919725
"COL6A3",2.22,2.37,2.52,2.42,2.4,2.42,2.39,2.7,3,2.78,2.78,2.78,-0.003187663,0.978445278,0.978445278
"ZMYND15",0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,2.256830381,0.282880932,0.282880932
"PTGDR2",0.04,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,1.443723809,0.549973348,0.549973348
"SAMHD1",22.28,22.94,22.94,29.93,28.4,31.76,32.15,31.08,29.97,30.94,27.16,28.78,-0.265665326,0.000357295,0.000357295
"TBC1D3K",0.08,0.08,0.08,0.05,0.05,0.08,0.05,0.11,0.05,0,0,0,2.474581298,0.149023848,0.149023848
"LCN12",0.01,0.01,0.01,0.05,0.05,0.06,0.09,0.06,0.03,0,0,0,-1.440955692,0.48244315,0.48244315
"ANKS1B",0.04,0.04,0.02,0.14,0.24,0.14,0.02,0.02,0.04,0.03,0.03,0.03,-0.467676041,0.6435188,0.6435188
"MAPK3",32.87,26.61,29.42,23.14,23.14,23.44,20.02,20.27,20.27,23.58,24.81,22.99,0.465116184,0.000146989,0.000146989
"ARID5A",6.74,6.45,6.74,4.43,5.65,3.33,3.51,4.81,5.52,5.05,5.05,5.05,0.694323372,0.002888859,0.002888859
"ADAMTS16",3.43,3.99,2.95,4.16,4.16,4.16,4.39,4.39,4.39,3.24,3.85,3.61,-0.14923398,0.383981087,0.383981087
"TPRA1",37.25,29.76,34.65,25.5,26.49,26.16,27.91,27.77,27.77,27.99,27.99,28.21,0.40688343,0.001009591,0.001009591
"NUAK2",3.37,3.24,3.62,4.12,4.24,3.88,2.86,3.41,4.19,3.84,3.53,3.67,-0.20776794,0.222662866,0.222662866
"TIA1",2.6,3.1,3.1,4.18,4.22,4.22,5.24,4.95,4.95,3.5,3.25,3.25,-0.21886131,0.579449516,0.579449516
"MFAP3",4.86,5,5,7.92,7.54,8.25,7.86,7.29,7.66,5.69,5.34,5.69,-0.43970481,0.001162196,0.001162196
"LAIR2-3",0.07,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.08,0.075,0.075,0.075,3.039406728,0.338741384,0.338741384
"NAALADL2-2",0,0,0,0,0,0,0,0,0,0,0,0,1.13719805,0.780480655,0.780480655
"TOR1A",46.72,46.72,46.57,47.65,47.57,47.65,45.39,45.39,44.92,48.4,56.74,52.87,0.054544241,0.41423192,0.41423192
"RPS6KA1-2",11.94,10.63,11.06,9.13,8.57,10.22,8.77,8.77,8.72,10.31,11.65,10.72,0.357136098,0.007458353,0.007458353
"SDC1",45.3,45.3,45.99,35.24,37.23,34.07,39.56,39.34,39.34,41.37,41.63,41.84,0.418255742,9.6e-07,9.6e-07
"RMDN2",1.63,1.63,1.63,1.66,1.75,1.66,1.47,1.47,1.47,1.09,1.09,1.08,0.018692557,0.961333396,0.961333396
"SYCP2",0.01,0.01,0.01,0.08,0.08,0.11,0.01,0.01,0.01,0.04,0.06,0.04,-1.755077328,0.236165208,0.236165208
"PTDSS1",50.16,50.16,50.16,45.61,46.32,45.16,51.89,52.15,51.35,54.02,55.46,54.96,0.179856556,0.001339085,0.001339085
"FBXO36",0.57,0.57,0.5,0.92,0.92,0.92,0.67,0.53,0.47,0.59,0.6,0.59,-0.300377657,0.464551964,0.464551964
"CCDC184",0.02,0.02,0.02,0,0,0,0.05,0.07,0.05,0.02,0.05,0.02,2.908919984,0.178977762,0.178977762
"PDIA3",90.99,90.33,90.99,118.36,123.15,115.04,120.48,119.26,120.03,113.73,111.51,113.06,-0.268685676,0.000432092,0.000432092
"LY6G5B-3",1.02,0.82,0.56,0.63,0.54,0.7,1.16,1.16,1.16,0.88,0.43,0.59,0.434212629,0.316092663,0.316092663
"TMEM130",0.02,0.02,0.04,0.1,0.1,0.14,0.02,0.02,0.02,0.02,0.02,0.02,-2.27378835,0.150627805,0.150627805
"RND3",10.87,10.87,10.1,18.11,17.25,19.35,16.5,16.71,16.71,13.23,9.83,11.83,-0.535860322,0.000254375,0.000254375
"TRA2B",29.66,29.66,28.65,34.45,32.99,33.9,34.19,34.74,34.19,31.27,31.27,31.52,-0.082462304,0.171936819,0.171936819
"GALNT14",0.2,0.2,0.2,0.14,0.1,0.23,0.11,0.22,0.3,0.38,0.23,0.3,0.254898434,0.771391147,0.771391147
"ZNF436-2",0.86,0.93,0.73,1.14,0.94,1.3,1.19,1.18,1.18,1.13,1.13,1.13,-0.347529793,0.217665554,0.217665554
"DUSP12",28.46,28.46,28.46,32.48,33.88,31.56,35.03,31.99,28.68,32.21,32.43,32.21,-0.162576377,0.127247788,0.127247788
"CDK10",17.63,14.99,19.62,16.08,14.87,17.4,13.58,13.53,13.58,13.37,16.12,15.05,0.255667905,0.087332571,0.087332571
"ELP5",21.09,20.66,21.78,18.52,16.98,17.56,15.87,15.87,16.73,18.45,17.4,18.07,0.363504815,0.002521364,0.002521364
"SLC12A2-DT",9.1,11.87,10.84,10.7,10.9,10.52,8.95,9.21,8.52,8.82,9.5,9.2,0.099120354,0.480100533,0.480100533
"KCNB1",0,0,0,0,0,0,0,0,0,0,0,0,-0.758895019,0.803680713,0.803680713
"AP2A2-3",3.56,3.67,3.56,3.03,3.11,3.11,4.06,4.06,4.06,4.58,4.58,4.64,0.187999022,0.215291411,0.215291411
"RAB9A",12.32,12.94,12.61,15.05,14.68,14.86,16.25,16.31,16.25,15.49,15.49,15.49,-0.161129384,0.137740069,0.137740069
"SLC38A2",43.11,43.11,40.14,67.01,63.95,71.97,62.88,62.88,62.73,59.14,42.78,50.86,-0.494174749,4.8e-09,4.8e-09
"PGBD4",0.1,0.12,0.12,0.22,0.24,0.25,0.24,0.24,0.25,0.28,0.2,0.23,-0.296848038,0.620465927,0.620465927
"NMRAL1",24.59,23.14,23.14,18.05,16.68,19.06,18.48,17.95,17.95,16.93,18.52,18,0.409224961,0.022946594,0.022946594
"IL11",49.53,47.3,49.53,45.07,46.61,43.23,48.94,48.5,48.5,50.06,54.11,51.85,0.286423835,0.014721945,0.014721945
"LRRFIP1",11.48,11.92,11.92,24.42,22.11,26.06,23.76,23.76,23.84,20.46,16.38,18.72,-0.767999634,4.16e-08,4.16e-08
"RDH12",0.15,0.06,0.06,0.06,0.06,0.06,0.11,0.11,0.11,0.2,0.2,0.2,0.15805452,0.924276316,0.924276316
"FBXO24",0.03,0.03,0.03,0.05,0.06,0.05,0.11,0.11,0.09,0.05,0.05,0.05,0.764431633,0.686914536,0.686914536
"CD99-2",155.3,155.3,157.48,136.88,136.88,136.52,134.49,134.49,135.47,145.14,154.17,148.22,0.248190887,0.001018078,0.001018078
"STX6",8.51,10.05,9.41,11.76,11.76,11.92,12.14,11.64,12.4,12.09,9.9,10.74,-0.247721503,0.004931192,0.004931192
"SLC44A5",0.07,0.07,0.07,0.2,0.2,0.2,0.14,0.13,0.13,0.03,0.03,0.04,-0.937841088,0.228518798,0.228518798
"CCDC149",2.53,2.51,2.53,3.29,3.48,3.08,3.49,3.36,3.49,2.81,2.83,2.83,-0.225992235,0.135326291,0.135326291
"TAGLN3",1.45,1.76,1.45,1.07,0.8,1.23,0.62,0.9,1.16,0.71,0.98,0.88,0.30279126,0.630143383,0.630143383
"PTGS1",3.18,2.85,3.04,3.16,2.86,2.97,2.77,3,3.42,2.85,2.92,2.76,0.09864558,0.529929809,0.529929809
"MOB3A",34.8,32.99,37.16,32.19,31.21,33.98,34.73,34.73,34.73,33.04,33.12,32.99,0.192589974,0.042317577,0.042317577
"CARD19",149.24,141.57,141.57,91.84,91.84,90.53,94.81,91.77,88.64,103.26,104.15,104.15,0.667709232,2.57e-08,2.57e-08
"MROH1",11.9,10.83,9.84,7.91,8.25,7.63,8.39,8.82,9.14,9.5,9.5,9.5,0.389803556,0.000732887,0.000732887
"MMP9",0.51,0.32,0.44,0.47,0.4,0.51,0.33,0.65,0.82,0.69,0.66,0.66,-0.034481703,0.950105783,0.950105783
"PSEN2",17.77,17.77,17.71,15.47,16.32,14.68,15.79,15.79,15.76,18.34,18.36,18.36,0.303523991,0.004910109,0.004910109
"SSR4",482.12,455.99,455.99,299.8,294.87,307.6,293.84,288.8,297.75,332.44,332.44,333.84,0.677541735,2.29e-10,2.29e-10
"MEF2A",3.93,4.01,4.01,6.5,6.5,6.67,6.17,6.36,6.08,5.57,5.49,5.49,-0.422750365,0.003165943,0.003165943
"SOX15",5.06,3.62,4.16,3.54,3.83,3.33,3.85,3.8,3.8,4.41,4.63,4.09,0.360420037,0.208305676,0.208305676
"TMTC1",0.05,0.08,0.05,0.12,0.12,0.11,0.07,0.09,0.13,0.24,0.2,0.2,-1.455233771,0.039421945,0.039421945
"NME7",20.36,20.36,19.84,23.33,21.57,24.68,19.53,20.52,21.95,23.59,15.63,20.04,-0.068283814,0.555194809,0.555194809
"SLC46A1",8.41,8.3,8.3,7.4,7.37,7.37,7.53,7.49,7.53,8.69,8.77,8.69,0.218425682,0.043345901,0.043345901
"TLL1",0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.05,0.07,0.02,0.02,0.02,1.88879143,0.357148694,0.357148694
"NKIRAS1",6.09,5.99,5.99,6.73,6.23,7.83,7.19,7.19,7.19,6.64,6.64,6.61,-0.256389814,0.037759474,0.037759474
"TMOD3",14.21,14.21,12.87,23.42,21.64,24.88,21.78,21.5,21.31,20.59,14.83,17.52,-0.566512479,2.66e-07,2.66e-07
"HYAL1",0.07,0.1,0.1,0.07,0.07,0.07,0.19,0.19,0.19,0.05,0.07,0.07,1.277402108,0.286632787,0.286632787
"FOXL1",0,0,0,0,0,0,0,0,0,0,0,0,2.04605018,0.612272264,0.612272264
"ZNF354C",0.96,1,1,2.16,1.95,2.34,1.77,1.8,1.72,1.17,1.16,1.17,-0.720529522,0.005283564,0.005283564
"PARD6A",9.35,6.71,7.87,5.68,5.68,5.68,4.64,4.83,5.04,6,5.47,6.44,0.600459314,0.013666271,0.013666271
"ITPK1",25.58,23.21,26.88,22.27,22.52,22.65,19.17,19.17,19,22.37,22.37,22.37,0.223010583,0.027186297,0.027186297
