#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATF3	STAT3	9606.ENSP00000344352	9606.ENSP00000264657	0	0	0	0	0	0.425	0	0	0.425
ATF3	TP53	9606.ENSP00000344352	9606.ENSP00000269305	0	0	0	0	0	0.743	0	0	0.743
ATF3	JUNB	9606.ENSP00000344352	9606.ENSP00000303315	0	0	0	0	0	0.774	0	0	0.774
ATF3	FOSL1	9606.ENSP00000344352	9606.ENSP00000310170	0	0	0	0.771	0	0.193	0	0	0.193
ATF3	SMAD3	9606.ENSP00000344352	9606.ENSP00000332973	0	0	0	0	0	0.510	0	0	0.510
ATF3	STAT1	9606.ENSP00000344352	9606.ENSP00000354394	0	0	0	0	0	0.301	0	0	0.301
CREB3L1	EPAS1	9606.ENSP00000481956	9606.ENSP00000263734	0	0	0	0	0	0.292	0	0	0.292
CTCF	SMAD3	9606.ENSP00000494538	9606.ENSP00000332973	0	0	0	0	0	0.314	0	0	0.314
EGR1	SNAI2	9606.ENSP00000239938	9606.ENSP00000020945	0	0	0	0.627	0	0.069	0.500	0	0.514
EGR1	STAT2	9606.ENSP00000239938	9606.ENSP00000315768	0	0	0	0	0	0.058	0.500	0	0.508
EGR1	STAT1	9606.ENSP00000239938	9606.ENSP00000354394	0	0	0	0	0	0.058	0.500	0	0.508
EGR1	FOSL1	9606.ENSP00000239938	9606.ENSP00000310170	0	0	0	0	0	0.066	0.500	0	0.513
EGR1	PPARG	9606.ENSP00000239938	9606.ENSP00000287820	0	0	0	0	0	0.067	0.500	0	0.513
EGR1	TP53	9606.ENSP00000239938	9606.ENSP00000269305	0	0	0	0	0	0.759	0.500	0	0.874
EGR1	JUNB	9606.ENSP00000239938	9606.ENSP00000303315	0	0	0	0	0	0.634	0.500	0	0.809
EPAS1	FOXP1	9606.ENSP00000263734	9606.ENSP00000484803	0	0	0	0	0	0	0.500	0	0.499
EPAS1	ETS1	9606.ENSP00000263734	9606.ENSP00000376436	0	0	0	0	0	0.292	0	0	0.292
EPAS1	SMAD3	9606.ENSP00000263734	9606.ENSP00000332973	0	0	0	0	0	0.598	0	0	0.598
ETS1	NFKB1	9606.ENSP00000376436	9606.ENSP00000226574	0	0	0	0	0	0.426	0	0	0.426
ETS1	TP53	9606.ENSP00000376436	9606.ENSP00000269305	0	0	0	0	0	0.625	0	0	0.625
ETS1	SMAD3	9606.ENSP00000376436	9606.ENSP00000332973	0	0	0	0	0	0.387	0	0	0.386
ETV1	TP53	9606.ENSP00000405327	9606.ENSP00000269305	0	0	0	0	0	0.161	0	0	0.161
FOSL1	JUNB	9606.ENSP00000310170	9606.ENSP00000303315	0	0	0	0	0	0.830	0.900	0	0.982
FOSL1	TEAD1	9606.ENSP00000310170	9606.ENSP00000435233	0	0	0	0	0	0.313	0	0	0.313
FOXP1	TP53	9606.ENSP00000484803	9606.ENSP00000269305	0	0	0	0	0	0.294	0	0	0.294
FOXP1	TEAD1	9606.ENSP00000484803	9606.ENSP00000435233	0	0	0	0	0	0.166	0	0	0.165
IRF1	STAT6	9606.ENSP00000245414	9606.ENSP00000300134	0	0	0	0	0	0.422	0	0	0.422
IRF1	STAT3	9606.ENSP00000245414	9606.ENSP00000264657	0	0	0	0	0	0.292	0	0	0.292
IRF1	STAT2	9606.ENSP00000245414	9606.ENSP00000315768	0	0	0	0	0	0	0.500	0	0.499
IRF1	STAT1	9606.ENSP00000245414	9606.ENSP00000354394	0	0	0	0	0	0.805	0.500	0	0.898
JUNB	STAT3	9606.ENSP00000303315	9606.ENSP00000264657	0	0	0	0	0	0.087	0.500	0	0.523
JUNB	STAT6	9606.ENSP00000303315	9606.ENSP00000300134	0	0	0	0	0	0.087	0.500	0	0.523
JUNB	SMAD3	9606.ENSP00000303315	9606.ENSP00000332973	0	0	0	0	0	0.294	0.500	0	0.632
NFKB1	STAT6	9606.ENSP00000226574	9606.ENSP00000300134	0	0	0	0	0	0.294	0	0	0.294
NFKB1	STAT3	9606.ENSP00000226574	9606.ENSP00000264657	0	0	0	0	0	0.598	0	0	0.598
NFKB1	PPARG	9606.ENSP00000226574	9606.ENSP00000287820	0	0	0	0	0	0.292	0.750	0	0.815
PPARG	SNAI2	9606.ENSP00000287820	9606.ENSP00000020945	0	0	0	0	0	0.045	0.500	0	0.502
PPARG	TP53	9606.ENSP00000287820	9606.ENSP00000269305	0	0	0	0	0	0.305	0.500	0	0.637
