#node	identifier	category	term ID	term description
ATF3	9606.ENSP00000344352	GO Process	GO:0000122	Negative regulation of transcription by RNA polymerase II
ATF3	9606.ENSP00000344352	GO Process	GO:0005975	Carbohydrate metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0005996	Monosaccharide metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0006006	Glucose metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0006094	Gluconeogenesis
ATF3	9606.ENSP00000344352	GO Process	GO:0006355	Regulation of transcription, DNA-templated
ATF3	9606.ENSP00000344352	GO Process	GO:0006357	Regulation of transcription by RNA polymerase II
ATF3	9606.ENSP00000344352	GO Process	GO:0006950	Response to stress
ATF3	9606.ENSP00000344352	GO Process	GO:0006986	Response to unfolded protein
ATF3	9606.ENSP00000344352	GO Process	GO:0007154	Cell communication
ATF3	9606.ENSP00000344352	GO Process	GO:0007165	Signal transduction
ATF3	9606.ENSP00000344352	GO Process	GO:0007517	Muscle organ development
ATF3	9606.ENSP00000344352	GO Process	GO:0007519	Skeletal muscle tissue development
ATF3	9606.ENSP00000344352	GO Process	GO:0008152	Metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0008284	Positive regulation of cell population proliferation
ATF3	9606.ENSP00000344352	GO Process	GO:0009058	Biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0009267	Cellular response to starvation
ATF3	9606.ENSP00000344352	GO Process	GO:0009605	Response to external stimulus
ATF3	9606.ENSP00000344352	GO Process	GO:0009888	Tissue development
ATF3	9606.ENSP00000344352	GO Process	GO:0009889	Regulation of biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0009890	Negative regulation of biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0009891	Positive regulation of biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0009892	Negative regulation of metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0009893	Positive regulation of metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0009966	Regulation of signal transduction
ATF3	9606.ENSP00000344352	GO Process	GO:0009967	Positive regulation of signal transduction
ATF3	9606.ENSP00000344352	GO Process	GO:0009968	Negative regulation of signal transduction
ATF3	9606.ENSP00000344352	GO Process	GO:0009987	Cellular process
ATF3	9606.ENSP00000344352	GO Process	GO:0009991	Response to extracellular stimulus
ATF3	9606.ENSP00000344352	GO Process	GO:0010033	Response to organic substance
ATF3	9606.ENSP00000344352	GO Process	GO:0010468	Regulation of gene expression
ATF3	9606.ENSP00000344352	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0010557	Positive regulation of macromolecule biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0010558	Negative regulation of macromolecule biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0010605	Negative regulation of macromolecule metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0010628	Positive regulation of gene expression
ATF3	9606.ENSP00000344352	GO Process	GO:0010646	Regulation of cell communication
ATF3	9606.ENSP00000344352	GO Process	GO:0010647	Positive regulation of cell communication
ATF3	9606.ENSP00000344352	GO Process	GO:0010648	Negative regulation of cell communication
ATF3	9606.ENSP00000344352	GO Process	GO:0010941	Regulation of cell death
ATF3	9606.ENSP00000344352	GO Process	GO:0010942	Positive regulation of cell death
ATF3	9606.ENSP00000344352	GO Process	GO:0016051	Carbohydrate biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0019222	Regulation of metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0019318	Hexose metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0019319	Hexose biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0023051	Regulation of signaling
ATF3	9606.ENSP00000344352	GO Process	GO:0023052	Signaling
ATF3	9606.ENSP00000344352	GO Process	GO:0023056	Positive regulation of signaling
ATF3	9606.ENSP00000344352	GO Process	GO:0023057	Negative regulation of signaling
ATF3	9606.ENSP00000344352	GO Process	GO:0030154	Cell differentiation
ATF3	9606.ENSP00000344352	GO Process	GO:0030968	Endoplasmic reticulum unfolded protein response
ATF3	9606.ENSP00000344352	GO Process	GO:0031323	Regulation of cellular metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0031324	Negative regulation of cellular metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0031325	Positive regulation of cellular metabolic process
ATF3	9606.ENSP00000344352	GO Process	GO:0031326	Regulation of cellular biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0031327	Negative regulation of cellular biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0031328	Positive regulation of cellular biosynthetic process
ATF3	9606.ENSP00000344352	GO Process	GO:0031667	Response to nutrient levels
ATF3	9606.ENSP00000344352	GO Process	GO:0031668	Cellular response to extracellular stimulus
ATF3	9606.ENSP00000344352	GO Process	GO:0031669	Cellular response to nutrient levels
ATF3	9606.ENSP00000344352	GO Process	GO:0032502	Developmental process
ATF3	9606.ENSP00000344352	GO Process	GO:0033554	Cellular response to stress
ATF3	9606.ENSP00000344352	GO Process	GO:0034198	Cellular response to amino acid starvation
ATF3	9606.ENSP00000344352	GO Process	GO:0034620	Cellular response to unfolded protein
ATF3	9606.ENSP00000344352	GO Process	GO:0034976	Response to endoplasmic reticulum stress
ATF3	9606.ENSP00000344352	GO Process	GO:0035914	Skeletal muscle cell differentiation
ATF3	9606.ENSP00000344352	GO Process	GO:0035966	Response to topologically incorrect protein
ATF3	9606.ENSP00000344352	GO Process	GO:0035967	Cellular response to topologically incorrect protein
ATF3	9606.ENSP00000344352	GO Process	GO:0036003	Positive regulation of transcription from RNA polymerase II promoter in response to stress
ATF3	9606.ENSP00000344352	GO Process	GO:0042127	Regulation of cell population proliferation
ATF3	9606.ENSP00000344352	GO Process	GO:0042221	Response to chemical
ATF3	9606.ENSP00000344352	GO Process	GO:0042594	Response to starvation
ATF3	9606.ENSP00000344352	GO Process	GO:0042981	Regulation of apoptotic process
