"GeneID","logFC","AveExpr","t","PValue","FDR","B","Regulation","Mean_Group1","Mean_Group2","Treatment_I6_I6_1","Treatment_I6_I6_2","Treatment_I6_I6_3","Control_Con_1","Control_Con_2","Control_Con_3"
"NCAM1",-11.3709723670645,5.68548618353227,-18.8863412437357,2.05089933338983e-05,5.97039583720151e-05,1.39355917292205,"DOWN",16.641334700957,17.1461120432529,16.6294277739752,16.6413673677395,16.6532089611562,17.1398311032352,17.1461211449539,17.1523838815697
"HMGB1",11.2774083078673,5.63870415393366,501.288674771601,9.86656717720985e-12,2.58504060042898e-10,18.3707681942379,"UP",11.8644623854215,11.4536591441511,11.7714069330985,11.9739950573413,11.8479851658249,11.6603435953142,11.2366420941257,11.4639917430135
"INHBA",-11.1989106517644,5.59945532588218,-38.2852024295283,9.03258116196145e-07,4.08023493867914e-06,5.21056068165795,"DOWN",12.3820760051813,14.9359398529724,12.6221342045112,12.3961123828311,12.1279814282017,14.9368380438562,14.8731316613804,14.9978498536805
"MANF",11.1073743582648,5.55368717913242,38.3545743117801,8.96038958612245e-07,4.08023493867914e-06,5.22036548696062,"UP",12.2552563936566,13.8873824710691,12.2570754606845,12.1655885270155,12.3431051932697,13.8873824715926,13.8874300728794,13.8873348687351
"CD55",-10.4483029617733,5.22415148088664,-28.4112963964627,3.38428680342544e-06,1.30394579779039e-05,3.59604761944801,"DOWN",12.0566591129797,12.4146455967506,11.7359367436243,12.1110900146059,12.3229505807088,12.4147777132946,12.4146456007836,12.4145134761736
"C1QBP",-10.4193102389395,5.20965511946977,-601.226109733203,4.39869778528299e-12,1.44057352468018e-10,19.0607065255458,"DOWN",16.497686324009,15.8645941977762,16.2919602666462,16.5126571425371,16.6884415628437,15.868152163042,15.8966138571562,15.8290165731305
"MAN2B2",10.3350329145286,5.16751645726432,3219.07745133878,2.54147464165629e-15,2.6369574069191e-13,21.8041481183431,"UP",10.2401166900428,10.6361518346376,10.0654026703576,10.2468830798562,10.4080643199147,10.6416995529179,10.7884818059187,10.4782741450762
"MMP1",9.7813018320424,4.8906509160212,89.8593825292355,2.04747557511934e-08,1.263100830822e-07,9.82277260703963,"UP",12.5450175397087,15.0409262636304,12.5450175430749,12.5448968350524,12.5451382409987,14.7544386773878,15.2776942269418,15.0906458865616
"COLEC10",-9.56454095277447,4.78227047638724,-104.390232230429,1.05208846810473e-08,7.25387312219574e-08,10.6274725871403,"DOWN",11.8379669459584,13.1386417188851,11.6327453385203,12.0339219390614,11.8472335602936,12.9835565720821,13.3118050682176,13.1205635163556
"PLAT",9.4251484964569,4.71257424822845,2902.52777441254,4.02588917086885e-15,2.6369574069191e-13,21.7650589331716,"UP",11.6787934518337,13.2911039714906,11.6886459030768,11.4670144946158,11.8807199578085,13.5591858657877,13.2880297375503,13.0260963111338
"NENF",3.7847370037468,9.6926641946238,23.524458894976,7.79283746799289e-06,2.61759412386428e-05,2.57634967507673,"UP",12.6262702861434,12.6861826808036,12.626270289151,12.626156191783,12.6263843774961,12.6866591886503,12.7313614626082,12.6405273911523
"COMP",-3.38301235268673,10.8065364264547,-22.0967302565323,1.02722738144875e-05,3.36416967424466e-05,2.23864672201453,"DOWN",14.5587471140928,15.2615918514622,14.5253005708579,14.5590035811135,14.5919371903072,15.492979761784,15.2793240157168,15.012471776886
"LYZ",-3.04036430310222,10.8091517057548,-933.005757616274,6.24058848972869e-13,2.7250569738482e-11,20.382809316476,"DOWN",10.667963020978,10.5071722009383,10.6684063696746,10.6679630663972,10.6675196268621,10.5084385567641,10.58058834252,10.4324897035308
"A1BG",-2.55386384779104,13.6590079290768,-18.2709467920561,2.37241522958182e-05,6.75622597989604e-05,1.21560276389029,"DOWN",12.7277247901807,12.0638298401951,12.7277247927937,12.7276184437446,12.7278311340038,12.0636613485572,12.0639983252739,12.0638298467542
"AHSG",-2.49590872392172,13.7929719016695,-17.1810392856246,3.10808805669533e-05,8.66296883887422e-05,0.885598755647012,"DOWN",12.0473420658514,12.9743764255011,12.0473420725622,12.0475124874611,12.0471716375311,12.6353553607011,13.0188226154291,13.2689513003732
"RBP4",-2.49102830423103,13.7477442899533,-89.1462317739412,2.12123803649497e-08,1.263100830822e-07,9.77991383637036,"DOWN",21.4346127558837,22.4977067762081,21.6458189234456,21.490723102434,21.1672962417715,22.4977066544046,22.4977068980117,22.4977067762082
"KISS1",-2.0575168118875,11.6204489910522,-19.0654432735128,1.96750627470776e-05,5.85780277242537e-05,1.44428832794517,"DOWN",0,11.1989106517644,0,0,0,11.2335058383575,10.6484654430273,11.7147606739083
"CST6",-2.0203641640896,12.5509010162555,-4.95654858427067,0.00585934290210742,0.00936065756312282,-5.46875289767174,"DOWN",12.3952007541908,12.1736015750294,12.6124124009085,12.1925394079319,12.3806504537319,12.2016644887114,11.776971680595,12.5421685557819
"LAMA4",1.91805972332442,11.2101452575034,8.49062925215211,0.000654910360546792,0.00130414190392647,-2.82848153343092,"UP",15.0300592762629,15.9261959685684,15.0300377163528,15.0300592763703,15.0300808360657,15.9276911700338,16.0059139713792,15.8449827642924
"ITIH2",-1.84206816130048,14.1425018772915,-9.05452589466813,0.000498685028700736,0.00105367320580317,-2.49760797414684,"DOWN",18.1796922198667,17.4640186801755,18.12882002433,18.2299735113163,18.1802831239537,17.5573963878211,17.3685831913092,17.4660764613963
"A2M",-1.69825480863095,15.9119908441543,-10.0098537957473,0.000325019408918956,0.000721653263870902,-1.97718575061135,"DOWN",19.9963417664017,20.1444373102508,19.9963410767244,19.9963417664018,19.9963424560788,20.1444379326437,20.1444366878578,20.1444373102509
"CPB2",-1.68850578735553,12.4211132404058,-2.93399911324062,0.0374805165015085,0.0495954309262385,-7.64277955047019,"DOWN",11.7529478760477,11.6325136008342,11.6903035947742,11.8146986138021,11.7538414195668,11.6327407952357,11.632286394506,11.6325136127609
"NBL1",1.68041053005664,10.9963338117475,7.32484159790521,0.00121639237285908,0.00230938262093536,-3.57865203627001,"UP",15.196227107351,15.1693517766985,14.955445583906,15.1544819156112,15.4787538225357,14.8879393083616,15.3931356839663,15.2269803377675
"SERPINA7",-1.67968322353542,11.2524960690064,-5.28122654127788,0.00457617457092983,0.00770393618419576,-5.17350586030918,"DOWN",14.5777762641405,14.1049426789807,14.9010884393181,14.5850916424463,14.2471487106572,14.104901740119,14.1049836174553,14.104942679368
