GeneID,Con_1,Con_2,Con_3,DMEM_1,DMEM_2,DMEM_3,logFC,Pvalue,FDR,I6_1,I6_2,I6_3,logFC,Pvalue,FDR,R2_1,R2_2,R2_3,logFC,Pvalue,FDR
WBP1L,13.35,13.1,14.53,13.15,13.6,13.21,0.115768428,0.245854909,0.245854909,13.28,13.39,13.07,-0.116053404,0.242170863,0.242170863,15.49,14.14,14.34,0.169244239,0.014622761,0.014622761
CDC40,3.36,3.9,3.4,5.12,5.24,5.28,-0.481746344,0.00030722,0.00030722,4.61,4.63,5.18,0.371753803,0.009054897,0.009054897,5.42,3.77,4.66,-0.041824342,0.795057402,0.795057402
GAB1,0.82,1.28,1,1.48,1.42,1.61,-0.093231706,0.793753343,0.793753343,1.37,1.36,1.37,-0.017748997,0.960274956,0.960274956,1.36,1.07,1.19,-0.212636549,0.171246384,0.171246384
ZNF654,1.35,2.31,0.87,2.08,2.04,2.24,-0.424968744,0.178113743,0.178113743,2.14,2.09,2.1,0.421637738,0.179271367,0.179271367,2.04,1.28,1.77,-0.300506687,0.123934288,0.123934288
ORAI1,10.09,8.96,9.23,9.13,10.09,7.9,0.126590908,0.443359942,0.443359942,8.33,7.91,7.57,-0.30554394,0.035081143,0.035081143,8.37,7.44,7.85,0.006290695,0.957525301,0.957525301
TPTEP2-CSNK1E,2.66,2.02,0.55,3.08,3.73,1.35,-0.252634085,0.754895851,0.754895851,0.84,0.49,0.87,-1.029239138,0.276597273,0.276597273,3.95,1.92,3.49,2.339042476,0.000679218,0.000679218
SPA17,6.93,6,6.14,5.69,6.53,4.75,0.25046382,0.152753452,0.152753452,4.82,5.19,5.24,-0.39733779,0.006430981,0.006430981,5,5.55,5.37,0.090415748,0.441578185,0.441578185
GPX8,11.46,12.35,9.92,14.71,15.04,14.99,-0.330229943,0.001062035,0.001062035,14.83,15.18,15.63,0.370663302,0.00022311,0.00022311,13.93,11,12.49,-0.266392507,0.006732676,0.006732676
SLC25A45,1.73,1.05,1.63,1.21,0.95,1.66,0.231041883,0.569514512,0.569514512,1.36,1.35,0.99,-0.307416264,0.432116482,0.432116482,1.07,1.46,1.35,0.140126508,0.666689649,0.666689649
ZNF747,1.45,1.19,1.71,1.04,1.09,1.12,0.491456421,0.093358878,0.093358878,1.25,1.17,1.31,-0.304964549,0.286119101,0.286119101,1.6,1.05,1.37,0.13477817,0.601804324,0.601804324
