Pathway,Category,Comparison,NES,FDR,NOM_pVal
basement membrane organization,"basement 
membrane",NF-CM_vs_MDA-231-CM,-2.054253032,0.003328067,0
basement membrane,"basement 
membrane",NF-CM_vs_MDA-231-CM,-1.866779817,0.016460723,0
extracellular matrix assembly,extracellular matrix,NF-CM_vs_MDA-231-CM,-1.947617883,0.007358053,0
collagen-containing extracellular matrix,extracellular matrix,NF-CM_vs_MDA-231-CM,-1.611873879,0.060273747,0
extracellular matrix,extracellular matrix,NF-CM_vs_MDA-231-CM,-1.440488485,0.120443964,0.002214839
extracellular matrix organization,extracellular matrix,NF-CM_vs_MDA-231-CM,-1.562835779,0.075401717,0.002275313
extracellular matrix structural constituent,extracellular matrix,NF-CM_vs_MDA-231-CM,-1.609191268,0.060999216,0.002663116
extracellular matrix binding,extracellular matrix,NF-CM_vs_MDA-231-CM,-1.699490947,0.040484968,0.002840909
ECM-receptor interaction,extracellular matrix,NF-CM_vs_MDA-231-CM,-1.752753411,0.014948743,0
collagen binding,collagen,NF-CM_vs_MDA-231-CM,-1.893107237,0.013331826,0.001388889
collagen fibril organization,collagen,NF-CM_vs_MDA-231-CM,-1.528182863,0.086531419,0.009408602
positive regulation of collagen metabolic process,collagen,NF-CM_vs_MDA-231-CM,-1.534174143,0.084947415,0.024350649
positive regulation of collagen biosynthetic process,collagen,NF-CM_vs_MDA-231-CM,-1.556260777,0.077068342,0.027287319
collagen biosynthetic process,collagen,NF-CM_vs_MDA-231-CM,-1.408847578,0.136001113,0.066469719
epithelial to mesenchymal transition,EMT,NF-CM_vs_MDA-231-CM,-1.68056672,0.043414157,0.001358696
positive regulation of epithelial to mesenchymal transition,EMT,NF-CM_vs_MDA-231-CM,-1.53573612,0.084594925,0.025835866
positive regulation of cell migration,cell migration,NF-CM_vs_MDA-231-CM,-1.788424149,0.025746506,0
substrate-dependent cell migration,cell migration,NF-CM_vs_MDA-231-CM,-1.92137404,0.010492793,0
positive regulation of cell motility,cell migration,NF-CM_vs_MDA-231-CM,-1.748366001,0.031815412,0
positive regulation of locomotion,cell migration,NF-CM_vs_MDA-231-CM,-1.751313626,0.03118004,0
epithelial cell migration,cell migration,NF-CM_vs_MDA-231-CM,-1.704284259,0.039721179,0
positive regulation of epithelial cell migration,cell migration,NF-CM_vs_MDA-231-CM,-1.776373902,0.027015713,0
cell-substrate adhesion,"cell
-substrate",NF-CM_vs_MDA-231-CM,-1.847622838,0.018166716,0
positive regulation of cell-substrate adhesion,"cell
-substrate",NF-CM_vs_MDA-231-CM,-1.658251293,0.047867333,0.004016064
substrate adhesion-dependent cell spreading,"cell
-substrate",NF-CM_vs_MDA-231-CM,-1.765209159,0.029274885,0
positive regulation of substrate adhesion-dependent cell spreading,"cell
-substrate",NF-CM_vs_MDA-231-CM,-1.395228185,0.144253604,0.068181818
cell-matrix adhesion,"cell
-matrix",NF-CM_vs_MDA-231-CM,-1.945952068,0.007481119,0
positive regulation of cell-matrix adhesion,"cell
-matrix",NF-CM_vs_MDA-231-CM,-1.643339814,0.052708838,0.008888889
cell adhesion molecule binding,"adhesion 
mechanism",NF-CM_vs_MDA-231-CM,-1.798687803,0.024666671,0
cell adhesion mediated by integrin,"adhesion 
mechanism",NF-CM_vs_MDA-231-CM,-1.670802339,0.044949051,0.00284495
Focal adhesion,"adhesion 
mechanism",NF-CM_vs_MDA-231-CM,-1.873751729,0.007342266,0
positive regulation of focal adhesion assembly,"adhesion 
mechanism",NF-CM_vs_MDA-231-CM,-1.789328714,0.025815017,0.004815409
