GeneID,Con_1,Con_2,Con_3,DMEM_1,DMEM_2,DMEM_3,I6_1,I6_2,I6_3,R2_1,R2_2,R2_3
A1BG,1.08,1.27,1.13,0.56,0.64,0.6,0.59,0.43,0.45,0.44,0.78,0.58
A1BG-AS1,3.95,1.95,2.72,2.71,2.71,2.99,4.19,3.54,2.61,1.62,4.11,2.84
A1CF,0,0.02,0,0.01,0.02,0,0,0.01,0.01,0,0,0
A3GALT2,0,0,0,0.06,0.07,0.12,0,0,0,0,0,0
A4GALT,13.06,9.1,10.05,8.89,9.63,9.21,8.77,8.36,7.92,8.64,9.73,9.13
A4GNT,0.03,0,0,0.09,0.07,0.03,0,0,0,0.03,0,0.03
AAAS,18.47,15.57,19.15,14.13,17.93,13.13,13.51,15.07,17.66,15.46,15.1,15.29
AAAS-2,16.3,14.49,17.44,14.49,13.05,14.47,13.22,14.22,12.36,13.56,13.7,14
AACS,22.81,23.51,23.44,24.43,22.28,24.44,24.18,24.79,24.49,24.52,25.38,24.65
AADAC,0.04,0.18,0.09,0.11,0.08,0.04,0,0.04,0.08,0.07,0,0.07
AADAT,2.19,2.71,1.84,1.93,2.07,1.97,3.17,2.8,1.88,2.16,1.51,1.75
AAGAB,9.5,12.87,9.08,12.99,12.08,13.86,13.82,14.05,15.61,15.69,11.44,13.41
AAK1,4.28,6.82,5.28,8.32,7.51,9.03,9.4,9.44,9.04,8.59,6.46,7.76
AAMDC,58.03,50.86,43.84,43.63,42.98,43.86,37.24,39.92,37.99,53.39,42.47,45.82
AAMP,116.77,95.32,115.69,85.49,85.32,84.29,82.1,81.61,83.83,85.13,91.49,88.72
AANAT,0,0,0,0,0,0,0,0,0,0,0.07,0
AAR2,52.1,46.73,48.79,41,42.42,40.27,42.02,40.93,38.83,43.19,42.26,42.36
AARD,0.57,0.6,0.66,0.89,0.82,0.8,0.58,0.65,0.62,1.01,0.66,0.92
AARS1,47.79,45.3,49.88,47.01,47.64,47.68,47.81,47.64,47.48,53.54,52.22,52.69
AARS2,5.98,5.83,6.66,6.3,4.66,6.55,6.39,6.95,5.57,6.05,6.33,5.83
AARSD1,40.46,36.81,45.1,36.61,35.58,36.46,33.19,35.99,37.16,41.6,40.39,39.32
AASDH,1.32,2.35,1.29,1.76,1.78,1.34,2.16,1.93,1.39,0.97,1.17,0.98
AASDHPPT,14.07,18.88,14.28,22.09,20.28,23.64,22.24,21.02,20.8,18.43,16.11,17.49
AASS,6.61,8.05,5.24,8.23,7.81,8.45,8.23,7.89,7.56,8.53,5.25,7.01
AATBC,0.08,0.06,0.09,0.08,0.1,0.09,0.09,0.12,0.1,0.14,0.08,0.1
AATF,56.97,48.79,56.36,62.8,60.71,63.79,61.58,61.87,65.2,62.04,60.54,61.01
AATF-2,56.97,48.79,56.36,62.8,60.71,63.79,61.58,61.87,65.2,62.04,60.54,61.01
AATK,0.18,0.1,0.13,0.09,0.18,0.06,0.07,0.07,0.11,0.02,0.07,0.04
ABALON,27.88,28.08,25.98,24.26,23.48,25.16,22.79,22.52,22.24,25.16,24.89,25.5
ABAT,0.05,0.06,0.02,0.1,0.05,0.1,0,0.02,0.03,0.01,0.01,0.01
ABCA1,0.23,0.39,0.33,0.59,0.52,0.65,0.78,0.68,0.62,0.53,0.45,0.46
ABCA10,0,0.09,0.04,0.04,0.03,0.02,0.12,0.12,0.07,0.03,0.05,0.04
ABCA12,0,0,0.02,0.01,0.02,0,0.01,0.01,0,0,0,0
ABCA13,0.05,0.04,0.06,0.07,0.08,0.05,0.04,0.07,0.13,0.03,0.06,0.04
ABCA2,4.27,3.89,4.5,4.08,4.09,4.25,3.5,3.56,3.49,3.5,3.62,3.59
ABCA3,5.95,5.15,5.61,5.27,5.48,5.15,3.95,4.39,5,4.84,5.04,4.84
ABCA4,0.05,0.09,0.09,0.03,0.04,0.02,0.05,0.09,0.11,0.07,0.12,0.1
ABCA5,0.18,0.88,0.26,0.46,0.46,0.51,0.55,0.63,0.72,0.44,0.49,0.53
ABCA6,0,0.01,0,0,0,0,0,0,0,0,0,0
