GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
AAK1,7206,9.4,9.44,9.04,4.28,6.82,5.28,0.714597879,4.94E-07,4.94E-07,*,AAK1,NP_055726.4;XP_009235491.2;XP_009235492.2;NP_001358506.1;NP_001413675.1;KAI2523720.1;NP_001358504.1;XP_054963852.1;XP_021568214.1;XP_016804167.1;NP_001413674.1;XP_057158372.1,"AP2-associated protein kinase 1 isoform 1 [Homo sapiens];AP2-associated protein kinase 1 isoform X6 [Pongo abelii];AP2-associated protein kinase 1 isoform X7 [Pongo abelii];AP2-associated protein kinase 1 isoform 3 [Homo sapiens];AP2-associated protein kinase 1 isoform 5 [Homo sapiens];AP2 associated kinase 1, partial [Homo sapiens] &gt;KAI4034868.1 AP2 associated kinase 1, partial [Homo sapiens];AP2-associated protein kinase 1 isoform 2 [Homo sapiens];AP2-associated protein kinase 1 isoform X4 [Pan paniscus];AP2-associated protein kinase 1, partial [Carlito syrichta];AP2-associated protein kinase 1 isoform X5 [Pan troglodytes];AP2-associated protein kinase 1 isoform 4 [Homo sapiens];zinc finger protein 454 isoform X2 [Pan paniscus]",GO:0061024;GO:0106310;GO:0046777;GO:0005829;GO:0004672;GO:0005737;GO:0035612;GO:0031252;GO:2000369;GO:0005524;GO:0045747;GO:0005905;GO:0106311;GO:0019897;GO:0032880;GO:0030136;GO:0005112;GO:0006897;GO:0043195;GO:0050821;GO:0006468;GO:0004674,membrane organization;protein serine kinase activity;protein autophosphorylation;cytosol;protein kinase activity;cytoplasm;AP-2 adaptor complex binding;cell leading edge;regulation of clathrin-dependent endocytosis;ATP binding;positive regulation of Notch signaling pathway;clathrin-coated pit;protein serine/threonine kinase activity;extrinsic component of plasma membrane;regulation of protein localization;clathrin-coated vesicle;Notch binding;endocytosis;terminal bouton;protein stabilization;protein phosphorylation;protein serine/threonine kinase activity,K08853,AAK,http://www.genome.jp/dbget-bin/www_bget?ko:K08853,-,-,KOG1989,ARK protein kinase family,sp|Q6ZSR9|YJ005_HUMAN;sp|Q86U02|CN165_HUMAN;sp|Q2M2I8|AAK1_HUMAN,Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=1 SV=2;Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens OX=9606 GN=LINC00596 PE=5 SV=1;AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3
ABCA1,10408,0.78,0.68,0.62,0.23,0.39,0.33,1.067332043,0.000110142,0.000110142,Up,ABCA1,NP_005493.2,phospholipid-transporting ATPase ABCA1 [Homo sapiens],GO:0060155;GO:0045121;GO:0034188;GO:0019905;GO:0007040;GO:0008203;GO:0043691;GO:0009306;GO:0046623;GO:0090107;GO:0090108;GO:0005524;GO:0006869;GO:0032489;GO:0055091;GO:0120020;GO:0023061;GO:0031210;GO:0034185;GO:0007189;GO:0015485;GO:0031267;GO:0016021;GO:0048471;GO:0030139;GO:0033700;GO:0042632;GO:0005789;GO:0007186;GO:0032367;GO:0071404;GO:0005768;GO:0010887;GO:0010745;GO:0043231;GO:0033344;GO:0097708;GO:0005886;GO:0090554;GO:0071806;GO:0005887;GO:0034380;GO:0045332;GO:0140328;GO:0010875;GO:0034616;GO:0034186;GO:0051117;GO:0140115;GO:0090556;GO:0008320;GO:0005319;GO:0045335;GO:0019222;GO:0005548;GO:0016197;GO:0030522;GO:0042626;GO:0005102,platelet dense granule organization;membrane raft;apolipoprotein A-I receptor activity;syntaxin binding;lysosome organization;cholesterol metabolic process;reverse cholesterol transport;protein secretion;sphingolipid floppase activity;regulation of high-density lipoprotein particle assembly;positive regulation of high-density lipoprotein particle assembly;ATP binding;lipid transport;regulation of Cdc42 protein signal transduction;phospholipid homeostasis;cholesterol transfer activity;signal release;phosphatidylcholine binding;apolipoprotein binding;adenylate cyclase-activating G protein-coupled receptor signaling pathway;cholesterol binding;small GTPase binding;integral component of membrane;perinuclear region of cytoplasm;endocytic vesicle;phospholipid efflux;cholesterol homeostasis;endoplasmic reticulum membrane;G protein-coupled receptor signaling pathway;intracellular cholesterol transport;cellular response to low-density lipoprotein particle stimulus;endosome;negative regulation of cholesterol storage;negative regulation of macrophage derived foam cell differentiation;intracellular membrane-bounded organelle;cholesterol efflux;intracellular vesicle;plasma membrane;phosphatidylcholine floppase activity;protein transmembrane transport;integral component of plasma membrane;high-density lipoprotein particle assembly;phospholipid translocation;floppase activity;positive regulation of cholesterol efflux;response to laminar fluid shear stress;apolipoprotein A-I binding;ATPase binding;export across plasma membrane;phosphatidylserine floppase activity;protein transmembrane transporter activity;lipid transporter activity;phagocytic vesicle;regulation of metabolic process;phospholipid transporter activity;endosomal transport;intracellular receptor signaling pathway;ATPase-coupled transmembrane transporter activity;signaling receptor binding,K05641,ABCA1,http://www.genome.jp/dbget-bin/www_bget?ko:K05641,ABC transporters;Lipid and atherosclerosis;Cholesterol metabolism;Fat digestion and absorption,"ko02010,ko05417,ko04979,ko04975",-,-,sp|O95477|ABCA1_HUMAN,Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3
ABL2,11799,19.39,19.45,19.53,9.8,14.88,10.3,0.676302878,1.15E-07,1.15E-07,*,ABL2,NP_005149.4;XP_005245145.1;XP_004028018.2;NP_001129473.1;XP_016856524.1;CAD98092.1;NP_001161709.1;NP_001161708.1;NP_001161710.1;NP_009298.1,"tyrosine-protein kinase ABL2 isoform c [Homo sapiens];tyrosine-protein kinase ABL2 isoform X2 [Homo sapiens];tyrosine-protein kinase ABL2 isoform X1 [Gorilla gorilla gorilla];tyrosine-protein kinase ABL2 isoform e [Homo sapiens];tyrosine-protein kinase ABL2 isoform X1 [Homo sapiens];hypothetical protein, partial [Homo sapiens];tyrosine-protein kinase ABL2 isoform g [Homo sapiens];tyrosine-protein kinase ABL2 isoform f [Homo sapiens];tyrosine-protein kinase ABL2 isoform h [Homo sapiens];tyrosine-protein kinase ABL2 isoform b [Homo sapiens]",GO:0019221;GO:0035024;GO:0004715;GO:0030100;GO:0004713;GO:0004714;GO:0035640;GO:0030145;GO:0018108;GO:0003785;GO:0010976;GO:0001784;GO:0007155;GO:2000249;GO:0051015;GO:0015629;GO:0030155;GO:0000287;GO:0051353;GO:2000145;GO:0007165;GO:0071300;GO:0005524;GO:0010863;GO:0005829;GO:0006464;GO:0010506;GO:0004672;GO:0007204,cytokine-mediated signaling pathway;negative regulation of Rho protein signal transduction;non-membrane spanning protein tyrosine kinase activity;regulation of endocytosis;protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase activity;exploration behavior;manganese ion binding;peptidyl-tyrosine phosphorylation;actin monomer binding;positive regulation of neuron projection development;phosphotyrosine residue binding;cell adhesion;regulation of actin cytoskeleton reorganization;actin filament binding;actin cytoskeleton;regulation of cell adhesion;magnesium ion binding;positive regulation of oxidoreductase activity;regulation of cell motility;signal transduction;cellular response to retinoic acid;ATP binding;positive regulation of phospholipase C activity;cytosol;cellular protein modification process;regulation of autophagy;protein kinase activity;positive regulation of cytosolic calcium ion concentration,K08887,ABL2,http://www.genome.jp/dbget-bin/www_bget?ko:K08887,ErbB signaling pathway;Ras signaling pathway;Chemical carcinogenesis - reactive oxygen species;Viral myocarditis,"ko04012,ko04014,ko05208,ko05416",-,-,sp|P42684|ABL2_HUMAN,Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1
ABRAXAS1,1865,5.14,5.62,7.17,2.55,4.56,3.79,0.605742126,0.011155148,0.011155148,*,ABRAXAS1,XP_002814983.1;XP_005263337.1;XP_034814438.1;NP_620775.2,BRCA1-A complex subunit Abraxas 1 isoform X1 [Pongo abelii] &gt;XP_054340428.1 BRCA1-A complex subunit Abraxas 1 [Pongo pygmaeus] &gt;PNJ52470.1 ABRAXAS1 isoform 1 [Pongo abelii];BRCA1-A complex subunit Abraxas 1 isoform X1 [Homo sapiens];BRCA1-A complex subunit Abraxas 1 isoform X3 [Pan paniscus];BRCA1-A complex subunit Abraxas 1 isoform 1 [Homo sapiens],GO:0008608;GO:0006281;GO:0016579;GO:0006302;GO:0016604;GO:0070536;GO:0010212;GO:0005634;GO:0072425;GO:0008017;GO:0070531;GO:0045739;GO:0006303;GO:0005654;GO:0006325;GO:0090307;GO:0031593,attachment of spindle microtubules to kinetochore;DNA repair;protein deubiquitination;double-strand break repair;nuclear body;protein K63-linked deubiquitination;response to ionizing radiation;nucleus;mitotic G2 DNA damage checkpoint signaling;microtubule binding;BRCA1-A complex;positive regulation of DNA repair;double-strand break repair via nonhomologous end joining;nucleoplasm;chromatin organization;mitotic spindle assembly;polyubiquitin modification-dependent protein binding,K20774,"FAM175A,ABRA1",http://www.genome.jp/dbget-bin/www_bget?ko:K20774,Homologous recombination,ko03440,-,-,sp|Q6UWZ7|ABRX1_HUMAN,BRCA1-A complex subunit Abraxas 1 OS=Homo sapiens OX=9606 GN=ABRAXAS1 PE=1 SV=2
ACTG2,1372,0.48,0.38,0.22,0.04,0.09,0.05,2.658294903,0.027255414,0.027255414,Up,ACTG2,VCX19966.1,"unnamed protein product, partial [Gulo gulo]",GO:0070062;GO:0005737;GO:0005829;GO:0030027;GO:0006936;GO:0005524;GO:0005869;GO:0071944;GO:0010628;GO:0032982;GO:0005615;GO:0030175;GO:0072562;GO:0090131;GO:0044297,extracellular exosome;cytoplasm;cytosol;lamellipodium;muscle contraction;ATP binding;dynactin complex;cell periphery;positive regulation of gene expression;myosin filament;extracellular space;filopodium;blood microparticle;mesenchyme migration;cell body,K12315,ACTG2,http://www.genome.jp/dbget-bin/www_bget?ko:K12315,Vascular smooth muscle contraction,ko04270,KOG0676,Actin and related proteins,sp|Q5E9B5|ACTH_BOVIN,"Actin, gamma-enteric smooth muscle OS=Bos taurus OX=9913 GN=ACTG2 PE=2 SV=1"
ACVR2A,5214,1.05,1.17,1.16,0.42,0.63,0.61,0.966677121,0.000515591,0.000515591,*,ACVR2A,NP_001265508.1;EFB29485.1,"activin receptor type-2A isoform 1 precursor [Homo sapiens];hypothetical protein PANDA_012344, partial [Ailuropoda melanoleuca]",GO:0043084;GO:0007498;GO:0098821;GO:0042713;GO:0005737;GO:0071363;GO:0001702;GO:0032927;GO:0016021;GO:0045669;GO:0009986;GO:0048179;GO:0045944;GO:0048185;GO:0050999;GO:0030501;GO:0005524;GO:0034673;GO:0015026;GO:0007283;GO:0046872;GO:0030513;GO:0009952;GO:0007178;GO:0048706;GO:0004675;GO:0030509;GO:0001934;GO:0030514;GO:0045648;GO:0071773;GO:0030165;GO:0060011;GO:0032924;GO:0034711;GO:0043235;GO:0006468;GO:0007368;GO:0005886;GO:0004674;GO:0010862;GO:0043621;GO:0017002;GO:0019838;GO:0005887,penile erection;mesoderm development;BMP receptor activity;sperm ejaculation;cytoplasm;cellular response to growth factor stimulus;gastrulation with mouth forming second;positive regulation of activin receptor signaling pathway;integral component of membrane;positive regulation of osteoblast differentiation;cell surface;activin receptor complex;positive regulation of transcription by RNA polymerase II;activin binding;regulation of nitric-oxide synthase activity;positive regulation of bone mineralization;ATP binding;inhibin-betaglycan-ActRII complex;coreceptor activity;spermatogenesis;metal ion binding;positive regulation of BMP signaling pathway;anterior/posterior pattern specification;transmembrane receptor protein serine/threonine kinase signaling pathway;embryonic skeletal system development;transmembrane receptor protein serine/threonine kinase activity;BMP signaling pathway;positive regulation of protein phosphorylation;negative regulation of BMP signaling pathway;positive regulation of erythrocyte differentiation;cellular response to BMP stimulus;PDZ domain binding;Sertoli cell proliferation;activin receptor signaling pathway;inhibin binding;receptor complex;protein phosphorylation;determination of left/right symmetry;plasma membrane;protein serine/threonine kinase activity;positive regulation of pathway-restricted SMAD protein phosphorylation;protein self-association;activin-activated receptor activity;growth factor binding;integral component of plasma membrane,K04670,ACVR2A,http://www.genome.jp/dbget-bin/www_bget?ko:K04670,Signaling pathways regulating pluripotency of stem cells;TGF-beta signaling pathway;Cytokine-cytokine receptor interaction;Fluid shear stress and atherosclerosis,"ko04550,ko04350,ko04060,ko05418",-,-,sp|P27037|AVR2A_HUMAN,Activin receptor type-2A OS=Homo sapiens OX=9606 GN=ACVR2A PE=1 SV=1
ACVR2B,11670,0.97,0.89,0.73,0.46,0.67,0.43,0.672014871,0.005353615,0.005353615,*,ACVR2B,XP_016863003.1;NP_001097.2;XP_009199438.1;XP_005265640.1;XP_031519327.1,activin receptor type-2B isoform X2 [Homo sapiens];activin receptor type-2B precursor [Homo sapiens];activin receptor type-2B isoform X2 [Papio anubis];activin receptor type-2B isoform X1 [Homo sapiens];activin receptor type-2B isoform X1 [Papio anubis],GO:0030514;GO:0001974;GO:0060836;GO:0007178;GO:0030509;GO:0004675;GO:0042475;GO:0007507;GO:0048617;GO:0030513;GO:0009952;GO:0060021;GO:0006355;GO:0017002;GO:0005887;GO:0120163;GO:0019838;GO:0043235;GO:0007368;GO:0006468;GO:0005886;GO:0004674;GO:0032147;GO:0061298;GO:0032924;GO:0030073;GO:0030324;GO:0045669;GO:0004712;GO:0001946;GO:0005737;GO:0071363;GO:0001702;GO:0032927;GO:0016021;GO:0009791;GO:0032991;GO:0007498;GO:0048705;GO:0046872;GO:0030501;GO:0005524;GO:0031016;GO:0007165;GO:0060841;GO:0048179;GO:0048185;GO:0009749;GO:0035265;GO:0000122;GO:0060840;GO:0001822,"negative regulation of BMP signaling pathway;blood vessel remodeling;lymphatic endothelial cell differentiation;transmembrane receptor protein serine/threonine kinase signaling pathway;BMP signaling pathway;transmembrane receptor protein serine/threonine kinase activity;odontogenesis of dentin-containing tooth;heart development;embryonic foregut morphogenesis;positive regulation of BMP signaling pathway;anterior/posterior pattern specification;roof of mouth development;regulation of transcription, DNA-templated;activin-activated receptor activity;integral component of plasma membrane;negative regulation of cold-induced thermogenesis;growth factor binding;receptor complex;determination of left/right symmetry;protein phosphorylation;plasma membrane;protein serine/threonine kinase activity;activation of protein kinase activity;retina vasculature development in camera-type eye;activin receptor signaling pathway;insulin secretion;lung development;positive regulation of osteoblast differentiation;protein serine/threonine/tyrosine kinase activity;lymphangiogenesis;cytoplasm;cellular response to growth factor stimulus;gastrulation with mouth forming second;positive regulation of activin receptor signaling pathway;integral component of membrane;post-embryonic development;protein-containing complex;mesoderm development;skeletal system morphogenesis;metal ion binding;positive regulation of bone mineralization;ATP binding;pancreas development;signal transduction;venous blood vessel development;activin receptor complex;activin binding;response to glucose;organ growth;negative regulation of transcription by RNA polymerase II;artery development;kidney development",K13596,ACVR2B,http://www.genome.jp/dbget-bin/www_bget?ko:K13596,Signaling pathways regulating pluripotency of stem cells;TGF-beta signaling pathway;Cytokine-cytokine receptor interaction;Fluid shear stress and atherosclerosis,"ko04550,ko04350,ko04060,ko05418",-,-,sp|Q13705|AVR2B_HUMAN,Activin receptor type-2B OS=Homo sapiens OX=9606 GN=ACVR2B PE=1 SV=3
ADAM12,5994,0.41,0.46,0.39,0.19,0.19,0.23,1.216958402,0.000435072,0.000435072,Up,ADAM12,NP_003465.3;NP_067673.2;NP_001275904.1;AAC08702.2;NP_001275903.1;NP_001275902.1,disintegrin and metalloproteinase domain-containing protein 12 isoform 1 preproprotein [Homo sapiens];disintegrin and metalloproteinase domain-containing protein 12 isoform 2 preproprotein [Homo sapiens];disintegrin and metalloproteinase domain-containing protein 12 isoform 5 preproprotein [Homo sapiens];meltrin-L precursor [Homo sapiens];disintegrin and metalloproteinase domain-containing protein 12 isoform 4 preproprotein [Homo sapiens];disintegrin and metalloproteinase domain-containing protein 12 isoform 3 preproprotein [Homo sapiens],GO:0030198;GO:0007520;GO:0045766;GO:0016021;GO:0004222;GO:0046872;GO:0005576;GO:0005654;GO:0007155;GO:0007229;GO:0017124;GO:0008237;GO:0005886,extracellular matrix organization;myoblast fusion;positive regulation of angiogenesis;integral component of membrane;metalloendopeptidase activity;metal ion binding;extracellular region;nucleoplasm;cell adhesion;integrin-mediated signaling pathway;SH3 domain binding;metallopeptidase activity;plasma membrane,K06835,ADAM12,http://www.genome.jp/dbget-bin/www_bget?ko:K06835,-,-,-,-,sp|O43184|ADA12_HUMAN,Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ADAM12 PE=1 SV=3
ADAMTS1,5183,3.95,3.91,3.64,2.47,2.52,2.31,0.587308601,1.71E-05,1.71E-05,*,ADAMTS1,NP_008919.3,A disintegrin and metalloproteinase with thrombospondin motifs 1 preproprotein [Homo sapiens],GO:1900087;GO:1904754;GO:0005604;GO:0008270;GO:0008237;GO:1904707;GO:0007229;GO:0060347;GO:0005576;GO:0031410;GO:0008201;GO:0001822;GO:0016525;GO:0004222;GO:0001542;GO:0031012;GO:0008285;GO:0030198,positive regulation of G1/S transition of mitotic cell cycle;positive regulation of vascular associated smooth muscle cell migration;basement membrane;zinc ion binding;metallopeptidase activity;positive regulation of vascular associated smooth muscle cell proliferation;integrin-mediated signaling pathway;heart trabecula formation;extracellular region;cytoplasmic vesicle;heparin binding;kidney development;negative regulation of angiogenesis;metalloendopeptidase activity;ovulation from ovarian follicle;extracellular matrix;negative regulation of cell population proliferation;extracellular matrix organization,K08617,ADAMTS1,http://www.genome.jp/dbget-bin/www_bget?ko:K08617,-,-,-,-,sp|Q9UHI8|ATS1_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Homo sapiens OX=9606 GN=ADAMTS1 PE=1 SV=4
ADGRG6,6774,12.98,12.93,12.98,6.62,9.43,7.27,0.670275436,2.05E-09,2.05E-09,*,ADGRG6,NP_065188.5;NP_001027567.2;CAE45930.1;NP_940971.2;XP_005267118.1;XP_006715579.1;NP_001027566.2;XP_011534266.1;XP_006715581.1;XP_016866574.1,"adhesion G-protein coupled receptor G6 isoform alpha 1 precursor [Homo sapiens];adhesion G-protein coupled receptor G6 isoform beta 2 precursor [Homo sapiens];hypothetical protein, partial [Homo sapiens];adhesion G-protein coupled receptor G6 isoform beta 1 precursor [Homo sapiens];adhesion G-protein coupled receptor G6 isoform X5 [Homo sapiens];adhesion G-protein coupled receptor G6 isoform X1 [Homo sapiens];adhesion G-protein coupled receptor G6 isoform alpha 2 precursor [Homo sapiens];adhesion G-protein coupled receptor G6 isoform X2 [Homo sapiens];adhesion G-protein coupled receptor G6 isoform X4 [Homo sapiens];adhesion G-protein coupled receptor G6 isoform X6 [Homo sapiens]",GO:0005518;GO:0009986;GO:0007189;GO:0005737;GO:0016021;GO:0042552;GO:0014037;GO:0004930;GO:0022011;GO:0007186;GO:0005789;GO:0007399;GO:0005886;GO:0005887;GO:0043236;GO:0060347;GO:0019933;GO:0007166;GO:0050840,collagen binding;cell surface;adenylate cyclase-activating G protein-coupled receptor signaling pathway;cytoplasm;integral component of membrane;myelination;Schwann cell differentiation;G protein-coupled receptor activity;myelination in peripheral nervous system;G protein-coupled receptor signaling pathway;endoplasmic reticulum membrane;nervous system development;plasma membrane;integral component of plasma membrane;laminin binding;heart trabecula formation;cAMP-mediated signaling;cell surface receptor signaling pathway;extracellular matrix binding,K08463,"ADGRG6,GPR126",http://www.genome.jp/dbget-bin/www_bget?ko:K08463,-,-,-,-,sp|Q86SQ4|AGRG6_HUMAN,Adhesion G-protein coupled receptor G6 OS=Homo sapiens OX=9606 GN=ADGRG6 PE=1 SV=3
