GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
FAM225B,5806,0,0,0,0,0.15,0,-4.929690789,0.046080673,0.046080673,FAM225B,-,-,-,-,-,-,-,-,-,-,-,-,-
TOX,4076,5.73,6.97,6.76,2.68,2.41,2.42,1.440815577,2.90E-22,2.90E-22,TOX,NP_055544.1,thymocyte selection-associated high mobility group box protein TOX [Homo sapiens],GO:0048535;GO:0002362;GO:0043375;GO:0043373;GO:0002521;GO:0010976;GO:0001779;GO:0002364;GO:1902232;GO:0006357;GO:0031490;GO:0006325;GO:2000179;GO:0005634;GO:0048541;GO:1901537;GO:0021895;GO:0032825,"lymph node development;CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment;CD8-positive, alpha-beta T cell lineage commitment;CD4-positive, alpha-beta T cell lineage commitment;leukocyte differentiation;positive regulation of neuron projection development;natural killer cell differentiation;NK T cell lineage commitment;regulation of positive thymic T cell selection;regulation of transcription by RNA polymerase II;chromatin DNA binding;chromatin organization;positive regulation of neural precursor cell proliferation;nucleus;Peyer's patch development;positive regulation of DNA demethylation;cerebral cortex neuron differentiation;positive regulation of natural killer cell differentiation",-,-,-,-,-,KOG0381,HMG box-containing protein,sp|O94900|TOX_HUMAN,Thymocyte selection-associated high mobility group box protein TOX OS=Homo sapiens OX=9606 GN=TOX PE=1 SV=3
COL3A1-2,5490,301.31,282.73,296.18,134.01,144.19,136.63,1.152810638,5.70E-156,5.70E-156,COL3A1,CAA29886.1,"alpha1 (III) collagen, partial [Homo sapiens]",GO:0030020;GO:0007179;GO:0030199;GO:0005586;GO:0007229;GO:0005576;GO:2001223;GO:0030168;GO:0002020;GO:0034097;GO:0035025;GO:0009612;GO:0001501;GO:0009314;GO:0042060;GO:0043588;GO:0005201;GO:0005615;GO:0062023;GO:0046872;GO:0031012;GO:0097435;GO:0007160;GO:0030198;GO:0048407;GO:0007507;GO:0005178;GO:0021987;GO:0050776;GO:0018149;GO:0050777;GO:0005788,extracellular matrix structural constituent conferring tensile strength;transforming growth factor beta receptor signaling pathway;collagen fibril organization;collagen type III trimer;integrin-mediated signaling pathway;extracellular region;negative regulation of neuron migration;platelet activation;protease binding;response to cytokine;positive regulation of Rho protein signal transduction;response to mechanical stimulus;skeletal system development;response to radiation;wound healing;skin development;extracellular matrix structural constituent;extracellular space;collagen-containing extracellular matrix;metal ion binding;extracellular matrix;supramolecular fiber organization;cell-matrix adhesion;extracellular matrix organization;platelet-derived growth factor binding;heart development;integrin binding;cerebral cortex development;regulation of immune response;peptide cross-linking;negative regulation of immune response;endoplasmic reticulum lumen,K19720,COL3A,http://www.genome.jp/dbget-bin/www_bget?ko:K19720,Diabetic cardiomyopathy;AGE-RAGE signaling pathway in diabetic complications;Amoebiasis;Protein digestion and absorption;Relaxin signaling pathway;Platelet activation,"ko05415,ko04933,ko05146,ko04974,ko04926,ko04611",-,-,sp|P02461|CO3A1_HUMAN,Collagen alpha-1(III) chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4
PPL,6250,0.11,0.24,0.11,0.03,0.02,0.01,3.035859882,0.000849543,0.000849543,PPL,XP_016878863.1;XP_006720965.1;NP_002696.4;XP_016878864.1,periplakin isoform X1 [Homo sapiens];periplakin isoform X3 [Homo sapiens];periplakin [Homo sapiens];periplakin isoform X2 [Homo sapiens],GO:0002250;GO:0016020;GO:0001533;GO:0070268;GO:0005198;GO:0005829;GO:0005856;GO:0045296;GO:0042060;GO:0009612;GO:0030057;GO:0005737;GO:0005200;GO:0045104;GO:0070062;GO:0005886,adaptive immune response;membrane;cornified envelope;cornification;structural molecule activity;cytosol;cytoskeleton;cadherin binding;wound healing;response to mechanical stimulus;desmosome;cytoplasm;structural constituent of cytoskeleton;intermediate filament cytoskeleton organization;extracellular exosome;plasma membrane,K10386,PPL,http://www.genome.jp/dbget-bin/www_bget?ko:K10386,-,-,-,-,sp|O60437|PEPL_HUMAN,Periplakin OS=Homo sapiens OX=9606 GN=PPL PE=1 SV=4
LINC02709,2311,0.98,0.34,0.56,0.19,0.08,0.3,1.784964292,0.010813436,0.010813436,LINC02709,-,-,-,-,-,-,-,-,-,-,-,-,-
GREM1-2,14592,0.55,0.94,1.27,1.9,2.37,2.14,-1.154283278,7.07E-08,7.07E-08,GREM1,XP_523036.4;XP_025246471.1;XP_025246470.1;XP_030858273.1,gremlin-1 [Pan troglodytes];gremlin-1 isoform X3 [Theropithecus gelada];gremlin-1 isoform X2 [Theropithecus gelada];gremlin-1 isoform X1 [Gorilla gorilla gorilla],-,-,K23318,GREM,http://www.genome.jp/dbget-bin/www_bget?ko:K23318,TGF-beta signaling pathway,ko04350,-,-,sp|O60565|GREM1_HUMAN,Gremlin-1 OS=Homo sapiens OX=9606 GN=GREM1 PE=1 SV=1
SLC44A3,2291,1.82,1.5,1.71,0.68,0.97,0.43,1.497004113,0.000145381,0.000145381,SLC44A3,XP_011538938.1;NP_001288008.1;XP_016855753.1;XP_011538937.1;NP_001245272.1;XP_016855754.1;XP_005270499.1;XP_005270497.1;NP_001245271.1;XP_016855755.1;AAH33858.2;NP_001245270.1;XP_016855751.1;NP_001245269.1,"choline transporter-like protein 3 isoform X11 [Homo sapiens];choline transporter-like protein 3 isoform 7 [Homo sapiens];choline transporter-like protein 3 isoform X6 [Homo sapiens];choline transporter-like protein 3 isoform X10 [Homo sapiens];choline transporter-like protein 3 isoform 6 [Homo sapiens];choline transporter-like protein 3 isoform X7 [Homo sapiens];choline transporter-like protein 3 isoform X5 [Homo sapiens];choline transporter-like protein 3 isoform X1 [Homo sapiens];choline transporter-like protein 3 isoform 5 [Homo sapiens];choline transporter-like protein 3 isoform X9 [Homo sapiens];SLC44A3 protein, partial [Homo sapiens];choline transporter-like protein 3 isoform 4 [Homo sapiens];choline transporter-like protein 3 isoform X2 [Homo sapiens];choline transporter-like protein 3 isoform 3 [Homo sapiens]",GO:0005886;GO:0016020;GO:0006656;GO:0016021;GO:0055085;GO:0022857,plasma membrane;membrane;phosphatidylcholine biosynthetic process;integral component of membrane;transmembrane transport;transmembrane transporter activity,K15282,SLC44A3,http://www.genome.jp/dbget-bin/www_bget?ko:K15282,Choline metabolism in cancer,ko05231,KOG1362,Choline transporter-like protein,sp|Q8N4M1|CTL3_HUMAN,Choline transporter-like protein 3 OS=Homo sapiens OX=9606 GN=SLC44A3 PE=1 SV=4
EPAS1,5158,161.02,157.95,158.07,55.73,55.89,56.77,1.570214564,0,0,EPAS1,XP_011531000.1;NP_001421.2,endothelial PAS domain-containing protein 1 isoform X1 [Homo sapiens];endothelial PAS domain-containing protein 1 [Homo sapiens],GO:0048625;GO:0042415;GO:0045944;GO:0003677;GO:0043619;GO:0007165;GO:0005829;GO:0016607;GO:0046982;GO:0006357;GO:0055072;GO:0005667;GO:0007005;GO:0043129;GO:0001525;GO:0120162;GO:0000981;GO:0071456;GO:0000978;GO:0001228;GO:2000434;GO:0001892;GO:0005654;GO:0030324;GO:0035019;GO:0016567;GO:0048469;GO:0061418;GO:0043687;GO:0000977;GO:0001666;GO:0005737;GO:0000785;GO:0030218;GO:0008134;GO:0046983;GO:0003700;GO:0007601;GO:0002027;GO:0001974;GO:0035035,"myoblast fate commitment;norepinephrine metabolic process;positive regulation of transcription by RNA polymerase II;DNA binding;regulation of transcription from RNA polymerase II promoter in response to oxidative stress;signal transduction;cytosol;nuclear speck;protein heterodimerization activity;regulation of transcription by RNA polymerase II;iron ion homeostasis;transcription regulator complex;mitochondrion organization;surfactant homeostasis;angiogenesis;positive regulation of cold-induced thermogenesis;DNA-binding transcription factor activity, RNA polymerase II-specific;cellular response to hypoxia;RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription activator activity, RNA polymerase II-specific;regulation of protein neddylation;embryonic placenta development;nucleoplasm;lung development;somatic stem cell population maintenance;protein ubiquitination;cell maturation;regulation of transcription from RNA polymerase II promoter in response to hypoxia;post-translational protein modification;RNA polymerase II transcription regulatory region sequence-specific DNA binding;response to hypoxia;cytoplasm;chromatin;erythrocyte differentiation;transcription factor binding;protein dimerization activity;DNA-binding transcription factor activity;visual perception;regulation of heart rate;blood vessel remodeling;histone acetyltransferase binding",K09095,"HIF2A,EPAS1",http://www.genome.jp/dbget-bin/www_bget?ko:K09095,Pathways in cancer;Renal cell carcinoma,"ko05200,ko05211",-,-,sp|Q99814|EPAS1_HUMAN,Endothelial PAS domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EPAS1 PE=1 SV=3
PCAT6,705,2.3,2.31,4.18,1.12,0.91,1.65,1.35388916,0.029530552,0.029530552,PCAT6,XP_031523120.1,uncharacterized protein LOC116275314 [Papio anubis],-,-,-,-,-,-,-,-,-,-,-
BIRC2,3711,13.18,13.93,13.92,37.69,35.17,35.71,-1.306364002,1.03E-61,1.03E-61,BIRC2,XP_011839784.1;NP_001157.1,PREDICTED: baculoviral IAP repeat-containing protein 2 isoform X2 [Mandrillus leucophaeus];baculoviral IAP repeat-containing protein 2 isoform 1 [Homo sapiens],GO:1902443;GO:0047485;GO:0001890;GO:0043066;GO:1902527;GO:0070266;GO:0035631;GO:1902524;GO:0034121;GO:0043123;GO:0060544;GO:0046872;GO:0005829;GO:0038061;GO:0051591;GO:0005634;GO:0003713;GO:0004842;GO:0045121;GO:0031398;GO:1901222;GO:0042981;GO:0060546;GO:0051087;GO:0001741;GO:0008270;GO:0035666;GO:2000377;GO:0071356;GO:2000116;GO:0044877;GO:0051726;GO:0043161;GO:0042127;GO:0045595;GO:0043027;GO:0005737;GO:0001666;GO:0010803;GO:0045088;GO:0043130;GO:0039535;GO:0098770;GO:0007249;GO:0016740;GO:0061630;GO:0002756;GO:0007166;GO:0033209;GO:0042802;GO:0050727;GO:0009898;GO:0000209;GO:0016579;GO:1902523;GO:0070424;GO:0045471,negative regulation of ripoptosome assembly involved in necroptotic process;protein N-terminus binding;placenta development;negative regulation of apoptotic process;positive regulation of protein monoubiquitination;necroptotic process;CD40 receptor complex;positive regulation of protein K48-linked ubiquitination;regulation of toll-like receptor signaling pathway;positive regulation of I-kappaB kinase/NF-kappaB signaling;regulation of necroptotic process;metal ion binding;cytosol;NIK/NF-kappaB signaling;response to cAMP;nucleus;transcription coactivator activity;ubiquitin-protein transferase activity;membrane raft;positive regulation of protein ubiquitination;regulation of NIK/NF-kappaB signaling;regulation of apoptotic process;negative regulation of necroptotic process;chaperone binding;XY body;zinc ion binding;TRIF-dependent toll-like receptor signaling pathway;regulation of reactive oxygen species metabolic process;cellular response to tumor necrosis factor;regulation of cysteine-type endopeptidase activity;protein-containing complex binding;regulation of cell cycle;proteasome-mediated ubiquitin-dependent protein catabolic process;regulation of cell population proliferation;regulation of cell differentiation;cysteine-type endopeptidase inhibitor activity involved in apoptotic process;cytoplasm;response to hypoxia;regulation of tumor necrosis factor-mediated signaling pathway;regulation of innate immune response;ubiquitin binding;regulation of RIG-I signaling pathway;FBXO family protein binding;I-kappaB kinase/NF-kappaB signaling;transferase activity;ubiquitin protein ligase activity;MyD88-independent toll-like receptor signaling pathway;cell surface receptor signaling pathway;tumor necrosis factor-mediated signaling pathway;identical protein binding;regulation of inflammatory response;cytoplasmic side of plasma membrane;protein polyubiquitination;protein deubiquitination;positive regulation of protein K63-linked ubiquitination;regulation of nucleotide-binding oligomerization domain containing signaling pathway;response to ethanol,K16060,BIRC2_3,http://www.genome.jp/dbget-bin/www_bget?ko:K16060,Apoptosis;Apoptosis - multiple species;Necroptosis;Focal adhesion;Hippo signaling pathway;NF-kappa B signaling pathway;TNF signaling pathway;Ubiquitin mediated proteolysis;Pathways in cancer;Transcriptional misregulation in cancer;Small cell lung cancer;Platinum drug resistance;Salmonella infection;Toxoplasmosis;Herpes simplex virus 1 infection;NOD-like receptor signaling pathway;Toll and Imd signaling pathway,"ko04210,ko04215,ko04217,ko04510,ko04390,ko04064,ko04668,ko04120,ko05200,ko05202,ko05222,ko01524,ko05132,ko05145,ko05168,ko04621,ko04624",-,-,sp|Q13490|BIRC2_HUMAN,Baculoviral IAP repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=BIRC2 PE=1 SV=2
